Organization,Repository,Is_Fork,Parent_Repo,Parent_Archived,Stars,Forks,Forks_History,Open_Issues,Closed_Issues,Avg_Response_Time (sec),Has_README,Has_Wiki,Commit_Count,Release_Count,Contributors_Count,Contributors
astrazeneca,Tendril,False,,,6,1,"[{'user': 'xni7', 'forked_at': '2019-10-10T19:41:53Z'}]",6,30,3997870.8333333335,True,True,231,6,3,"[{'user': 'stefanoborini', 'contributions': 200, 'location': 'Cambridge, UK'}, {'user': 'mark-edmondson-jones', 'contributions': 22, 'location': None}, {'user': 'Karpefors', 'contributions': 8, 'location': None}]"
astrazeneca,detectIS,False,,,12,6,"[{'user': 'antonkulaga', 'forked_at': '2023-03-19T23:32:23Z'}, {'user': 'luigra', 'forked_at': '2022-02-18T16:53:03Z'}, {'user': 'jpcartailler', 'forked_at': '2022-02-16T00:27:07Z'}, {'user': 'das2000sidd', 'forked_at': '2021-11-16T23:14:12Z'}, {'user': 'dejavu2010', 'forked_at': '2021-09-22T01:03:25Z'}, {'user': 'abnsy', 'forked_at': '2021-06-28T14:21:20Z'}]",0,4,36283.5,True,False,21,3,2,"[{'user': 'luigra', 'contributions': 19, 'location': None}, {'user': 'stefanoborini', 'contributions': 2, 'location': 'Cambridge, UK'}]"
astrazeneca,CTELC-Patient-Attrition-Model,False,,,6,0,[],0,0,,True,True,18,0,2,"[{'user': 'imrarun', 'contributions': 9, 'location': 'London'}, {'user': 'shameer', 'contributions': 4, 'location': 'New York'}]"
astrazeneca,Omicsfold,False,,,24,7,"[{'user': 'GabrielleBaumberg', 'forked_at': '2024-04-18T14:14:40Z'}, {'user': 'odrangel7', 'forked_at': '2024-01-13T11:35:37Z'}, {'user': 'bensparklin', 'forked_at': '2023-03-31T17:03:39Z'}, {'user': 'SSunkara', 'forked_at': '2022-09-22T15:49:39Z'}, {'user': 'dejavu2010', 'forked_at': '2022-01-30T02:35:49Z'}, {'user': 'Bioinformatics-pipelines', 'forked_at': '2021-11-26T21:23:14Z'}, {'user': 'das2000sidd', 'forked_at': '2021-11-16T23:13:10Z'}, {'user': 'Shicheng-Guo', 'forked_at': '2021-11-11T16:33:41Z'}]",1,7,12081004.0,True,False,96,2,6,"[{'user': 'sdjmchattie', 'contributions': 43, 'location': 'Wantage, Oxfordshire'}, {'user': 'bensparklin', 'contributions': 31, 'location': None}, {'user': 'vgopalakrishnan1', 'contributions': 5, 'location': None}, {'user': 'stefanoborini', 'contributions': 5, 'location': 'Cambridge, UK'}, {'user': 'shameer', 'contributions': 1, 'location': 'New York'}, {'user': 'tsoftly', 'contributions': 1, 'location': None}]"
astrazeneca,kallisto,False,,,64,21,"[{'user': 'cmwoodley', 'forked_at': '2024-05-28T08:55:17Z'}, {'user': 'oliver4701', 'forked_at': '2023-09-28T03:20:14Z'}, {'user': 'ryanlink', 'forked_at': '2023-05-11T18:08:16Z'}, {'user': 'kovalp', 'forked_at': '2023-02-11T08:47:28Z'}, {'user': 'cwang-lilly', 'forked_at': '2022-12-09T18:08:55Z'}, {'user': 'rlaplaza', 'forked_at': '2022-06-28T09:34:11Z'}, {'user': 'chrinide', 'forked_at': '2022-02-25T07:09:19Z'}, {'user': 'nguyenducnhaty', 'forked_at': '2021-12-17T09:04:23Z'}, {'user': 'icamps', 'forked_at': '2021-12-07T16:06:29Z'}, {'user': 'Whataboutchem', 'forked_at': '2021-12-05T15:02:37Z'}, {'user': 'seihwan2021', 'forked_at': '2021-08-22T11:33:04Z'}, {'user': 'abnsy', 'forked_at': '2021-06-28T14:22:39Z'}, {'user': 'Computational-Chemistry-Research', 'forked_at': '2021-06-04T05:06:04Z'}, {'user': 'AfiKhan', 'forked_at': '2021-05-29T05:35:59Z'}, {'user': 'f3rmion', 'forked_at': '2021-05-08T15:25:35Z'}, {'user': 'AspirinCode', 'forked_at': '2021-04-01T07:31:35Z'}, {'user': 'Sulstice', 'forked_at': '2021-03-02T16:47:50Z'}, {'user': 'pprcht', 'forked_at': '2021-02-09T11:30:20Z'}, {'user': 'BrunaPavlack', 'forked_at': '2021-02-06T20:48:03Z'}]",3,30,108739.18518518518,True,True,109,9,6,"[{'user': 'f3rmion', 'contributions': 101, 'location': 'Earth'}, {'user': 'dependabot[bot]', 'contributions': 4, 'location': None}, {'user': 'lynnehansen', 'contributions': 1, 'location': None}, {'user': 'nhadler', 'contributions': 1, 'location': 'Berkeley, California'}, {'user': 'RMeli', 'contributions': 1, 'location': 'Zurich, Switzerland'}, {'user': 'stefanoborini', 'contributions': 1, 'location': 'Cambridge, UK'}]"
astrazeneca,biology-for-ai,False,,,103,14,"[{'user': 'AJLYS0711', 'forked_at': '2024-11-03T12:54:15Z'}, {'user': 'vishuv', 'forked_at': '2024-10-26T05:26:05Z'}, {'user': 'gheinani', 'forked_at': '2024-09-27T13:33:32Z'}, {'user': 'BrunoScaglione', 'forked_at': '2024-07-29T01:15:42Z'}, {'user': 'iago-nonContributedForks', 'forked_at': '2024-02-27T11:30:58Z'}, {'user': 'dmmiller597', 'forked_at': '2023-10-24T16:18:05Z'}, {'user': 'bestcourses-ai', 'forked_at': '2023-05-14T13:14:21Z'}, {'user': 'Emberwhirl', 'forked_at': '2023-04-07T02:37:41Z'}, {'user': 'rezaaskary', 'forked_at': '2023-02-24T14:40:10Z'}, {'user': 'elipapa', 'forked_at': '2022-12-05T10:17:11Z'}, {'user': 'GavEdwards', 'forked_at': '2022-07-04T16:22:52Z'}, {'user': 'Dc-mic', 'forked_at': '2021-10-26T01:20:00Z'}, {'user': 'kajocina', 'forked_at': '2021-09-09T12:38:23Z'}, {'user': 'longluu', 'forked_at': '2021-09-02T15:48:01Z'}]",0,7,,True,False,19,0,4,"[{'user': 'elipapa', 'contributions': 12, 'location': 'Cambridge,UK'}, {'user': 'GavEdwards', 'contributions': 4, 'location': 'UK'}, {'user': 'benedekrozemberczki', 'contributions': 2, 'location': 'United Kingdom'}, {'user': 'kajocina', 'contributions': 1, 'location': 'Spain'}]"
astrazeneca,awesome-drug-pair-scoring,False,,,90,14,"[{'user': 'rspanhol', 'forked_at': '2023-12-18T14:26:25Z'}, {'user': 'cgeof', 'forked_at': '2023-07-10T12:57:23Z'}, {'user': 'shouhengtuo', 'forked_at': '2022-11-24T08:02:40Z'}, {'user': 'profsradhakrishnan', 'forked_at': '2022-09-22T02:27:48Z'}, {'user': 'hayesall', 'forked_at': '2022-01-01T21:27:44Z'}, {'user': 'stjordanis', 'forked_at': '2021-12-16T02:37:50Z'}, {'user': 'jubaer145', 'forked_at': '2021-12-15T20:31:12Z'}, {'user': 'adbmd', 'forked_at': '2021-11-11T07:26:22Z'}, {'user': 'shunsunsun', 'forked_at': '2021-11-10T06:03:02Z'}, {'user': 'deepsystemspharmacology', 'forked_at': '2021-11-08T23:13:15Z'}, {'user': 'deffosic', 'forked_at': '2021-11-08T13:59:53Z'}, {'user': 'enginBozkurt', 'forked_at': '2021-11-08T13:05:27Z'}, {'user': 'shuowang-ai', 'forked_at': '2021-11-05T14:33:47Z'}, {'user': 'Jhooomn', 'forked_at': '2021-11-05T14:19:07Z'}]",0,1,,True,True,214,2,4,"[{'user': 'benedekrozemberczki', 'contributions': 200, 'location': 'United Kingdom'}, {'user': 'sbonner0', 'contributions': 10, 'location': 'United Kingdom'}, {'user': 'hayesall', 'contributions': 1, 'location': 'Bloomington, IN, USA'}, {'user': 'lynnehansen', 'contributions': 1, 'location': None}]"
astrazeneca,skywalkR,False,,,45,16,"[{'user': 'fuchsfranklin', 'forked_at': '2024-06-17T12:29:12Z'}, {'user': 'preddykolan19', 'forked_at': '2024-01-12T17:27:20Z'}, {'user': 'sigven', 'forked_at': '2024-01-09T17:12:50Z'}, {'user': 'wumirose', 'forked_at': '2023-10-24T18:44:35Z'}, {'user': 'sbhttchryy', 'forked_at': '2023-06-23T12:39:58Z'}, {'user': 'NIKE-ADIDAS', 'forked_at': '2023-02-03T14:04:26Z'}, {'user': 'karlgem', 'forked_at': '2023-01-24T11:12:19Z'}, {'user': 'Tangke-user', 'forked_at': '2022-04-28T06:54:06Z'}, {'user': 'kelly1210', 'forked_at': '2022-04-21T03:02:43Z'}, {'user': 'tianyuzelin', 'forked_at': '2022-04-14T08:40:08Z'}, {'user': 'sbonner0', 'forked_at': '2022-03-04T13:58:27Z'}, {'user': 'mughetto', 'forked_at': '2022-02-23T08:48:16Z'}, {'user': 'PedramPedram', 'forked_at': '2022-02-22T18:25:59Z'}, {'user': 'DanceInClouds', 'forked_at': '2021-08-17T08:25:08Z'}, {'user': 'stjordanis', 'forked_at': '2021-07-26T16:14:51Z'}, {'user': 'terragord7', 'forked_at': '2021-07-26T11:54:16Z'}]",0,4,,True,True,49,1,3,"[{'user': 'gogleva', 'contributions': 17, 'location': 'Cambridge, UK'}, {'user': 'mughetto', 'contributions': 3, 'location': 'Gothenburg'}, {'user': 'stefanoborini', 'contributions': 3, 'location': 'Cambridge, UK'}]"
astrazeneca,awesome-explainable-graph-reasoning,False,,,1954,130,"[{'user': 'ZelinW', 'forked_at': '2024-10-12T12:58:35Z'}, {'user': 'Liang-lt', 'forked_at': '2024-04-02T03:37:24Z'}, {'user': 'Mrzjk', 'forked_at': '2024-03-06T01:56:54Z'}, {'user': 'striker0909', 'forked_at': '2024-02-22T04:49:58Z'}, {'user': 'VV-Cheung', 'forked_at': '2024-01-23T14:03:02Z'}, {'user': 'phase7', 'forked_at': '2023-08-01T04:40:10Z'}, {'user': 'umberH', 'forked_at': '2023-05-02T03:17:27Z'}, {'user': 'huangliang0828', 'forked_at': '2023-04-02T08:36:26Z'}, {'user': 'lsudupe', 'forked_at': '2023-03-16T06:38:55Z'}, {'user': 'faycel-dev', 'forked_at': '2023-02-07T20:39:58Z'}, {'user': 'zedoul', 'forked_at': '2023-01-23T09:46:52Z'}, {'user': '5l1v3r1', 'forked_at': '2023-01-18T19:27:30Z'}, {'user': 'ipark2021', 'forked_at': '2022-04-20T19:39:48Z'}, {'user': 'josesaribeiro', 'forked_at': '2022-03-23T12:51:22Z'}, {'user': 'vishalbelsare', 'forked_at': '2022-03-15T15:19:04Z'}, {'user': 'MohsenSharifi1991', 'forked_at': '2022-02-24T02:30:51Z'}, {'user': 'sharique1006', 'forked_at': '2022-02-23T08:14:42Z'}, {'user': 'Jazeeeb', 'forked_at': '2022-02-21T03:28:29Z'}, {'user': 'marvin-hansen', 'forked_at': '2022-02-20T05:38:53Z'}, {'user': 'XuanVuNguyen', 'forked_at': '2022-02-19T09:11:07Z'}, {'user': 'TokisakiKurumi2001', 'forked_at': '2022-02-13T11:42:09Z'}, {'user': 'blacker521', 'forked_at': '2022-02-02T13:59:43Z'}, {'user': 'nomisto', 'forked_at': '2022-01-31T12:42:25Z'}, {'user': 'dejavu2010', 'forked_at': '2022-01-30T02:37:54Z'}, {'user': 'Houliang-Zhou', 'forked_at': '2022-01-27T05:05:27Z'}, {'user': 'quocdat32461997', 'forked_at': '2022-01-18T23:05:23Z'}, {'user': 'BDAA-VIL', 'forked_at': '2022-01-12T03:03:48Z'}, {'user': 'khanhbrandy', 'forked_at': '2022-01-09T16:45:13Z'}, {'user': 'swapnasourav', 'forked_at': '2022-01-08T14:02:49Z'}, {'user': 'kshitijzutshi', 'forked_at': '2022-01-06T19:35:57Z'}, {'user': 'jake-aft', 'forked_at': '2022-01-06T15:56:44Z'}, {'user': 'albertyzhang', 'forked_at': '2022-01-06T09:44:11Z'}, {'user': 'dataonb', 'forked_at': '2022-01-06T04:33:45Z'}, {'user': 'iuriimattos2', 'forked_at': '2022-01-06T03:44:00Z'}, {'user': 'awesome-tutors', 'forked_at': '2022-01-05T11:41:06Z'}, {'user': '20194547JangYunseo', 'forked_at': '2022-01-05T11:13:31Z'}, {'user': 'Bharat-Runwal', 'forked_at': '2022-01-05T06:04:30Z'}, {'user': 'jrhumberto', 'forked_at': '2022-01-04T23:51:33Z'}, {'user': 'mattjtodd', 'forked_at': '2022-01-04T15:54:26Z'}, {'user': 'personx000', 'forked_at': '2022-01-04T15:38:25Z'}, {'user': 'marcogomex', 'forked_at': '2022-01-04T12:11:44Z'}, {'user': 'joaquincabezas', 'forked_at': '2022-01-04T12:04:46Z'}, {'user': 'bkbonde', 'forked_at': '2022-01-04T11:34:07Z'}, {'user': 'agent87', 'forked_at': '2022-01-04T08:09:42Z'}, {'user': 'bigdatavik', 'forked_at': '2022-01-04T03:56:14Z'}, {'user': 'aRauchen', 'forked_at': '2022-01-04T03:30:41Z'}, {'user': 'samangel93', 'forked_at': '2022-01-04T02:38:05Z'}, {'user': 'KirinoMao', 'forked_at': '2022-01-04T01:58:57Z'}, {'user': 'drchrisegwim', 'forked_at': '2022-01-03T23:13:48Z'}, {'user': 'taras-stx', 'forked_at': '2022-01-03T20:49:23Z'}, {'user': 'Josenyldo', 'forked_at': '2022-01-03T19:57:22Z'}, {'user': 'chsafouane', 'forked_at': '2022-01-03T18:32:57Z'}, {'user': 'Sean0719', 'forked_at': '2022-01-03T16:40:34Z'}, {'user': 'canslove', 'forked_at': '2022-01-03T16:24:59Z'}, {'user': 'obada-alzoubi', 'forked_at': '2022-01-03T15:44:02Z'}, {'user': 'aorogat', 'forked_at': '2022-01-03T15:40:17Z'}, {'user': 'adbmd', 'forked_at': '2022-01-03T15:06:44Z'}, {'user': 'SaqibMamoon', 'forked_at': '2022-01-03T15:04:37Z'}, {'user': 'crcrpar', 'forked_at': '2022-01-03T14:25:53Z'}, {'user': 'mehr-licht', 'forked_at': '2022-01-03T14:23:26Z'}, {'user': 'aouedions11', 'forked_at': '2022-01-03T13:18:06Z'}, {'user': 'abdulsattar-arctic', 'forked_at': '2022-01-03T13:12:35Z'}, {'user': 'MagnetonBora', 'forked_at': '2022-01-03T12:03:25Z'}, {'user': 'mpofukelvintafadzwa', 'forked_at': '2022-01-03T11:37:40Z'}, {'user': 'desmondteoch', 'forked_at': '2022-01-03T11:26:25Z'}, {'user': 'truongcntn2017', 'forked_at': '2022-01-03T11:24:36Z'}, {'user': 'o7s8r6', 'forked_at': '2022-01-03T11:24:35Z'}, {'user': 'Rubiel1', 'forked_at': '2022-01-03T10:57:33Z'}, {'user': 'pierrehack', 'forked_at': '2022-01-03T09:55:52Z'}, {'user': 'bhavya104', 'forked_at': '2022-01-03T09:45:51Z'}, {'user': 'lambdaofgod', 'forked_at': '2022-01-03T09:20:14Z'}, {'user': 'Ochibobo', 'forked_at': '2022-01-03T07:54:03Z'}, {'user': 'yogeshmj', 'forked_at': '2021-12-02T12:01:10Z'}, {'user': 'alexmartinezmiguel', 'forked_at': '2021-11-29T10:38:38Z'}, {'user': 'Taoismer', 'forked_at': '2021-11-18T14:25:01Z'}, {'user': 'WilliamCCHuang', 'forked_at': '2021-10-26T03:45:31Z'}, {'user': 'xinyu-site', 'forked_at': '2021-10-18T09:01:57Z'}, {'user': 'Dragonriser', 'forked_at': '2021-10-14T07:36:57Z'}, {'user': 'gsanou', 'forked_at': '2021-10-07T07:30:40Z'}, {'user': 'asener1', 'forked_at': '2021-10-07T00:08:05Z'}, {'user': 'jarvisloh', 'forked_at': '2021-10-05T22:02:34Z'}, {'user': 'charleneleong-ai', 'forked_at': '2021-09-29T23:12:27Z'}, {'user': 'seihwan2021', 'forked_at': '2021-08-22T11:33:51Z'}, {'user': 'alexgcsa', 'forked_at': '2021-08-16T00:01:51Z'}, {'user': 'oylumalatli', 'forked_at': '2021-08-14T11:03:05Z'}, {'user': 'YINGZHANG233', 'forked_at': '2021-08-14T02:24:05Z'}, {'user': 'songdj', 'forked_at': '2021-08-07T19:35:04Z'}, {'user': 'xiaomingaaa', 'forked_at': '2021-07-26T09:05:47Z'}, {'user': 'Jhy1993', 'forked_at': '2021-07-24T04:06:04Z'}, {'user': 'Antimonylover', 'forked_at': '2021-07-23T12:41:47Z'}, {'user': 'sbonner0', 'forked_at': '2021-07-22T13:12:29Z'}, {'user': 'reneje', 'forked_at': '2021-07-19T04:46:51Z'}, {'user': 'Sri-DL-ML-AI', 'forked_at': '2021-07-19T01:22:11Z'}, {'user': 'biyanisuraj', 'forked_at': '2021-07-18T07:03:52Z'}, {'user': 'occultism', 'forked_at': '2021-07-17T17:47:28Z'}, {'user': 'itsyogeshd', 'forked_at': '2021-07-17T17:03:07Z'}, {'user': 'Neuraleon', 'forked_at': '2021-07-17T13:02:57Z'}, {'user': 'krishnanj', 'forked_at': '2021-07-17T10:20:09Z'}, {'user': 'wanyu-lin', 'forked_at': '2021-07-17T01:52:09Z'}, {'user': 'AbdullahMohammadKhan', 'forked_at': '2021-07-17T00:06:15Z'}]",0,17,4299893.5,True,True,129,1,10,"[{'user': 'benedekrozemberczki', 'contributions': 112, 'location': 'United Kingdom'}, {'user': 'sbonner0', 'contributions': 4, 'location': 'United Kingdom'}, {'user': 'GavEdwards', 'contributions': 3, 'location': 'UK'}, {'user': 'joaquincabezas', 'contributions': 2, 'location': 'España'}, {'user': 'nomisto', 'contributions': 2, 'location': 'Vienna, Austria'}, {'user': 'pminervini', 'contributions': 2, 'location': 'London, UK'}, {'user': 'danilonumeroso', 'contributions': 1, 'location': None}, {'user': 'sebastiandro', 'contributions': 1, 'location': 'Gothenburg, Sweden'}, {'user': 'stefanoborini', 'contributions': 1, 'location': 'Cambridge, UK'}, {'user': 'geemi725', 'contributions': 1, 'location': None}]"
astrazeneca,qscheck,False,,,2,0,[],7,30,,True,True,423,0,2,"[{'user': 'stefanoborini', 'contributions': 321, 'location': 'Cambridge, UK'}, {'user': 'dkarletsos', 'contributions': 102, 'location': None}]"
