id,tag_name,name,created_at,published_at,author_login,author_name
RE_kwDOLctQ6c4K9796,v6.0.3,v6.0.3,2024-11-06T19:21:09Z,2024-11-06T19:21:19Z,release-please[bot],
RE_kwDOLctQ6c4K9FFd,v6.0.2,v6.0.2,2024-11-05T18:04:04Z,2024-11-05T18:04:12Z,release-please[bot],
RE_kwDOLctQ6c4K703a,v6.0.1,v6.0.1,2024-11-04T20:12:53Z,2024-11-04T20:13:00Z,release-please[bot],
RE_kwDOLctQ6c4Kdcdr,v6.0.0,v6.0.0,2024-09-17T15:41:24Z,2024-09-17T15:41:32Z,release-please[bot],
RE_kwDOLctQ6c4KQyoD,v5.2.5,v5.2.5,2024-08-27T15:07:22Z,2024-08-27T15:07:29Z,release-please[bot],
RE_kwDOLctQ6c4KOYcJ,v5.2.4,v5.2.4,2024-08-22T19:13:11Z,2024-08-22T19:13:16Z,release-please[bot],
RE_kwDOLctQ6c4KKrWG,v5.2.3,v5.2.3,2024-08-16T15:48:59Z,2024-08-16T15:49:06Z,release-please[bot],
RE_kwDOLctQ6c4KIuQ2,v5.2.2,v5.2.2,2024-08-13T21:02:11Z,2024-08-13T21:02:17Z,release-please[bot],
RE_kwDOLctQ6c4KH9fT,v5.2.1,v5.2.1,2024-08-12T21:38:44Z,2024-08-12T21:38:49Z,release-please[bot],
RE_kwDOLctQ6c4KCF3i,v5.2.0,v5.2.0,2024-08-01T20:10:39Z,2024-08-01T20:10:45Z,release-please[bot],
RE_kwDOLctQ6c4JpDh_,v5.1.1,v5.1.1,2024-06-22T01:20:45Z,2024-06-22T01:20:52Z,release-please[bot],
RE_kwDOLctQ6c4JjstX,v5.1.0,v5.1.0,2024-06-13T18:03:04Z,2024-06-13T18:03:11Z,release-please[bot],
RE_kwDOLctQ6c4JPKpB,v5.0.2,v5.0.2,2024-05-09T15:59:30Z,2024-05-09T15:59:37Z,release-please[bot],
RE_kwDOLctQ6c4I9U6q,v5.0.1,v5.0.1,2024-04-08T21:18:33Z,2024-04-08T21:18:38Z,release-please[bot],
RE_kwDOLctQ6c4I7r2p,v5.0.0,v5.0.0,2024-04-04T23:57:15Z,2024-04-04T23:57:20Z,release-please[bot],
RE_kwDOLctQ6c4I2zjz,v4.3.0,v4.3.0,2024-03-27T00:58:25Z,2024-03-27T00:58:29Z,release-please[bot],
RE_kwDOLctQ6c4IvaCX,v4.2.1,v4.2.1,2024-03-14T18:16:43Z,2024-03-14T18:16:48Z,release-please[bot],
RE_kwDOLctQ6c4IvYUC,v4.2.0,v4.2.0,2024-03-14T17:45:00Z,2024-03-14T17:45:05Z,release-please[bot],
RE_kwDOLctQ6c4IvWml,v4.1.8,v4.1.8,2024-03-14T17:01:32Z,2024-03-14T17:01:38Z,release-please[bot],
RE_kwDOLctQ6c4ItmzN,v4.1.7,v4.1.7,2024-03-13T01:26:07Z,2024-03-13T01:26:12Z,release-please[bot],
RE_kwDOLctQ6c4Itmnw,v4.1.6,v4.1.6,2024-03-13T01:12:47Z,2024-03-13T01:13:20Z,release-please[bot],
RE_kwDOLctQ6c4Isv25,v4.1.5,v4.1.5,2024-03-12T00:36:09Z,2024-03-12T00:36:13Z,release-please[bot],
RE_kwDOLctQ6c4IsvIy,v4.1.4,v4.1.4,2024-03-11T23:52:08Z,2024-03-11T23:52:12Z,release-please[bot],
RE_kwDOLctQ6c4IstX1,v4.1.3,v4.1.3,2024-03-11T22:30:21Z,2024-03-11T22:30:26Z,release-please[bot],
RE_kwDOLctQ6c4Isrh1,v4.1.2,v4.1.2,2024-03-11T21:12:36Z,2024-03-11T21:12:42Z,release-please[bot],
RE_kwDOLctQ6c4IspVZ,v4.1.1,v4.1.1,2024-03-11T20:09:49Z,2024-03-11T20:09:53Z,release-please[bot],
RE_kwDOLctQ6c4Ipucp,v4.1.0,v4.1.0,2024-03-06T22:31:35Z,2024-03-06T22:31:39Z,release-please[bot],
