fork_id,fork_name,fork_full_name,fork_owner,fork_url,fork_created_at,fork_updated_at
R_kgDOGvDfjA,Project-1-Genome-Assembly,Jasoniyu/Project-1-Genome-Assembly,Jasoniyu,https://github.com/Jasoniyu/Project-1-Genome-Assembly,2022-01-25T18:22:28Z,2022-01-31T02:30:43Z
R_kgDOGvETZQ,Project-1-Genome-Assembly,MohitS704/Project-1-Genome-Assembly,MohitS704,https://github.com/MohitS704/Project-1-Genome-Assembly,2022-01-25T19:04:38Z,2022-01-25T19:27:00Z
R_kgDOGvEceA,Project-1-Genome-Assembly,btt3zc/Project-1-Genome-Assembly,btt3zc,https://github.com/btt3zc/Project-1-Genome-Assembly,2022-01-25T19:12:32Z,2022-01-26T15:54:42Z
R_kgDOGvEpMw,Project-1-Genome-Assembly,neil-phan/Project-1-Genome-Assembly,neil-phan,https://github.com/neil-phan/Project-1-Genome-Assembly,2022-01-25T19:23:02Z,2022-01-25T18:12:39Z
R_kgDOGvEsCA,Project-1-Genome-Assembly,aliparslan/Project-1-Genome-Assembly,aliparslan,https://github.com/aliparslan/Project-1-Genome-Assembly,2022-01-25T19:25:33Z,2022-01-26T20:13:18Z
R_kgDOGvFZpA,Project-1-Genome-Assembly,jpg6qdf/Project-1-Genome-Assembly,jpg6qdf,https://github.com/jpg6qdf/Project-1-Genome-Assembly,2022-01-25T20:05:06Z,2022-02-04T01:48:14Z
R_kgDOGvGnPQ,Project-1-Genome-Assembly,lilyroark/Project-1-Genome-Assembly,lilyroark,https://github.com/lilyroark/Project-1-Genome-Assembly,2022-01-25T21:15:31Z,2022-01-30T16:40:35Z
R_kgDOGvJBYQ,Project-1-Genome-Assembly,nikhil-R-A/Project-1-Genome-Assembly,nikhil-R-A,https://github.com/nikhil-R-A/Project-1-Genome-Assembly,2022-01-26T00:06:49Z,2022-01-25T18:12:39Z
R_kgDOGvJVlA,Project-1-Genome-Assembly,davidboominkim/Project-1-Genome-Assembly,davidboominkim,https://github.com/davidboominkim/Project-1-Genome-Assembly,2022-01-26T00:30:01Z,2022-02-07T02:38:54Z
R_kgDOGvKjNg,Project-1-Genome-Assembly,tinnieteal/Project-1-Genome-Assembly,tinnieteal,https://github.com/tinnieteal/Project-1-Genome-Assembly,2022-01-26T02:03:59Z,2022-02-08T17:22:25Z
R_kgDOGvXDcg,Project-1-Genome-Assembly,sidc95/Project-1-Genome-Assembly,sidc95,https://github.com/sidc95/Project-1-Genome-Assembly,2022-01-26T14:47:01Z,2022-01-25T18:12:39Z
R_kgDOGvZJOQ,Project-1-Genome-Assembly,dag5jr/Project-1-Genome-Assembly,dag5jr,https://github.com/dag5jr/Project-1-Genome-Assembly,2022-01-26T16:18:28Z,2022-01-28T03:18:09Z
R_kgDOGvawjg,Project-1-Genome-Assembly,sarahabourakty/Project-1-Genome-Assembly,sarahabourakty,https://github.com/sarahabourakty/Project-1-Genome-Assembly,2022-01-26T17:33:50Z,2022-01-25T18:12:39Z
R_kgDOGva0Uw,Project-1-Genome-Assembly,snyshadham12/Project-1-Genome-Assembly,snyshadham12,https://github.com/snyshadham12/Project-1-Genome-Assembly,2022-01-26T17:36:52Z,2022-01-31T17:39:00Z
R_kgDOGvbCvQ,Project-1-Genome-Assembly,izzy-shehan/Project-1-Genome-Assembly,izzy-shehan,https://github.com/izzy-shehan/Project-1-Genome-Assembly,2022-01-26T17:47:29Z,2022-02-01T20:29:30Z
R_kgDOGvbFzw,Project-1-Genome-Assembly,ianswitzer/Project-1-Genome-Assembly,ianswitzer,https://github.com/ianswitzer/Project-1-Genome-Assembly,2022-01-26T17:49:44Z,2022-01-26T22:08:07Z
