pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url
PR_kwDOMT9ckc50z3c7,chore(deps): bump rimraf from 5.0.7 to 6.0.0,MERGED,2024-07-09T10:21:17Z,2024-07-09T12:34:55Z,2024-07-09T12:34:55Z,2024-07-09T12:34:55Z,dependabot,https://github.com/jaroslav-zukov/genome-assembly-notes/pull/1
PR_kwDOMT9ckc50z3g1,chore(deps): bump workerpool from 9.1.2 to 9.1.3,MERGED,2024-07-09T10:21:22Z,2024-07-09T12:37:13Z,2024-07-09T12:37:06Z,2024-07-09T12:37:06Z,dependabot,https://github.com/jaroslav-zukov/genome-assembly-notes/pull/2
PR_kwDOMT9ckc50z3l9,chore(deps): bump ws from 8.17.1 to 8.18.0,MERGED,2024-07-09T10:21:30Z,2024-07-09T12:34:42Z,2024-07-09T12:34:42Z,2024-07-09T12:34:42Z,dependabot,https://github.com/jaroslav-zukov/genome-assembly-notes/pull/3
PR_kwDOMT9ckc50z3rf,chore(deps-dev): bump typescript from 5.4.5 to 5.5.3,MERGED,2024-07-09T10:21:39Z,2024-07-09T12:34:31Z,2024-07-09T12:34:31Z,2024-07-09T12:34:31Z,dependabot,https://github.com/jaroslav-zukov/genome-assembly-notes/pull/4
PR_kwDOMT9ckc50z3vQ,chore(deps): bump globby from 14.0.1 to 14.0.2,MERGED,2024-07-09T10:21:44Z,2024-07-09T12:34:21Z,2024-07-09T12:34:21Z,2024-07-09T12:34:21Z,dependabot,https://github.com/jaroslav-zukov/genome-assembly-notes/pull/5
PR_kwDOMT9ckc502oCa,"Revert ""chore(deps): bump globby from 14.0.1 to 14.0.2""",MERGED,2024-07-09T15:43:42Z,2024-07-09T15:43:48Z,2024-07-09T15:43:48Z,2024-07-09T15:43:48Z,jaroslav-zukov,https://github.com/jaroslav-zukov/genome-assembly-notes/pull/6
PR_kwDOMT9ckc502ooc,"Revert ""chore(deps): bump rimraf from 5.0.7 to 6.0.0""",MERGED,2024-07-09T15:45:07Z,2024-07-09T15:45:13Z,2024-07-09T15:45:13Z,2024-07-09T15:45:13Z,jaroslav-zukov,https://github.com/jaroslav-zukov/genome-assembly-notes/pull/7
PR_kwDOMT9ckc51bA-I,chore(deps-dev): bump tsx from 4.16.0 to 4.16.2,CLOSED,2024-07-15T18:47:52Z,2024-08-05T18:14:32Z,2024-08-05T18:14:31Z,,dependabot,https://github.com/jaroslav-zukov/genome-assembly-notes/pull/8
PR_kwDOMT9ckc51bBCY,chore(deps): bump @floating-ui/dom from 1.6.5 to 1.6.7,CLOSED,2024-07-15T18:48:03Z,2024-07-22T18:46:47Z,2024-07-22T18:46:45Z,,dependabot,https://github.com/jaroslav-zukov/genome-assembly-notes/pull/9
PR_kwDOMT9ckc51bBEm,chore(deps): bump remark-smartypants from 2.1.0 to 3.0.2,OPEN,2024-07-15T18:48:09Z,2024-07-15T18:48:10Z,,,dependabot,https://github.com/jaroslav-zukov/genome-assembly-notes/pull/10
PR_kwDOMT9ckc51bBG7,chore(deps-dev): bump prettier from 3.3.2 to 3.3.3,OPEN,2024-07-15T18:48:15Z,2024-07-15T18:48:16Z,,,dependabot,https://github.com/jaroslav-zukov/genome-assembly-notes/pull/11
PR_kwDOMT9ckc51bBI4,chore(deps): bump lightningcss from 1.24.1 to 1.25.1,CLOSED,2024-07-15T18:48:20Z,2024-08-12T18:28:27Z,2024-08-12T18:28:26Z,,dependabot,https://github.com/jaroslav-zukov/genome-assembly-notes/pull/12
PR_kwDOMT9ckc52IMgf,chore(deps): bump @floating-ui/dom from 1.6.5 to 1.6.8,CLOSED,2024-07-22T18:46:44Z,2024-08-12T18:29:04Z,2024-08-12T18:29:02Z,,dependabot,https://github.com/jaroslav-zukov/genome-assembly-notes/pull/13
PR_kwDOMT9ckc53ey4F,chore(deps-dev): bump tsx from 4.16.0 to 4.16.5,CLOSED,2024-08-05T18:14:29Z,2024-08-12T18:27:33Z,2024-08-12T18:27:32Z,,dependabot,https://github.com/jaroslav-zukov/genome-assembly-notes/pull/14
PR_kwDOMT9ckc54JFGM,chore(deps-dev): bump tsx from 4.16.0 to 4.17.0,CLOSED,2024-08-12T18:27:29Z,2024-08-26T18:28:53Z,2024-08-26T18:28:51Z,,dependabot,https://github.com/jaroslav-zukov/genome-assembly-notes/pull/15
PR_kwDOMT9ckc54JFbK,chore(deps): bump lightningcss from 1.24.1 to 1.26.0,CLOSED,2024-08-12T18:28:24Z,2024-09-16T18:15:24Z,2024-09-16T18:15:22Z,,dependabot,https://github.com/jaroslav-zukov/genome-assembly-notes/pull/16
PR_kwDOMT9ckc54JFof,chore(deps): bump @floating-ui/dom from 1.6.5 to 1.6.10,CLOSED,2024-08-12T18:29:00Z,2024-09-16T18:15:32Z,2024-09-16T18:15:30Z,,dependabot,https://github.com/jaroslav-zukov/genome-assembly-notes/pull/17
PR_kwDOMT9ckc55eW-h,chore(deps-dev): bump tsx from 4.16.0 to 4.18.0,CLOSED,2024-08-26T18:28:49Z,2024-09-02T18:16:09Z,2024-09-02T18:16:07Z,,dependabot,https://github.com/jaroslav-zukov/genome-assembly-notes/pull/18
PR_kwDOMT9ckc56MAD4,chore(deps-dev): bump tsx from 4.16.0 to 4.19.0,CLOSED,2024-09-02T18:16:05Z,2024-09-16T18:16:19Z,2024-09-16T18:16:18Z,,dependabot,https://github.com/jaroslav-zukov/genome-assembly-notes/pull/19
PR_kwDOMT9ckc57qDaf,chore(deps): bump lightningcss from 1.24.1 to 1.27.0,OPEN,2024-09-16T18:15:20Z,2024-09-16T18:15:21Z,,,dependabot,https://github.com/jaroslav-zukov/genome-assembly-notes/pull/20
PR_kwDOMT9ckc57qDdr,chore(deps): bump @floating-ui/dom from 1.6.5 to 1.6.11,OPEN,2024-09-16T18:15:28Z,2024-09-16T18:15:29Z,,,dependabot,https://github.com/jaroslav-zukov/genome-assembly-notes/pull/21
PR_kwDOMT9ckc57qD-b,chore(deps-dev): bump tsx from 4.16.0 to 4.19.1,OPEN,2024-09-16T18:16:16Z,2024-09-16T18:16:17Z,,,dependabot,https://github.com/jaroslav-zukov/genome-assembly-notes/pull/22
