id,title,state,created_at,updated_at,closed_at,body,user,url
MDU6SXNzdWU1MDM3MDc4MA==,Please confirm license,CLOSED,2014-11-28T12:42:42Z,2017-05-03T07:58:05Z,2017-05-03T07:58:05Z,"Hi there,
I'd be inerested in deploying chilin but would first like to get some clarity on the license it's under. Could you please include it in Github?
",mjafin,https://github.com/cfce/chilin/issues/1
MDU6SXNzdWUyMTA4NjQyMjU=,Cannot Find Command chilin,CLOSED,2017-02-28T18:04:13Z,2017-06-23T14:09:53Z,2017-06-23T14:09:53Z,"Hi everyone,

I followed all of the steps to install chilin.
However, after I source the virtual environment, when I try to run chilin -h, it says 
`(chilin_env)[ccag@ares bin]$ chilin
-bash: chilin: command not found
`

What might have happened here?",christacaggiano,https://github.com/cfce/chilin/issues/3
MDU6SXNzdWUyMTMzMjQzMTQ=,not possible to install in home directory,CLOSED,2017-03-10T12:06:34Z,2017-05-03T07:58:22Z,2017-05-03T07:58:22Z,"--Hi,

failed to install in home directory:

python setup.py install --home=/home/me/bin/CHILIN
error: unrecognized arguments: --home=/home/me/bin/CHILIN
",lmanchon,https://github.com/cfce/chilin/issues/4
MDU6SXNzdWUyMjg2MTc4OTE=,My ChiLin cannot find .tex files,CLOSED,2017-05-15T06:33:59Z,2017-07-01T08:17:16Z,2017-07-01T08:17:16Z,"I have some troubles with running chilin.

When I tried demo/foxa1 using bash command, I could get the final pdf file.
Next, I tried the command:
chilin  simple -p narrow -t foxa1_t1.fastq  -c foxa1_c1.fastq -i local -o local -s hg19  --skip 10,12 --dont_remove

it says
cat: /Users/macbookairf6t6/chilin/local/latex/local_fastqc.tex: No such file or directory

and the command line would stop after displaying some ""LaTeX Warning"".

I think there would be something wrong with my MacTex settings..
How can I solve the problem? 

Thanks.",kumanuke,https://github.com/cfce/chilin/issues/5
MDU6SXNzdWUyMzU3NDMxNjg=,demo bash (demo foxa1) running error and failed ,CLOSED,2017-06-14T02:14:38Z,2018-04-13T03:08:14Z,2018-04-13T03:08:14Z,"I used root privilege to install the package.
There is a typo in the installation protocol:
```
md5sum -c hg19.tgz
```
should be 

```
md5sum -c hg19.tgz.md5
```
Anyway, there was no failure message during installation.

However, when I run the demo (bash foxa1), the throw-out error was:
```
[main] CMD: bwa samse /bioware/chilin/db/mycoplasma.fasta /bioware/chilin/demo/local/local_control_rep2mycoplasma.sai /bioware/chilin/demo/local/local_control_rep2_100k.fastq
[main] Real time: 0.126 sec; CPU: 0.125 sec
[samopen] SAM header is present: 1 sequences.
[samopen] SAM header is present: 1 sequences.
[bwa_aln] 17bp reads: max_diff = 2
[bwa_aln] 38bp reads: max_diff = 3
[bwa_aln] 64bp reads: max_diff = 4
[bwa_aln] 93bp reads: max_diff = 5
[bwa_aln] 124bp reads: max_diff = 6
[bwa_aln] 157bp reads: max_diff = 7
[bwa_aln] 190bp reads: max_diff = 8
[bwa_aln] 225bp reads: max_diff = 9
[bwa_aln] fail to locate the index
[bwa_sai2sam_se] fail to locate the index
[bwa_aln] 17bp reads: max_diff = 2
[bwa_aln] 38bp reads: max_diff = 3
[bwa_aln] 64bp reads: max_diff = 4
[bwa_aln] 93bp reads: max_diff = 5
[bwa_aln] 124bp reads: max_diff = 6
[bwa_aln] 157bp reads: max_diff = 7
[bwa_aln] 190bp reads: max_diff = 8
[bwa_aln] 225bp reads: max_diff = 9
[bwa_aln] fail to locate the index
[bwa_sai2sam_se] fail to locate the index

[bwa_sai2sam_se] fail to locate the index
[main_samview] fail to open ""/bioware/chilin/demo/local/local_treat_rep1.sam"" for reading.
[main_samview] fail to open ""/bioware/chilin/demo/local/local_treat_rep2.sam"" for reading.
[main_samview] fail to open ""/bioware/chilin/demo/local/local_control_rep1.sam"" for reading.
[main_samview] fail to open ""/bioware/chilin/demo/local/local_control_rep2.sam"" for reading.

```

And asked me repeatedly to input the file name:

```
This is pdfTeX, Version 3.1415926-2.5-1.40.14 (TeX Live 2013)
 restricted \write18 enabled.
entering extended mode
(/bioware/chilin/demo/local/local_report.tex
LaTeX2e <2011/06/27>
Babel <v3.8m> and hyphenation patterns for english, dumylang, nohyphenation, lo
aded.
(/usr/share/texlive/texmf-dist/tex/latex/base/report.cls
Document Class: report 2007/10/19 v1.4h Standard LaTeX document class
(/usr/share/texlive/texmf-dist/tex/latex/base/size10.clo))
(/usr/share/texlive/texmf-dist/tex/latex/geometry/geometry.sty
(/usr/share/texlive/texmf-dist/tex/latex/graphics/keyval.sty)
(/usr/share/texlive/texmf-dist/tex/generic/oberdiek/ifpdf.sty)
(/usr/share/texlive/texmf-dist/tex/generic/oberdiek/ifvtex.sty)
(/usr/share/texlive/texmf-dist/tex/generic/ifxetex/ifxetex.sty))

! LaTeX Error: File `fullpage.sty' not found.

Type X to quit or <RETURN> to proceed,
or enter new name. (Default extension: sty)

Enter file name: temp3
```

I think the latter case is to call Latex to output result in PDF format? because the previous step, the error was thrown-out, then the pipeline gave its complaint. Any suggestions?

",zhenyisong,https://github.com/cfce/chilin/issues/6
MDU6SXNzdWUyNDA3NDc5MjA=,Not generating .bam files,CLOSED,2017-07-05T19:11:50Z,2019-07-04T01:09:31Z,2019-07-04T01:09:31Z,"Hi, I was trying to run chilin on a new sample with the following command:
```
chilin simple -s hg38 --threads 8 -i BCL3_t00 -o BCL3_t00 -t ${sample} 
-c ${ctrl} --dont_remove -p narrow 2>&1
```

The program runs through but only completes the FastQC steps. I looked at the log and found the following:

![image](https://user-images.githubusercontent.com/14950752/27880486-1aa381ba-6193-11e7-8155-472a1c4df929.png)

This happens occurs every instance where there is a .bam file attempted to be read where there is an empty line followed by:
```
Missing inputs ['/gpfs/fs0/data/reddylab/Darryl/BCL3_t00/BCL3_t00_treat_rep1mycoplasma.bam']
```
Perhaps there is an issue generating the .bam files? I believe I have the correct dependencies and version of *samtools (version 1.3.1). If you could shed some light on this issue I would appreciate it. 


",darrylyan46,https://github.com/cfce/chilin/issues/7
MDU6SXNzdWUzMjM5ODg5Njk=,CHO Reference Data,CLOSED,2018-05-17T11:50:17Z,2019-07-04T01:09:57Z,2019-07-04T01:09:57Z,"I would like to use chilin with CHO data. Is this possible?

Thanks

Matt",mattdmem,https://github.com/cfce/chilin/issues/8
MDU6SXNzdWUzMzkxNDI4NTY=,Install error about activate_this.py,CLOSED,2018-07-07T12:33:42Z,2019-07-04T01:08:50Z,2019-07-04T01:08:50Z,"Hi everyone,

To install chilin, I followed all of the instruction in https://github.com/cfce/chilin
But I got this error
```
[sda@admin chilin]$ python setup.py install -f
Traceback (most recent call last):
  File ""/usr/bin/virtualenv"", line 5, in <module>
    from pkg_resources import load_entry_point
  File ""/pub5/xiaoyun/BioSoftware/Python-2.7.12/lib/python2.7/site-packages/pkg_resources/__init__.py"", line 22, in <module>
    import io
  File ""/pub5/xiaoyun/BioSoftware/Python-2.7.12/lib/python2.7/io.py"", line 51, in <module>
    import _io
ImportError: /pub5/xiaoyun/BioSoftware/Python-2.7.12/lib/python2.7/lib-dynload/_io.so: undefined symbol: _PyCodec_LookupTextEncoding
Traceback (most recent call last):
  File ""/usr/bin/virtualenv"", line 5, in <module>
    from pkg_resources import load_entry_point
  File ""/pub5/xiaoyun/BioSoftware/Python-2.7.12/lib/python2.7/site-packages/pkg_resources/__init__.py"", line 22, in <module>
    import io
  File ""/pub5/xiaoyun/BioSoftware/Python-2.7.12/lib/python2.7/io.py"", line 51, in <module>
    import _io
ImportError: /pub5/xiaoyun/BioSoftware/Python-2.7.12/lib/python2.7/lib-dynload/_io.so: undefined symbol: _PyCodec_LookupTextEncoding
Traceback (most recent call last):
  File ""setup.py"", line 315, in <module>
    main()
  File ""setup.py"", line 310, in main
    install_full()
  File ""setup.py"", line 217, in install_full
    execfile(""chilin_env/bin/activate_this.py"", dict(__file__=""chilin_env/bin/activate_this.py""))
IOError: [Errno 2] No such file or directory: 'chilin_env/bin/activate_this.py'

```
I have checked this file, ""chilin_env/bin/activate_this.py"" in github, it is indeed not exists.
Is it generated by setup.py? What should I do?
",sda910722,https://github.com/cfce/chilin/issues/9
MDU6SXNzdWU0NjM3MDQ5NTA=,Can't repeat the result of Cistrome Data Browser ,CLOSED,2019-07-03T11:44:23Z,2019-07-11T02:16:02Z,2019-07-11T02:16:02Z," Thanks for developing Cistrome Data Browser , it is a very useful tool.

I'm found SIRT3 ChIP-seq in Homo sapiens using this Browser. And I'm very interesting in this protein. I got BED peaks from your Browser, meanwhile I downloaded the raw data from GSM1006653 and processed using my own pipeline(bowtie2+samtools+MACS2)，but I found I can't repeat the result of Cistrome Data Browser (the browser's BED peaks contain 100 peaks but mine contain 3 peaks).
Then I found Cistrome Data Browser using your chilin pipeline (bwa+samtools+MACS2), and I used similar options with source code , but I failed to repeat the result too(my peak file contain 10 peaks).

 Here are the parameters I used , Could you give me some suggestions? Thanks in advance !


> Mapping&&Sam2bam
   bwa aln -q 5 -l 32 -k 2 -t 20 $index $clean1 > ${sample}.sai 
   bwa samse $index ${sample}.sai $clean1 >${sample}.sam 
   awk '$3!=""chrM"" && $3!=""chrY""' $sam | samtools view -@ 20 -bS -q 1 > $unique_bam
   samtools sort -@ 20 -l 9 $unique_bam -o $srt_bam
   Calling peak
   macs2 callpeak --SPMR -t $sample_t -c $sample_c -f BAM -g hs -B -q 0.01 -n $sample  --outdir $out

And before these steps , I used FastQC and trim_galore with default setting",QianzhaoJ,https://github.com/cfce/chilin/issues/10
MDU6SXNzdWU3Njg0MDkzNDc=,Help with installation,CLOSED,2020-12-16T03:15:10Z,2020-12-21T20:02:43Z,2020-12-21T20:02:43Z,"Hello :) 

ChiLin looks like a great pipeline and i would love to use it. 

Currently, i get an error: 

> error: unrecognized arguments: -f 
usage: setup.py [list|install]
Time-stamp: <2014-11-13 09:38:31 qqin>
install ChiLin and related program and dependent data
positional arguments:
  install     install chilin
optional arguments:
  -h, --help  show this help message and exit

when running: 
`python setup.py install -f`

Would you be able to put me in the right track with this please? 

Thank you,
Antonio 
",AntonioAhn,https://github.com/cfce/chilin/issues/12
