id,title,state,created_at,updated_at,closed_at,body,user,url
I_kwDOCxwUgs5D733j,ATAC: Filename 9_countMTReads.sh bug,CLOSED,2022-02-16T09:35:08Z,2022-06-29T09:37:16Z,2022-03-29T08:06:31Z,countMTReads.txt not outputting with filename,aspides-js,https://github.com/ejh243/BrainFANS/issues/4
I_kwDOCxwUgs5EfShl,alignment tmp files failing deletion,CLOSED,2022-02-24T09:28:28Z,2022-02-24T09:38:38Z,2022-02-24T09:38:38Z,samtools.tmp files output to the rawdatadir are not being deleted by the script,aspides-js,https://github.com/ejh243/BrainFANS/issues/5
I_kwDOCxwUgs52HwdF,create logFiles folder,CLOSED,2023-11-07T16:23:24Z,2024-06-06T18:30:10Z,2024-06-06T18:30:10Z,Write a small sh sript to set up new user with logFiles folders,ejh243,https://github.com/ejh243/BrainFANS/issues/6
I_kwDOCxwUgs52HwzB,create new data folders script,CLOSED,2023-11-07T16:24:06Z,2024-03-08T14:18:17Z,2024-03-08T14:18:17Z,"Add a bash script to initiate a new data folder with 0_meta, 1_rae and other sub folders",ejh243,https://github.com/ejh243/BrainFANS/issues/7
I_kwDOCxwUgs52fICy,Update DNAm processing scripts to use MSET,CLOSED,2023-11-10T15:45:59Z,2024-05-15T17:37:18Z,2024-05-15T17:37:18Z,Update DNAm processing scripts to take MSET object if gds does not exist.,ejh243,https://github.com/ejh243/BrainFANS/issues/8
I_kwDOCxwUgs58UwjM,[Code Refactor]: Shebang lines,CLOSED,2024-01-17T09:54:17Z,2024-03-08T13:44:31Z,2024-03-08T12:28:08Z,"# Problem

In a large quantity of scripts (examples):

```shell
general/jobSubmission/copyFiles.sh
integrative/chromHMM/jobSubmission/4_chmmCompareModels.sh
array/SNPArray/jobSubmission/formatforQTLs.sh
```

The shebang is given as:
```shell
#!/usr/bin/sh
```
or
```shell
#!/bin/sh
```

## Why this is a problem

Bash has many built-ins that POSIX shell does not. This includes (but is not limited to) `source`, arrays and `mapfile`. In the vast majority of cases `source` is being used in these scripts that use `#!/bin/sh` in the shebang. 

On many systems (including the HPC at UoE), there is a symbolic link between /bin/sh and /bin/bash. This means that if any issues arise during runtime of these scripts (related to POSIX shell not interpreting these commands), bash will be called to interpret the line instead.

The problem comes when the script is ran on a different machine/system where this is not the case. Such a machine/system would not be able to interpret these commands correctly which can result in unwanted behaviour. It is best to state your intentions in the shebang of an executable file.

If you are not using any bash built-ins in your script, then this is not an issue.

## Fix
Run these commands to convert all instances of `#!/bin/sh` (or `#!/usr/bin/sh`) to `#!/bin/bash` in your project:

```shell
list_of_shell_scripts=$(find . -type f -name *.sh)

for file in ""${list_of_shell_scripts}""; do
  # Using '@' delimiter to avoid excessive escaping of '/' characters
  sed -i 's@#!/bin/sh@#!/bin/bash@' $file
  sed -i 's@#!/usr/bin/sh@#!/bin/bash@' $file
done
```

 
",sof202,https://github.com/ejh243/BrainFANS/issues/9
I_kwDOCxwUgs58U23c,Unneeded change directory commands,CLOSED,2024-01-17T10:07:14Z,2024-01-23T16:19:50Z,2024-01-23T16:19:50Z,"# Problem

Many scripts have one of their first lines as:
```shell
cd ${SLURM_SUBMIT_DIR}
```

The value of the variable `${SLURM_SUBMIT_DIR}` is set to the present working directory of the user at the time of job submission. Upon job submission, the job will already be in this directory as a part of the initialisation.

This is a very useful feature of SLURM workload manager. However, in the majority of cases, this 'change directory' command is one of the first lines in the script (before any other 'change directory' commands). This makes these lines useless and slightly confusing (as they imply that the initial directory of the script is *not* where the user submits it from, which is false).

There is no actual error that occurs when running this command at the top of your script, thus this is of low importance. ",sof202,https://github.com/ejh243/BrainFANS/issues/10
I_kwDOCxwUgs58U_Y9,[Code Refactor]: `Change directory` (cd) error handling,CLOSED,2024-01-17T10:25:49Z,2024-03-15T10:24:07Z,2024-03-15T10:24:07Z,"# Problem

The vast majority of scripts do not have any error handling/catching for `cd` (change directory) commands. For example:

```shell
cd ${META_DIR}
cd ATACseq/MRC/0_metadata
```

For the majority of cases, this will work just as intended. However, one must consider the case where this command has a non-zero exit code. Cases where this could occur include:

- The source file containing this variable (${META_DIR}) is renamed (source file is not sourced)
- The variable (${META_DIR}) points to the wrong directory
- The directory (ATACseq/MRC/0_metadata) is moved/deleted
- The directory (ATACseq/MRC/0_metadata) is renamed

In these cases this line will throw an error. However, by default, shell scripts continue even if an error occurs. This means that unwanted behaviour can arise if this error is not handled. Consider the following scenario:

```shell
# Removes the text files in a temporary directory of the metadata directory
cd ${META_DIR}\temp
rm -f *.txt
```
 
If the `cd` command fails (for whatever reason), then the `rm` command will still be ran, likely in the wrong directory. This could end up removing files that the developer did not intend.

## Solution 1

During general debugging, the developer can add the following shell option to the top of their script:

```shell
set -e
```

This will result in the shell script automatically exiting upon receiving any error code. Which can be very useful when testing and debugging scripts. However, this should not be relied upon in final builds as having this shell option set will result in the script terminating for less serious errors and warnings (which can happen as a result of external programs). 

## Solution 2

For a final build, the recommended way to handle `cd` errors is to employ the following:

```shell
cd ${META_DIR} || exit 1
```

This approach will result in the script terminating if  `cd ${META_DIR}` returns a non-zero exit code (*i.e.* the `cd` command fails). This is more specific error handling to [solution one](#solution1). As an added bonus, this allows the user to give a specific error message if they so wish (to give more information to the user). For example

```shell
cd ${META_DIR} || {>&2 echo \
""Check the config file to ensure META_DIR is pointing to the correct directory. \
Currently this points to: ${META_DIR}."" 
exit 1}
```

Which can help with fixing the error in the future.
\
Note: `>&2` here will result in the echo statement to be written to the error file of the job instead of the log file.
",sof202,https://github.com/ejh243/BrainFANS/issues/11
I_kwDOCxwUgs588ztl,Templates,CLOSED,2024-01-23T15:17:18Z,2024-01-23T16:09:03Z,2024-01-23T16:09:03Z,"In order to implement a workflow that is user friendly, we should have templates for issues, discussions and pull requests on GitHub. This will make these actions more accessible to those who are less familiar with the development process.",sof202,https://github.com/ejh243/BrainFANS/issues/12
I_kwDOCxwUgs589Vlb,[Code Refactor]: Unnecessary change directory command,CLOSED,2024-01-23T16:19:01Z,2024-03-15T10:24:07Z,2024-03-15T10:24:07Z,"### Contact Details

s.o.fletcher@exeter.ac.uk

### Path to affected file

```shell
BrainFANS/integrative/chromHMM/jobSubmission/runChromatinStateEnrichments.sh
```


### Type of refactor

Code optimisation, Code understandability improvement

### Description of required code refactor

Currently, line 29 reads: `cd $SLURM_SUBMIT_DIR`

Considering that this is the first `cd` command in this script, this command is not doing anything and therefore can be removed to increase understandability.",sof202,https://github.com/ejh243/BrainFANS/issues/14
