pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url
MDExOlB1bGxSZXF1ZXN0NDYwMTYwNg==,Create tmp directory within repository to dump temporary output to.,MERGED,2013-03-13T20:08:04Z,2013-03-13T20:18:01Z,2013-03-13T20:18:01Z,2013-03-13T20:18:01Z,dfornika,https://github.com/apfejes/epigenetics-software/pull/2
MDExOlB1bGxSZXF1ZXN0NDc0MjY4NA==,Fixed header in output of Utilities/WaveFileThread.py,CLOSED,2013-03-21T15:55:19Z,2013-03-21T17:40:58Z,2013-03-21T16:47:26Z,,dfornika,https://github.com/apfejes/epigenetics-software/pull/3
MDExOlB1bGxSZXF1ZXN0NDkzMzcxNw==,Fixed import error in WaveGenerator/Utilities/MapMaker.py,MERGED,2013-04-02T16:24:39Z,2013-04-02T16:30:19Z,2013-04-02T16:29:51Z,2013-04-02T16:29:51Z,dfornika,https://github.com/apfejes/epigenetics-software/pull/4
MDExOlB1bGxSZXF1ZXN0NDkzNTM5Mw==,Fixed warning about wrong number of arguments gettin passed to run(),MERGED,2013-04-02T17:40:40Z,2013-04-02T17:47:31Z,2013-04-02T17:41:55Z,2013-04-02T17:41:55Z,dfornika,https://github.com/apfejes/epigenetics-software/pull/5
MDExOlB1bGxSZXF1ZXN0NDk0MDY1Mw==,Implemented 'poison pill' method for interrupting multiprocess queue,MERGED,2013-04-02T21:19:16Z,2013-04-05T16:40:54Z,2013-04-02T22:20:02Z,2013-04-02T22:20:02Z,dfornika,https://github.com/apfejes/epigenetics-software/pull/6
MDExOlB1bGxSZXF1ZXN0NTAxMjIyOA==,Basic Layout of Parameter GUI,MERGED,2013-04-05T22:34:38Z,2013-04-06T16:57:35Z,2013-04-06T16:57:17Z,2013-04-06T16:57:17Z,dfornika,https://github.com/apfejes/epigenetics-software/pull/7
MDExOlB1bGxSZXF1ZXN0NTA3MDE1Ng==,"Added Save, Load functionality to GUI Parameters Editor",MERGED,2013-04-09T22:18:04Z,2013-04-10T17:24:34Z,2013-04-09T22:20:07Z,2013-04-09T22:20:07Z,dfornika,https://github.com/apfejes/epigenetics-software/pull/8
MDExOlB1bGxSZXF1ZXN0NTA3MjI2Mw==,Added Input File widgets to Parameters Editor,MERGED,2013-04-10T00:23:35Z,2013-04-10T22:34:43Z,2013-04-10T17:27:29Z,2013-04-10T17:27:29Z,dfornika,https://github.com/apfejes/epigenetics-software/pull/9
MDExOlB1bGxSZXF1ZXN0NTE3NDA1OA==,Cosmetic improvements to ParameterEditor,MERGED,2013-04-15T21:57:54Z,2014-06-18T07:03:37Z,2013-04-15T21:58:52Z,2013-04-15T21:58:52Z,dfornika,https://github.com/apfejes/epigenetics-software/pull/10
MDExOlB1bGxSZXF1ZXN0NTE5NDMwNA==,Completed 'Apply' button in Parameter Editor,MERGED,2013-04-16T18:54:20Z,2013-04-16T20:01:56Z,2013-04-16T18:58:27Z,2013-04-16T18:58:27Z,dfornika,https://github.com/apfejes/epigenetics-software/pull/11
MDExOlB1bGxSZXF1ZXN0NTE5NTU5OQ==,Fixed type errors in parameters (integers saved as strings),MERGED,2013-04-16T19:49:45Z,2014-06-24T11:54:43Z,2013-04-16T20:01:07Z,2013-04-16T20:01:07Z,dfornika,https://github.com/apfejes/epigenetics-software/pull/12
