pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url
MDExOlB1bGxSZXF1ZXN0ODU0MDY0NDM=,Improve the README file,MERGED,2016-09-15T13:43:09Z,2016-09-15T18:25:51Z,2016-09-15T18:25:51Z,2016-09-15T18:25:51Z,paulmenzel,https://github.com/hms-dbmi/spp/pull/8
MDExOlB1bGxSZXF1ZXN0ODU0MDc4NTE=,Improve DESCRIPTION file,MERGED,2016-09-15T13:50:28Z,2016-09-15T18:26:31Z,2016-09-15T18:25:39Z,2016-09-15T18:25:39Z,paulmenzel,https://github.com/hms-dbmi/spp/pull/9
MDExOlB1bGxSZXF1ZXN0ODkxMTU0Mzk=,Replace deprecated headers,MERGED,2016-10-12T23:56:13Z,2017-08-22T00:06:30Z,2017-08-22T00:06:29Z,2017-08-22T00:06:29Z,detrout,https://github.com/hms-dbmi/spp/pull/10
MDExOlB1bGxSZXF1ZXN0MTIyNzA3NTAw,Update src files to make installation work,MERGED,2017-05-26T19:38:05Z,2017-08-22T00:00:49Z,2017-08-21T23:43:14Z,2017-08-21T23:43:14Z,sklasfeld,https://github.com/hms-dbmi/spp/pull/14
MDExOlB1bGxSZXF1ZXN0MTY2MzA2OTQz,Changes to multiple files. See body for details.,MERGED,2018-01-31T16:19:38Z,2018-01-31T16:22:21Z,2018-01-31T16:22:21Z,2018-01-31T16:22:21Z,koustav-pal,https://github.com/hms-dbmi/spp/pull/16
MDExOlB1bGxSZXF1ZXN0MTY2MzEyMzU4,Development - fixed a couple of typos,MERGED,2018-01-31T16:38:07Z,2018-01-31T16:42:28Z,2018-01-31T16:42:28Z,2018-01-31T16:42:28Z,fferrari,https://github.com/hms-dbmi/spp/pull/17
MDExOlB1bGxSZXF1ZXN0MTY2MzI2MTg2,all zroutine funs are now explicitly exported,MERGED,2018-01-31T17:28:21Z,2018-01-31T17:29:01Z,2018-01-31T17:29:00Z,2018-01-31T17:29:00Z,koustav-pal,https://github.com/hms-dbmi/spp/pull/18
MDExOlB1bGxSZXF1ZXN0MTY2MzMzNzk4,Update Makevars.in - putting back previous flags,MERGED,2018-01-31T17:59:09Z,2018-02-01T13:25:10Z,2018-01-31T18:06:35Z,2018-01-31T18:06:35Z,fferrari,https://github.com/hms-dbmi/spp/pull/19
MDExOlB1bGxSZXF1ZXN0MTY2MzM2MTc1,Update maqmap.c,MERGED,2018-01-31T18:09:57Z,2018-02-01T13:25:12Z,2018-01-31T18:10:14Z,2018-01-31T18:10:14Z,fferrari,https://github.com/hms-dbmi/spp/pull/20
MDExOlB1bGxSZXF1ZXN0MTY2NTQyNTg0,Just a couple of fixes to address minor R CMD check NOTEs,MERGED,2018-02-01T13:52:37Z,2018-02-01T13:53:31Z,2018-02-01T13:53:31Z,2018-02-01T13:53:31Z,fferrari,https://github.com/hms-dbmi/spp/pull/21
MDExOlB1bGxSZXF1ZXN0MTY2NjEzNjQw,removed unnecessary SPPgenerics - omitted export of functions conflicting with S3 generics,CLOSED,2018-02-01T18:17:33Z,2018-02-01T18:46:08Z,2018-02-01T18:45:55Z,,fferrari,https://github.com/hms-dbmi/spp/pull/22
MDExOlB1bGxSZXF1ZXN0MTY2NjIwMTUw,removed unnecessary SPPgenerics - omitted export of functions conflicting with S3 generics + fixed minor C issues causing installation warnings,MERGED,2018-02-01T18:47:17Z,2018-02-02T08:47:28Z,2018-02-02T08:47:28Z,2018-02-02T08:47:28Z,fferrari,https://github.com/hms-dbmi/spp/pull/23
MDExOlB1bGxSZXF1ZXN0MTY3MTk3ODMy,Last few adjustments,MERGED,2018-02-05T16:53:35Z,2018-02-05T16:56:07Z,2018-02-05T16:56:07Z,2018-02-05T16:56:07Z,fferrari,https://github.com/hms-dbmi/spp/pull/24
MDExOlB1bGxSZXF1ZXN0MTY3NzM4NDU1,Merging revisions for CRAN submission,MERGED,2018-02-07T16:16:33Z,2018-02-07T16:18:24Z,2018-02-07T16:18:24Z,2018-02-07T16:18:24Z,carmencita,https://github.com/hms-dbmi/spp/pull/25
MDExOlB1bGxSZXF1ZXN0MTcwODA0MTM2,merging latest updates to comply with CRAN,MERGED,2018-02-22T16:44:21Z,2018-02-22T16:45:06Z,2018-02-22T16:45:06Z,2018-02-22T16:45:05Z,fferrari,https://github.com/hms-dbmi/spp/pull/26
MDExOlB1bGxSZXF1ZXN0MTgyMzkwMjY1,Update README.md,MERGED,2018-04-18T07:31:01Z,2018-04-18T09:37:43Z,2018-04-18T09:37:43Z,2018-04-18T09:37:43Z,fferrari,https://github.com/hms-dbmi/spp/pull/27
MDExOlB1bGxSZXF1ZXN0MTgyMzkxODk5,Update zroutines.R,MERGED,2018-04-18T07:38:48Z,2018-04-18T09:37:28Z,2018-04-18T09:37:28Z,2018-04-18T09:37:28Z,fferrari,https://github.com/hms-dbmi/spp/pull/28
MDExOlB1bGxSZXF1ZXN0MjI2MzQwNTYy,Added find_peaks to load table,OPEN,2018-10-28T03:40:20Z,2018-10-28T03:40:20Z,,,fbrundu,https://github.com/hms-dbmi/spp/pull/32
MDExOlB1bGxSZXF1ZXN0MjI2NjAxMDAw,Development,MERGED,2018-10-29T15:18:35Z,2018-11-26T09:22:16Z,2018-11-26T09:22:16Z,2018-11-26T09:22:16Z,carmencita,https://github.com/hms-dbmi/spp/pull/33
MDExOlB1bGxSZXF1ZXN0MzA2MTkyNTU5,fix tag.lwcc not found,OPEN,2019-08-10T07:15:18Z,2019-08-10T07:15:18Z,,,icebert,https://github.com/hms-dbmi/spp/pull/34
MDExOlB1bGxSZXF1ZXN0NDg5MTkyMzgy,typo,MERGED,2020-09-18T09:27:03Z,2020-09-18T12:43:26Z,2020-09-18T12:43:26Z,2020-09-18T12:43:26Z,RichardJActon,https://github.com/hms-dbmi/spp/pull/39
MDExOlB1bGxSZXF1ZXN0NTI1Mjk2ODI2,Cran devel,OPEN,2020-11-22T15:02:34Z,2020-11-22T15:02:34Z,,,carmencita,https://github.com/hms-dbmi/spp/pull/41
MDExOlB1bGxSZXF1ZXN0NTgzMDkwMjIx,Update with alterantive read.bam.tags function,OPEN,2021-03-02T14:47:41Z,2022-12-20T16:44:25Z,,,fferrari,https://github.com/hms-dbmi/spp/pull/43
MDExOlB1bGxSZXF1ZXN0Njg0NzEzODI3,Fix error message output bugs; typo fix,OPEN,2021-07-06T22:16:52Z,2021-07-08T17:56:25Z,,,EthanNelson-Moore,https://github.com/hms-dbmi/spp/pull/44
