id,tag_name,name,created_at,published_at,author_login,author_name
RE_kwDODg6-RM4KCmYs,v0.5.4,v0.5.4,2024-07-31T09:54:34Z,2024-08-02T14:10:00Z,CChahrour,Catherine Chahrour
RE_kwDODg6-RM4J9i0f,v0.5.3,v0.5.3,2024-07-25T13:00:26Z,2024-07-25T13:01:50Z,alsmith151,Alastair Smith
RE_kwDODg6-RM4Jd5dI,v0.5.2,v0.5.2,2024-05-31T14:54:23Z,2024-06-04T15:43:23Z,CChahrour,Catherine Chahrour
RE_kwDODg6-RM4JFav7,v0.5.1,v0.5.1,2024-04-23T14:23:33Z,2024-04-23T14:24:23Z,alsmith151,Alastair Smith
RE_kwDODg6-RM4I5WoX,v0.5.0,v0.5.0,2024-04-01T16:00:27Z,2024-04-01T16:04:24Z,alsmith151,Alastair Smith
RE_kwDODg6-RM4Ikzwd,v0.4.3,v0.4.3,2024-02-27T18:48:52Z,2024-02-27T19:10:40Z,CChahrour,Catherine Chahrour
RE_kwDODg6-RM4Ikw82,v0.4.2,v0.4.2,2024-02-27T17:48:14Z,2024-02-27T17:51:27Z,CChahrour,Catherine Chahrour
RE_kwDODg6-RM4IYAdT,v0.4.1,v0.4.1,2024-02-08T12:18:27Z,2024-02-08T12:19:15Z,CChahrour,Catherine Chahrour
RE_kwDODg6-RM4IXfxF,v0.4.0,v0.4.0,2024-02-07T17:42:06Z,2024-02-07T17:46:36Z,CChahrour,Catherine Chahrour
RE_kwDODg6-RM4IV5xz,v0.3.9,v0.3.9,2024-02-05T16:57:28Z,2024-02-05T16:58:08Z,alsmith151,Alastair Smith
RE_kwDODg6-RM4IVJs1,v0.3.8,v0.3.8,2024-02-03T09:50:12Z,2024-02-03T09:52:10Z,CChahrour,Catherine Chahrour
RE_kwDODg6-RM4ISB0a,v0.3.7,v0.3.7,2024-01-29T15:30:47Z,2024-01-29T15:31:59Z,CChahrour,Catherine Chahrour
RE_kwDODg6-RM4IRBf8,v0.3.6,v0.3.6,2024-01-26T15:09:26Z,2024-01-26T15:14:32Z,CChahrour,Catherine Chahrour
RE_kwDODg6-RM4IM8Eq,v0.3.5,SeqNado - v0.3.5,2024-01-18T17:44:53Z,2024-01-18T18:04:43Z,alsmith151,Alastair Smith
RE_kwDODg6-RM4HHdBd,v0.2.1,v0.2.1,2023-08-31T07:54:08Z,2023-08-31T07:57:17Z,CChahrour,Catherine Chahrour
RE_kwDODg6-RM4G5GyD,v0.2.0,v0.2.0,2023-08-08T15:21:23Z,2023-08-08T15:21:59Z,CChahrour,Catherine Chahrour
RE_kwDODg6-RM4GgnwS,v0.1.7,v0.1.7,2023-06-20T12:00:12Z,2023-06-20T12:01:29Z,alsmith151,Alastair Smith
RE_kwDODg6-RM4GFQWd,v0.1.6,v0.1.6 Increase Job Times,2023-05-05T17:05:49Z,2023-05-05T17:07:04Z,alsmith151,Alastair Smith
RE_kwDODg6-RM4GDnPh,v0.1.5,v0.1.5 Bugfix,2023-05-02T13:44:02Z,2023-05-02T16:45:00Z,alsmith151,Alastair Smith
RE_kwDODg6-RM4GBPSV,v0.1.4,v0.1.4,2023-04-26T16:56:13Z,2023-04-26T17:14:15Z,CChahrour,Catherine Chahrour
RE_kwDODg6-RM4F2oCU,v0.1,v0.1 Initial Release of SeqNado,2023-04-05T14:48:38Z,2023-04-05T15:00:54Z,alsmith151,Alastair Smith
