|                            Search Query                             |                                       Repository Name                                       |                                              full_name                                               |                                                           URL                                                           |                                                                                                                                                                                                                                                                                                                                                                    Description                                                                                                                                                                                                                                                                                                                                                                     |   Stars |   Forks |     Language     |   Issues |      Created At      |      Updated At      |  Default Branch  |                                                                                          License                                                                                          |                                                                                                                                              Topics                                                                                                                                               |  Private  |
|:-------------------------------------------------------------------:|:-------------------------------------------------------------------------------------------:|:----------------------------------------------------------------------------------------------------:|:-----------------------------------------------------------------------------------------------------------------------:|:--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------:|--------:|--------:|:----------------:|---------:|:--------------------:|:--------------------:|:----------------:|:-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------:|:-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------:|:---------:|
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                 Genome-annotation-pipeline                                  |                                 meiyang12/Genome-annotation-pipeline                                 |                                 https://github.com/meiyang12/Genome-annotation-pipeline                                 |                                                                                                                                                                                                                                                                                                                                                             Genome annotation pipeline                                                                                                                                                                                                                                                                                                                                                             |      53 |      21 |       Perl       |        3 | 2021-02-19T04:54:19Z | 2024-11-06T01:37:38Z |       main       |                                                                                                                                                                                           |                                                                                                                             ['bioinformatics', 'genomics', 'rna-seq']                                                                                                                             |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                     annotate_my_genomes                                     |                                     cfarkas/annotate_my_genomes                                      |                                     https://github.com/cfarkas/annotate_my_genomes                                      |                                                                                                                                                                                                                                                                                                                        A genome annotation pipeline that use short and long sequencing reads alignments from animal genomes                                                                                                                                                                                                                                                                                                                        |      28 |       3 |     Nextflow     |        2 | 2019-10-12T00:55:06Z | 2024-08-18T06:43:34Z |      master      |                           {'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}                            |                                                                                                ['braker2', 'genome-annotation', 'rna-seq', 'stringtie', 'transcriptome', 'transcriptome-assembly']                                                                                                |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                        RNA-seq-with-reference-genome-and-annotation                         |                        CBC-UCONN/RNA-seq-with-reference-genome-and-annotation                        |                        https://github.com/CBC-UCONN/RNA-seq-with-reference-genome-and-annotation                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |      19 |      17 |      Shell       |        5 | 2020-05-06T19:56:30Z | 2024-11-26T17:09:00Z |      master      |           {'key': 'gpl-3.0', 'name': 'GNU General Public License v3.0', 'spdx_id': 'GPL-3.0', 'url': 'https://api.github.com/licenses/gpl-3.0', 'node_id': 'MDc6TGljZW5zZTk='}            |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                        genome_tracks                                        |                                         epigen/genome_tracks                                         |                                         https://github.com/epigen/genome_tracks                                         |                                                                                                                                                                                                                                                      A Snakemake workflow and MrBiomics module for easy visualization of genome browser tracks of aligned BAM files (e.g., RNA-seq, ATAC-seq, scRNA-seq, ...) powered by the wrapper gtracks for the package pyGenomeTracks, and IGV-reports.                                                                                                                                                                                                                                                      |      19 |       0 |      Python      |        2 | 2021-12-15T09:40:20Z | 2024-11-16T06:10:05Z |       main       |                           {'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}                            |                                              ['atac-seq', 'bioinformatics', 'biomedical-data-science', 'genome-browser', 'genome-track', 'genomic-regions', 'pipeline', 'python', 'rna-seq', 'scrna-seq', 'snakemake', 'visualization', 'workflow']                                               |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |    Genome-wide-changes-in-lncRNA-alternative-splicing-and-cortical-patterning-in-autism     |     dhglab/Genome-wide-changes-in-lncRNA-alternative-splicing-and-cortical-patterning-in-autism      |     https://github.com/dhglab/Genome-wide-changes-in-lncRNA-alternative-splicing-and-cortical-patterning-in-autism      |                                                                                                                                                                                                                                                                                                                                             Human Postmortem ASD RNA-seq Analysis Parikshak et al 2016                                                                                                                                                                                                                                                                                                                                             |      14 |      16 |        R         |        2 | 2016-10-24T16:59:58Z | 2022-09-09T03:13:06Z |      master      |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                       fluentGenomics                                        |                                        sa-lee/fluentGenomics                                         |                                        https://github.com/sa-lee/fluentGenomics                                         |                                                                                                                                                                                                                                                                                                                                                          plyranges and tximeta case study                                                                                                                                                                                                                                                                                                                                                          |       7 |       3 |       TeX        |        4 | 2019-11-22T01:20:41Z | 2023-07-02T07:26:37Z |      master      |                                          {'key': 'other', 'name': 'Other', 'spdx_id': 'NOASSERTION', 'url': None, 'node_id': 'MDc6TGljZW5zZTA='}                                          |                                                                                                                  ['atac-seq', 'bioconductor', 'genomics', 'rna-seq', 'workflow']                                                                                                                  |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                      GenomonExpression                                      |                                  Genomon-Project/GenomonExpression                                   |                                  https://github.com/Genomon-Project/GenomonExpression                                   |                                                                                                                                                                                                                                                                                                                                            python script for calculating expression values from RNA-seq                                                                                                                                                                                                                                                                                                                                            |       4 |       6 |      Python      |        1 | 2015-09-23T03:09:05Z | 2022-11-29T13:58:47Z |      devel       |           {'key': 'gpl-3.0', 'name': 'GNU General Public License v3.0', 'spdx_id': 'GPL-3.0', 'url': 'https://api.github.com/licenses/gpl-3.0', 'node_id': 'MDc6TGljZW5zZTk='}            |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                      genomics.hoffman2                                      |                                      smangul1/genomics.hoffman2                                      |                                      https://github.com/smangul1/genomics.hoffman2                                      |                                                                                                                                                                                                                                                                                                                                                           rna.seq.pipeline for hoffman2                                                                                                                                                                                                                                                                                                                                                            |       4 |       0 |      Shell       |        1 | 2018-08-20T03:17:58Z | 2021-09-29T08:57:23Z |      master      |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                    Genome-Analysis-2019                                     |                                    nrclaudio/Genome-Analysis-2019                                    |                                    https://github.com/nrclaudio/Genome-Analysis-2019                                    |                                                                                                                                                                                                                                                                                                                                                     Genome assembly, QC, RNA-seq, Tn-seq 📈🦠                                                                                                                                                                                                                                                                                                                                                      |       4 |       0 |      Shell       |        0 | 2019-03-29T14:14:52Z | 2023-09-29T13:22:18Z |      master      |           {'key': 'gpl-3.0', 'name': 'GNU General Public License v3.0', 'spdx_id': 'GPL-3.0', 'url': 'https://api.github.com/licenses/gpl-3.0', 'node_id': 'MDc6TGljZW5zZTk='}            |                                                                                                                                                []                                                                                                                                                 |   False   |
