fork_id,fork_name,fork_full_name,fork_owner,fork_url,fork_created_at,fork_updated_at
MDEwOlJlcG9zaXRvcnkyNzAzNjA0Mg==,Annocript,hyphaltip/Annocript,hyphaltip,https://github.com/hyphaltip/Annocript,2014-11-23T15:01:13Z,2014-11-23T15:01:20Z
MDEwOlJlcG9zaXRvcnkzMTMxNjY0OA==,Annocript,BioinformaticsArchive/Annocript,BioinformaticsArchive,https://github.com/BioinformaticsArchive/Annocript,2015-02-25T14:13:48Z,2015-02-25T14:13:49Z
MDEwOlJlcG9zaXRvcnkzMTkzNjc3NQ==,Annocript,goohongzi/Annocript,goohongzi,https://github.com/goohongzi/Annocript,2015-03-10T03:38:54Z,2015-03-10T03:38:54Z
MDEwOlJlcG9zaXRvcnkzMzkxNDkyMQ==,Annocript,Honglongwu/Annocript,Honglongwu,https://github.com/Honglongwu/Annocript,2015-04-14T06:33:41Z,2015-04-14T06:33:42Z
MDEwOlJlcG9zaXRvcnkzNjg1NzUyMg==,Annocript,dariogf/Annocript,dariogf,https://github.com/dariogf/Annocript,2015-06-04T08:19:13Z,2015-06-04T08:19:14Z
MDEwOlJlcG9zaXRvcnkzNzg1NjU5Ng==,Annocript,oguya/Annocript,oguya,https://github.com/oguya/Annocript,2015-06-22T13:27:08Z,2015-06-22T13:27:08Z
MDEwOlJlcG9zaXRvcnkzNzk2NDYyNw==,Annocript,fw1121/Annocript,fw1121,https://github.com/fw1121/Annocript,2015-06-24T05:36:53Z,2015-06-24T05:36:54Z
MDEwOlJlcG9zaXRvcnkzODM1NDAxMw==,Annocript,michel-moser/Annocript,michel-moser,https://github.com/michel-moser/Annocript,2015-07-01T06:32:13Z,2015-07-01T06:32:13Z
MDEwOlJlcG9zaXRvcnkzOTgxODE1Mg==,Annocript,hjanime/Annocript,hjanime,https://github.com/hjanime/Annocript,2015-07-28T06:55:24Z,2015-07-28T06:55:25Z
MDEwOlJlcG9zaXRvcnk1MTQ1OTM1NQ==,Annocript,wkpalan/Annocript,wkpalan,https://github.com/wkpalan/Annocript,2016-02-10T17:51:13Z,2018-06-28T19:00:23Z
MDEwOlJlcG9zaXRvcnk1NDU0NjIwNA==,Annocript,kisun/Annocript,kisun,https://github.com/kisun/Annocript,2016-03-23T09:17:14Z,2016-03-23T09:17:15Z
MDEwOlJlcG9zaXRvcnk2Njg4MDM3Mw==,Annocript,BioXiao/Annocript,BioXiao,https://github.com/BioXiao/Annocript,2016-08-29T21:02:58Z,2016-08-29T21:03:00Z
MDEwOlJlcG9zaXRvcnk3MTMwODYwNA==,Annocript,Yixf-Self/Annocript,Yixf-Self,https://github.com/Yixf-Self/Annocript,2016-10-19T01:57:20Z,2016-10-19T01:57:21Z
MDEwOlJlcG9zaXRvcnk3OTc4ODI3OA==,Annocript,jiangchb/Annocript,jiangchb,https://github.com/jiangchb/Annocript,2017-01-23T09:10:56Z,2017-01-23T09:10:58Z
MDEwOlJlcG9zaXRvcnk4NTEzOTAwNw==,Annocript,maggishaggy/Annocript,maggishaggy,https://github.com/maggishaggy/Annocript,2017-03-16T01:36:03Z,2017-03-16T01:36:05Z
MDEwOlJlcG9zaXRvcnk5NjUwNjE2Ng==,Annocript,heeheee/Annocript,heeheee,https://github.com/heeheee/Annocript,2017-07-07T06:24:44Z,2017-07-07T06:24:46Z
MDEwOlJlcG9zaXRvcnk5ODQ2MTI2NA==,Annocript,Berlingrad/Annocript,Berlingrad,https://github.com/Berlingrad/Annocript,2017-07-26T20:02:52Z,2017-07-26T20:02:53Z
MDEwOlJlcG9zaXRvcnk5OTQwNzM4MQ==,Annocript,1426620781/Annocript,1426620781,https://github.com/1426620781/Annocript,2017-08-05T07:37:46Z,2017-08-05T07:37:48Z
MDEwOlJlcG9zaXRvcnkxMDAzOTgwODM=,Annocript,inambioinfo/Annocript,inambioinfo,https://github.com/inambioinfo/Annocript,2017-08-15T16:41:05Z,2017-08-15T16:41:07Z
MDEwOlJlcG9zaXRvcnkxMjI1MTM1OTY=,Annocript,tskir/Annocript,tskir,https://github.com/tskir/Annocript,2018-02-22T17:46:49Z,2018-02-22T17:46:51Z
MDEwOlJlcG9zaXRvcnkxNDQwODc5OTg=,Annocript,juadiegaitan/Annocript,juadiegaitan,https://github.com/juadiegaitan/Annocript,2018-08-09T01:51:21Z,2018-08-09T01:51:24Z
MDEwOlJlcG9zaXRvcnkxNTk1NTI3NDI=,Annocript,abdo3a/Annocript,abdo3a,https://github.com/abdo3a/Annocript,2018-11-28T19:20:26Z,2018-11-28T19:20:29Z
MDEwOlJlcG9zaXRvcnkxODg0MTUxMzU=,Annocript,palc/Annocript,palc,https://github.com/palc/Annocript,2019-05-24T12:05:38Z,2019-05-24T12:05:44Z
MDEwOlJlcG9zaXRvcnkyNDkxOTQ5NTc=,Annocript,tw7649116/Annocript,tw7649116,https://github.com/tw7649116/Annocript,2020-03-22T13:59:06Z,2020-03-22T13:59:08Z
MDEwOlJlcG9zaXRvcnkyNjMwMzE3NDY=,Annocript,bedroge/Annocript,bedroge,https://github.com/bedroge/Annocript,2020-05-11T12:09:43Z,2020-05-11T12:15:05Z
MDEwOlJlcG9zaXRvcnkzMTkyNjczNzE=,Annocript,wook2014/Annocript,wook2014,https://github.com/wook2014/Annocript,2020-12-07T09:25:43Z,2020-12-07T09:25:44Z
MDEwOlJlcG9zaXRvcnkzMjIyMDUxODY=,Annocript,mathewperry/Annocript,mathewperry,https://github.com/mathewperry/Annocript,2020-12-17T06:44:03Z,2020-12-17T06:44:05Z
MDEwOlJlcG9zaXRvcnkzNDQ1NTI3NTk=,Annocript,pythseq/Annocript,pythseq,https://github.com/pythseq/Annocript,2021-03-04T17:19:16Z,2021-03-04T17:19:18Z
