id,title,state,created_at,updated_at,closed_at,body,user,url
MDU6SXNzdWU0NTMxNDczOTQ=,Fix the bug with sequence submission,CLOSED,2019-06-06T17:17:11Z,2019-06-06T19:07:21Z,2019-06-06T19:07:21Z,,BurkovBA,https://github.com/RNAcentral/rnacentral-sequence-search-embed/issues/3
MDU6SXNzdWU0NTMxNDgwODY=,Create hooks onSubmit etc.,OPEN,2019-06-06T17:18:49Z,2019-06-06T17:18:49Z,,,BurkovBA,https://github.com/RNAcentral/rnacentral-sequence-search-embed/issues/4
MDU6SXNzdWU0NTMxNDgyNTE=,Deal with clash of CSS - shadow DOM or something else,CLOSED,2019-06-06T17:19:13Z,2019-06-10T04:40:54Z,2019-06-10T04:40:54Z,,BurkovBA,https://github.com/RNAcentral/rnacentral-sequence-search-embed/issues/5
MDU6SXNzdWU0NTMxNDg0ODQ=,"Improve the docs, provide a link to it.",CLOSED,2019-06-06T17:19:47Z,2022-11-01T10:58:49Z,2022-11-01T10:58:49Z,,BurkovBA,https://github.com/RNAcentral/rnacentral-sequence-search-embed/issues/6
MDU6SXNzdWU0NTMxNDg2MTE=,Publish an NPM package,OPEN,2019-06-06T17:20:08Z,2019-06-06T17:20:08Z,,,BurkovBA,https://github.com/RNAcentral/rnacentral-sequence-search-embed/issues/7
MDU6SXNzdWU1MjQ4ODQ1NzQ=,Widget customisation,CLOSED,2019-11-19T09:34:08Z,2020-02-25T11:49:02Z,2020-02-25T11:49:02Z,"The following options should be customisable:

- [x] header text
- [x] search examples
- [x] search results should link to the member database (miRBase for example)",AntonPetrov,https://github.com/RNAcentral/rnacentral-sequence-search-embed/issues/9
MDU6SXNzdWU1MjQ4ODYyMTM=,Facet logic,OPEN,2019-11-19T09:36:49Z,2019-11-19T09:36:49Z,,"When clicking the options **within the same facet**, the logic should be **OR**.  But when clicking on **different facets**, the logic should be **AND**.

Example: https://reactome.org/content/query?q=microrna&species=Homo+sapiens",AntonPetrov,https://github.com/RNAcentral/rnacentral-sequence-search-embed/issues/10
MDU6SXNzdWU1NTI5NDUwNjc=,Facets customisation,CLOSED,2020-01-21T15:21:03Z,2020-02-25T11:44:09Z,2020-02-25T11:44:09Z,Allow the user to enable/disable facet,carlosribas,https://github.com/RNAcentral/rnacentral-sequence-search-embed/issues/11
MDU6SXNzdWU1NTI5NDc1MDg=,Css customisation,CLOSED,2020-01-21T15:24:27Z,2020-02-25T11:43:00Z,2020-02-25T11:43:00Z,Allow the user to change the color of texts and buttons,carlosribas,https://github.com/RNAcentral/rnacentral-sequence-search-embed/issues/12
MDU6SXNzdWU1NTI5NTU0MTc=,"For each sequence, two searches",OPEN,2020-01-21T15:36:36Z,2020-01-21T15:52:49Z,,"One search for the chosen database, for example miRBase, and the other search for RNAcentral. Add a link to the RNAcentral search results in the widget.",carlosribas,https://github.com/RNAcentral/rnacentral-sequence-search-embed/issues/13
