pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url
MDExOlB1bGxSZXF1ZXN0NzYwOTI1MjI=,Added McKaskill and Counting backend DP Algorithm.,MERGED,2016-07-03T16:13:13Z,2018-09-20T14:28:31Z,2016-07-03T16:14:59Z,2016-07-03T16:14:59Z,mostafa-mahmoud,https://github.com/BackofenLab/RNA-Playground/pull/1
MDExOlB1bGxSZXF1ZXN0NzYwOTUzOTc=,LatexFormula representation,MERGED,2016-07-03T18:34:50Z,2018-09-20T14:28:31Z,2016-07-03T18:36:32Z,2016-07-03T18:36:32Z,mostafa-mahmoud,https://github.com/BackofenLab/RNA-Playground/pull/2
MDExOlB1bGxSZXF1ZXN0NzYxMDI3MzU=,Converting Nussinov to DPAlgorithm table,MERGED,2016-07-04T00:35:50Z,2018-09-20T14:28:31Z,2016-07-04T20:45:50Z,2016-07-04T20:45:50Z,mostafa-mahmoud,https://github.com/BackofenLab/RNA-Playground/pull/3
MDExOlB1bGxSZXF1ZXN0NzY4ODMyNDg=,McKaskill Algorithm and preliminaries for dot-plot.,MERGED,2016-07-10T20:52:15Z,2018-09-20T14:28:31Z,2016-07-11T08:42:56Z,2016-07-11T08:42:56Z,mostafa-mahmoud,https://github.com/BackofenLab/RNA-Playground/pull/4
MDExOlB1bGxSZXF1ZXN0Nzc3MTI5NjM=,"Added Matrix to CSV Computation, documentation for Nussinov Algorithms, renamed most of the algorithms. Better Latex visualization. ",MERGED,2016-07-16T16:07:08Z,2018-09-20T14:28:31Z,2016-07-17T21:10:17Z,2016-07-17T21:10:17Z,mostafa-mahmoud,https://github.com/BackofenLab/RNA-Playground/pull/5
MDExOlB1bGxSZXF1ZXN0Nzc4NjE5NjI=,Added Maximum Expectency accuracy computation.,MERGED,2016-07-18T19:11:08Z,2018-09-20T14:28:32Z,2016-07-18T21:39:08Z,2016-07-18T21:39:08Z,mostafa-mahmoud,https://github.com/BackofenLab/RNA-Playground/pull/6
MDExOlB1bGxSZXF1ZXN0Nzg2NjYxNDQ=,Minor Modifications in different algorithms.,MERGED,2016-07-25T11:32:35Z,2018-09-20T14:28:32Z,2016-07-25T12:00:40Z,2016-07-25T12:00:40Z,mostafa-mahmoud,https://github.com/BackofenLab/RNA-Playground/pull/7
MDExOlB1bGxSZXF1ZXN0NzkyNDQ2NDY=,Fixing few dimension checkings for handling out of bounds for McCaskill.,MERGED,2016-07-28T18:27:10Z,2018-09-20T14:28:32Z,2016-07-28T21:33:12Z,2016-07-28T21:33:12Z,mostafa-mahmoud,https://github.com/BackofenLab/RNA-Playground/pull/8
MDExOlB1bGxSZXF1ZXN0ODI4MTUxODg=,Fixed MEA results and putting latex formulas before tables.,MERGED,2016-08-26T00:27:48Z,2018-09-20T14:28:32Z,2016-08-29T08:41:23Z,2016-08-29T08:41:23Z,mostafa-mahmoud,https://github.com/BackofenLab/RNA-Playground/pull/9
MDExOlB1bGxSZXF1ZXN0ODM5MzA3MTE=,Added RNA up and RNA Hybrid,MERGED,2016-09-04T18:48:14Z,2018-09-20T14:28:32Z,2016-09-05T11:00:03Z,2016-09-05T11:00:03Z,mostafa-mahmoud,https://github.com/BackofenLab/RNA-Playground/pull/10
MDExOlB1bGxSZXF1ZXN0ODQ3NjQ1NDM=,"Fixed some visuals of RNAup and RNAhybrid, and modified formulas of McCaskill.",MERGED,2016-09-10T18:56:35Z,2018-09-20T14:28:32Z,2016-09-10T18:58:21Z,2016-09-10T18:58:20Z,mostafa-mahmoud,https://github.com/BackofenLab/RNA-Playground/pull/11
MDExOlB1bGxSZXF1ZXN0ODY4MzEzMDA=,Added 4d Fold representation function.,MERGED,2016-09-26T22:32:00Z,2018-09-20T14:28:32Z,2016-09-27T10:03:37Z,2016-09-27T10:03:37Z,mostafa-mahmoud,https://github.com/BackofenLab/RNA-Playground/pull/12
MDExOlB1bGxSZXF1ZXN0ODc3MzEyMjc=,Wuchty,MERGED,2016-10-03T14:55:22Z,2018-09-20T14:28:32Z,2016-10-05T09:20:48Z,2016-10-05T09:20:48Z,mostafa-mahmoud,https://github.com/BackofenLab/RNA-Playground/pull/13
MDExOlB1bGxSZXF1ZXN0OTUzNzU1NzA=,"Added RNA-Hybrid Visualization, and fixed a bug in the wuchty.",MERGED,2016-11-26T16:17:13Z,2018-09-20T14:28:32Z,2016-11-26T16:17:19Z,2016-11-26T16:17:19Z,mostafa-mahmoud,https://github.com/BackofenLab/RNA-Playground/pull/14
MDExOlB1bGxSZXF1ZXN0OTUzNzYyODc=,Fixed a bug in the 4d visualization of RNA-Hybrid.,MERGED,2016-11-26T16:45:09Z,2018-09-20T14:28:33Z,2016-11-26T16:45:13Z,2016-11-26T16:45:13Z,mostafa-mahmoud,https://github.com/BackofenLab/RNA-Playground/pull/15
MDExOlB1bGxSZXF1ZXN0OTUzOTI5NTI=,Full documentation and removed unused code.,MERGED,2016-11-27T05:30:35Z,2018-09-20T14:28:33Z,2016-11-27T05:30:40Z,2016-11-27T05:30:40Z,mostafa-mahmoud,https://github.com/BackofenLab/RNA-Playground/pull/16
MDExOlB1bGxSZXF1ZXN0OTU3MTE3NTI=,Fixed some final issues.,MERGED,2016-11-29T15:17:11Z,2018-09-20T14:28:33Z,2016-11-29T15:17:16Z,2016-11-29T15:17:16Z,mostafa-mahmoud,https://github.com/BackofenLab/RNA-Playground/pull/27
MDExOlB1bGxSZXF1ZXN0OTU3MTI3Mjk=,RNAup latex formula #23,MERGED,2016-11-29T15:21:56Z,2018-09-20T14:28:34Z,2016-11-29T15:22:02Z,2016-11-29T15:22:02Z,mostafa-mahmoud,https://github.com/BackofenLab/RNA-Playground/pull/28
