pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url
MDExOlB1bGxSZXF1ZXN0NDEwNzg5NTYz,Initial,MERGED,2020-04-29T15:34:10Z,2020-04-29T15:35:12Z,2020-04-29T15:35:11Z,2020-04-29T15:35:11Z,megraham2,https://github.com/GLBRC/CRISpy-pop/pull/1
MDExOlB1bGxSZXF1ZXN0NDI0ODEyNTE0,Bump kaminari from 1.2.0 to 1.2.1,OPEN,2020-05-29T00:03:35Z,2020-05-29T00:03:36Z,,,dependabot,https://github.com/GLBRC/CRISpy-pop/pull/2
MDExOlB1bGxSZXF1ZXN0NDI5MTIzMDM0,Bump websocket-extensions from 0.1.4 to 0.1.5,OPEN,2020-06-06T10:47:27Z,2020-06-06T10:47:27Z,,,dependabot,https://github.com/GLBRC/CRISpy-pop/pull/3
MDExOlB1bGxSZXF1ZXN0NDMwNzQxODky,Bump websocket-extensions from 0.1.3 to 0.1.4,OPEN,2020-06-08T05:17:40Z,2020-06-08T05:17:42Z,,,dependabot,https://github.com/GLBRC/CRISpy-pop/pull/4
MDExOlB1bGxSZXF1ZXN0NDM5NDgxNDk2,Bump rack from 2.2.2 to 2.2.3,CLOSED,2020-06-24T20:36:32Z,2023-01-18T19:43:32Z,2023-01-18T19:43:30Z,,dependabot,https://github.com/GLBRC/CRISpy-pop/pull/5
MDExOlB1bGxSZXF1ZXN0NDUzNDE0MjUx,Bump lodash from 4.17.15 to 4.17.19,CLOSED,2020-07-20T12:47:06Z,2021-05-11T12:21:23Z,2021-05-11T12:21:22Z,,dependabot,https://github.com/GLBRC/CRISpy-pop/pull/6
MDExOlB1bGxSZXF1ZXN0NDYxNDk4Njk4,Bump elliptic from 6.5.2 to 6.5.3,CLOSED,2020-08-01T23:05:36Z,2021-03-10T16:22:12Z,2021-03-10T16:22:11Z,,dependabot,https://github.com/GLBRC/CRISpy-pop/pull/7
MDExOlB1bGxSZXF1ZXN0NDY0OTAwNTYx,Bump prismjs from 1.20.0 to 1.21.0,CLOSED,2020-08-08T00:15:28Z,2021-03-01T21:12:04Z,2021-03-01T21:12:03Z,,dependabot,https://github.com/GLBRC/CRISpy-pop/pull/8
MDExOlB1bGxSZXF1ZXN0NDg1NDUwNDE1,Bump http-proxy from 1.18.0 to 1.18.1,OPEN,2020-09-11T20:53:25Z,2020-09-11T20:53:26Z,,,dependabot,https://github.com/GLBRC/CRISpy-pop/pull/9
MDExOlB1bGxSZXF1ZXN0NDg2MDE0NjI5,Bump node-fetch from 2.6.0 to 2.6.1,CLOSED,2020-09-12T20:24:39Z,2022-01-22T11:51:34Z,2022-01-22T11:51:33Z,,dependabot,https://github.com/GLBRC/CRISpy-pop/pull/10
MDExOlB1bGxSZXF1ZXN0NTM4MjU5NTYy,Bump ini from 1.3.5 to 1.3.8,OPEN,2020-12-12T15:49:42Z,2020-12-12T15:49:43Z,,,dependabot,https://github.com/GLBRC/CRISpy-pop/pull/11
MDExOlB1bGxSZXF1ZXN0NTgyMzM2MzU3,Bump docsify from 4.11.3 to 4.12.0,OPEN,2021-03-01T19:53:13Z,2021-03-01T19:53:14Z,,,dependabot,https://github.com/GLBRC/CRISpy-pop/pull/12
MDExOlB1bGxSZXF1ZXN0NTgyNDE1MTUz,Bump prismjs from 1.20.0 to 1.23.0,CLOSED,2021-03-01T21:12:00Z,2021-06-28T19:54:31Z,2021-06-28T19:54:30Z,,dependabot,https://github.com/GLBRC/CRISpy-pop/pull/13
MDExOlB1bGxSZXF1ZXN0NTg5ODQ3NTky,Bump elliptic from 6.5.2 to 6.5.4,OPEN,2021-03-10T16:22:09Z,2021-03-10T16:22:10Z,,,dependabot,https://github.com/GLBRC/CRISpy-pop/pull/14
MDExOlB1bGxSZXF1ZXN0NjA2NDgyOTU3,Bump y18n from 3.2.1 to 3.2.2,OPEN,2021-03-31T22:42:29Z,2021-03-31T22:42:30Z,,,dependabot,https://github.com/GLBRC/CRISpy-pop/pull/15
MDExOlB1bGxSZXF1ZXN0NjE4NTQ1NzQy,Bump ssri from 6.0.1 to 6.0.2,OPEN,2021-04-19T21:19:29Z,2021-04-19T21:19:30Z,,,dependabot,https://github.com/GLBRC/CRISpy-pop/pull/16
MDExOlB1bGxSZXF1ZXN0NjI4MTA2MDM5,Bump rexml from 3.2.4 to 3.2.5,OPEN,2021-04-30T20:36:07Z,2021-04-30T20:36:09Z,,,dependabot,https://github.com/GLBRC/CRISpy-pop/pull/17
MDExOlB1bGxSZXF1ZXN0NjM2MTUzODY5,Bump url-parse from 1.4.7 to 1.5.1,CLOSED,2021-05-09T18:18:21Z,2021-10-06T16:18:28Z,2021-10-06T16:18:27Z,,dependabot,https://github.com/GLBRC/CRISpy-pop/pull/18
MDExOlB1bGxSZXF1ZXN0NjQwMzU0NjA3,Bump lodash from 4.17.15 to 4.17.21,OPEN,2021-05-11T12:21:20Z,2021-05-11T12:21:21Z,,,dependabot,https://github.com/GLBRC/CRISpy-pop/pull/19
MDExOlB1bGxSZXF1ZXN0NjQxMTE1MDM3,Bump hosted-git-info from 2.8.8 to 2.8.9,OPEN,2021-05-11T17:08:23Z,2021-05-11T17:08:24Z,,,dependabot,https://github.com/GLBRC/CRISpy-pop/pull/20
