pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url
MDExOlB1bGxSZXF1ZXN0MzY2NTIyMDAw,Bump pyyaml from 3.13 to 5.1,CLOSED,2020-01-23T19:16:25Z,2021-03-25T23:20:22Z,2021-03-25T23:20:21Z,,dependabot,https://github.com/daniel235/RNAmodificationClassifier/pull/1
MDExOlB1bGxSZXF1ZXN0MzY2NTIyMDA0,Bump werkzeug from 0.14.1 to 0.15.3,OPEN,2020-01-23T19:16:26Z,2020-01-23T19:16:27Z,,,dependabot,https://github.com/daniel235/RNAmodificationClassifier/pull/2
MDExOlB1bGxSZXF1ZXN0MzY2NTIyMDEx,Bump typed-ast from 1.3.1 to 1.3.2,OPEN,2020-01-23T19:16:27Z,2020-01-23T19:16:28Z,,,dependabot,https://github.com/daniel235/RNAmodificationClassifier/pull/3
MDExOlB1bGxSZXF1ZXN0MzY2NTIyMDE4,Bump tensorflow from 1.9.0 to 1.15.0,CLOSED,2020-01-23T19:16:28Z,2020-01-28T23:16:12Z,2020-01-28T23:16:09Z,,dependabot,https://github.com/daniel235/RNAmodificationClassifier/pull/4
MDExOlB1bGxSZXF1ZXN0MzY2NTIyMDIx,Bump pillow from 5.2.0 to 6.2.0,CLOSED,2020-01-23T19:16:29Z,2021-03-19T10:27:23Z,2021-03-19T10:27:22Z,,dependabot,https://github.com/daniel235/RNAmodificationClassifier/pull/5
MDExOlB1bGxSZXF1ZXN0MzY4Mjk3MDAy,Bump tensorflow from 1.9.0 to 1.15.2,CLOSED,2020-01-28T23:16:06Z,2020-09-26T00:37:17Z,2020-09-26T00:37:16Z,,dependabot,https://github.com/daniel235/RNAmodificationClassifier/pull/6
MDExOlB1bGxSZXF1ZXN0Mzg3NDA3NDI1,Bump psutil from 5.6.3 to 5.6.6,OPEN,2020-03-12T18:29:02Z,2020-03-12T18:29:03Z,,,dependabot,https://github.com/daniel235/RNAmodificationClassifier/pull/7
MDExOlB1bGxSZXF1ZXN0NDIwOTEwMDE1,Bump httplib2 from 0.12.3 to 0.18.0,CLOSED,2020-05-20T17:31:53Z,2021-02-08T20:40:48Z,2021-02-08T20:40:46Z,,dependabot,https://github.com/daniel235/RNAmodificationClassifier/pull/8
MDExOlB1bGxSZXF1ZXN0NDkzNDQ4NzUy,Bump tensorflow from 1.9.0 to 1.15.4,CLOSED,2020-09-26T00:37:13Z,2020-11-13T18:35:15Z,2020-11-13T18:35:14Z,,dependabot,https://github.com/daniel235/RNAmodificationClassifier/pull/9
MDExOlB1bGxSZXF1ZXN0NTIwNzcwNjE0,Bump tensorflow from 1.9.0 to 2.3.1,CLOSED,2020-11-13T18:35:11Z,2021-05-21T16:07:54Z,2021-05-21T16:07:52Z,,dependabot,https://github.com/daniel235/RNAmodificationClassifier/pull/10
