repo_owner,repo_name,contributor_login,contributions,login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,user_view_type,site_admin,contributions
nf-core,sarek,maxulysse,3613,maxulysse,1019628,MDQ6VXNlcjEwMTk2Mjg=,https://avatars.githubusercontent.com/u/1019628?v=4,,https://api.github.com/users/maxulysse,https://github.com/maxulysse,https://api.github.com/users/maxulysse/followers,https://api.github.com/users/maxulysse/following{/other_user},https://api.github.com/users/maxulysse/gists{/gist_id},https://api.github.com/users/maxulysse/starred{/owner}{/repo},https://api.github.com/users/maxulysse/subscriptions,https://api.github.com/users/maxulysse/orgs,https://api.github.com/users/maxulysse/repos,https://api.github.com/users/maxulysse/events{/privacy},https://api.github.com/users/maxulysse/received_events,User,public,False,3613
nf-core,sarek,FriederikeHanssen,2101,FriederikeHanssen,12273093,MDQ6VXNlcjEyMjczMDkz,https://avatars.githubusercontent.com/u/12273093?v=4,,https://api.github.com/users/FriederikeHanssen,https://github.com/FriederikeHanssen,https://api.github.com/users/FriederikeHanssen/followers,https://api.github.com/users/FriederikeHanssen/following{/other_user},https://api.github.com/users/FriederikeHanssen/gists{/gist_id},https://api.github.com/users/FriederikeHanssen/starred{/owner}{/repo},https://api.github.com/users/FriederikeHanssen/subscriptions,https://api.github.com/users/FriederikeHanssen/orgs,https://api.github.com/users/FriederikeHanssen/repos,https://api.github.com/users/FriederikeHanssen/events{/privacy},https://api.github.com/users/FriederikeHanssen/received_events,User,public,False,2101
nf-core,sarek,asp8200,741,asp8200,37172585,MDQ6VXNlcjM3MTcyNTg1,https://avatars.githubusercontent.com/u/37172585?v=4,,https://api.github.com/users/asp8200,https://github.com/asp8200,https://api.github.com/users/asp8200/followers,https://api.github.com/users/asp8200/following{/other_user},https://api.github.com/users/asp8200/gists{/gist_id},https://api.github.com/users/asp8200/starred{/owner}{/repo},https://api.github.com/users/asp8200/subscriptions,https://api.github.com/users/asp8200/orgs,https://api.github.com/users/asp8200/repos,https://api.github.com/users/asp8200/events{/privacy},https://api.github.com/users/asp8200/received_events,User,public,False,741
nf-core,sarek,ggabernet,168,ggabernet,3973503,MDQ6VXNlcjM5NzM1MDM=,https://avatars.githubusercontent.com/u/3973503?v=4,,https://api.github.com/users/ggabernet,https://github.com/ggabernet,https://api.github.com/users/ggabernet/followers,https://api.github.com/users/ggabernet/following{/other_user},https://api.github.com/users/ggabernet/gists{/gist_id},https://api.github.com/users/ggabernet/starred{/owner}{/repo},https://api.github.com/users/ggabernet/subscriptions,https://api.github.com/users/ggabernet/orgs,https://api.github.com/users/ggabernet/repos,https://api.github.com/users/ggabernet/events{/privacy},https://api.github.com/users/ggabernet/received_events,User,public,False,168
nf-core,sarek,WackerO,144,WackerO,43847497,MDQ6VXNlcjQzODQ3NDk3,https://avatars.githubusercontent.com/u/43847497?v=4,,https://api.github.com/users/WackerO,https://github.com/WackerO,https://api.github.com/users/WackerO/followers,https://api.github.com/users/WackerO/following{/other_user},https://api.github.com/users/WackerO/gists{/gist_id},https://api.github.com/users/WackerO/starred{/owner}{/repo},https://api.github.com/users/WackerO/subscriptions,https://api.github.com/users/WackerO/orgs,https://api.github.com/users/WackerO/repos,https://api.github.com/users/WackerO/events{/privacy},https://api.github.com/users/WackerO/received_events,User,public,False,144
nf-core,sarek,SusiJo,130,SusiJo,43847534,MDQ6VXNlcjQzODQ3NTM0,https://avatars.githubusercontent.com/u/43847534?v=4,,https://api.github.com/users/SusiJo,https://github.com/SusiJo,https://api.github.com/users/SusiJo/followers,https://api.github.com/users/SusiJo/following{/other_user},https://api.github.com/users/SusiJo/gists{/gist_id},https://api.github.com/users/SusiJo/starred{/owner}{/repo},https://api.github.com/users/SusiJo/subscriptions,https://api.github.com/users/SusiJo/orgs,https://api.github.com/users/SusiJo/repos,https://api.github.com/users/SusiJo/events{/privacy},https://api.github.com/users/SusiJo/received_events,User,public,False,130
nf-core,sarek,adamrtalbot,97,adamrtalbot,12817534,MDQ6VXNlcjEyODE3NTM0,https://avatars.githubusercontent.com/u/12817534?v=4,,https://api.github.com/users/adamrtalbot,https://github.com/adamrtalbot,https://api.github.com/users/adamrtalbot/followers,https://api.github.com/users/adamrtalbot/following{/other_user},https://api.github.com/users/adamrtalbot/gists{/gist_id},https://api.github.com/users/adamrtalbot/starred{/owner}{/repo},https://api.github.com/users/adamrtalbot/subscriptions,https://api.github.com/users/adamrtalbot/orgs,https://api.github.com/users/adamrtalbot/repos,https://api.github.com/users/adamrtalbot/events{/privacy},https://api.github.com/users/adamrtalbot/received_events,User,public,False,97
nf-core,sarek,nf-core-bot,74,nf-core-bot,42236957,MDQ6VXNlcjQyMjM2OTU3,https://avatars.githubusercontent.com/u/42236957?v=4,,https://api.github.com/users/nf-core-bot,https://github.com/nf-core-bot,https://api.github.com/users/nf-core-bot/followers,https://api.github.com/users/nf-core-bot/following{/other_user},https://api.github.com/users/nf-core-bot/gists{/gist_id},https://api.github.com/users/nf-core-bot/starred{/owner}{/repo},https://api.github.com/users/nf-core-bot/subscriptions,https://api.github.com/users/nf-core-bot/orgs,https://api.github.com/users/nf-core-bot/repos,https://api.github.com/users/nf-core-bot/events{/privacy},https://api.github.com/users/nf-core-bot/received_events,User,public,False,74
nf-core,sarek,chelauk,62,chelauk,1465321,MDQ6VXNlcjE0NjUzMjE=,https://avatars.githubusercontent.com/u/1465321?v=4,,https://api.github.com/users/chelauk,https://github.com/chelauk,https://api.github.com/users/chelauk/followers,https://api.github.com/users/chelauk/following{/other_user},https://api.github.com/users/chelauk/gists{/gist_id},https://api.github.com/users/chelauk/starred{/owner}{/repo},https://api.github.com/users/chelauk/subscriptions,https://api.github.com/users/chelauk/orgs,https://api.github.com/users/chelauk/repos,https://api.github.com/users/chelauk/events{/privacy},https://api.github.com/users/chelauk/received_events,User,public,False,62
nf-core,sarek,berguner,56,berguner,23213155,MDQ6VXNlcjIzMjEzMTU1,https://avatars.githubusercontent.com/u/23213155?v=4,,https://api.github.com/users/berguner,https://github.com/berguner,https://api.github.com/users/berguner/followers,https://api.github.com/users/berguner/following{/other_user},https://api.github.com/users/berguner/gists{/gist_id},https://api.github.com/users/berguner/starred{/owner}{/repo},https://api.github.com/users/berguner/subscriptions,https://api.github.com/users/berguner/orgs,https://api.github.com/users/berguner/repos,https://api.github.com/users/berguner/events{/privacy},https://api.github.com/users/berguner/received_events,User,public,False,56
