fork_id,fork_name,fork_full_name,fork_owner,fork_url,fork_created_at,fork_updated_at
MDEwOlJlcG9zaXRvcnk4MzI0MTM2,bcbio-nextgen,kevyin/bcbio-nextgen,kevyin,https://github.com/kevyin/bcbio-nextgen,2013-02-20T22:56:46Z,2018-03-05T18:22:43Z
MDEwOlJlcG9zaXRvcnk4MzMxMDI5,bcbio-nextgen,SciLifeLab/bcbio-nextgen,SciLifeLab,https://github.com/SciLifeLab/bcbio-nextgen,2013-02-21T08:19:09Z,2021-04-28T13:58:37Z
MDEwOlJlcG9zaXRvcnk4NzcxODg5,bcbio-nextgen,luwening/bcbio-nextgen,luwening,https://github.com/luwening/bcbio-nextgen,2013-03-14T09:19:36Z,2018-03-05T18:22:43Z
MDEwOlJlcG9zaXRvcnk5OTU5Mzgy,bcbio-nextgen,brentp/bcbio-nextgen,brentp,https://github.com/brentp/bcbio-nextgen,2013-05-09T13:09:32Z,2016-12-21T08:59:13Z
MDEwOlJlcG9zaXRvcnk5OTczMjg5,bcbio-nextgen,nh13/bcbio-nextgen,nh13,https://github.com/nh13/bcbio-nextgen,2013-05-10T02:51:54Z,2018-03-05T18:22:43Z
MDEwOlJlcG9zaXRvcnkxMDE2MzUxNA==,steady,joshuashen/steady,joshuashen,https://github.com/joshuashen/steady,2013-05-20T00:48:46Z,2018-03-05T18:22:43Z
MDEwOlJlcG9zaXRvcnkxMDE3NzM2Mw==,bcbio-nextgen,janusz005/bcbio-nextgen,janusz005,https://github.com/janusz005/bcbio-nextgen,2013-05-20T16:54:14Z,2018-03-05T18:22:43Z
MDEwOlJlcG9zaXRvcnkxMDIxOTM4Mg==,bcbio-nextgen,kenongit/bcbio-nextgen,kenongit,https://github.com/kenongit/bcbio-nextgen,2013-05-22T12:31:02Z,2018-03-05T18:22:43Z
MDEwOlJlcG9zaXRvcnkxMTY5MzQ1MQ==,bcbio-nextgen,effect/bcbio-nextgen,effect,https://github.com/effect/bcbio-nextgen,2013-07-26T19:42:48Z,2018-03-05T18:22:43Z
MDEwOlJlcG9zaXRvcnkxMTgwNjM5Ng==,bcbio-nextgen,kdm9/bcbio-nextgen,kdm9,https://github.com/kdm9/bcbio-nextgen,2013-08-01T02:47:04Z,2018-03-05T18:22:43Z
MDEwOlJlcG9zaXRvcnkxMjEzMDAxNA==,bcbio-nextgen,biocyberman/bcbio-nextgen,biocyberman,https://github.com/biocyberman/bcbio-nextgen,2013-08-15T08:28:20Z,2017-11-02T19:11:31Z
MDEwOlJlcG9zaXRvcnkxMjU2NDk2OA==,bcbio-nextgen,yangjl/bcbio-nextgen,yangjl,https://github.com/yangjl/bcbio-nextgen,2013-09-03T13:48:34Z,2018-03-05T18:22:43Z
MDEwOlJlcG9zaXRvcnkxMjY4NTM0MQ==,bcbio-nextgen,cometsong/bcbio-nextgen,cometsong,https://github.com/cometsong/bcbio-nextgen,2013-09-08T18:31:54Z,2018-03-05T18:22:43Z
MDEwOlJlcG9zaXRvcnkxMjY5NDM3MA==,bcbio-nextgen,yong27/bcbio-nextgen,yong27,https://github.com/yong27/bcbio-nextgen,2013-09-09T06:18:04Z,2019-10-21T07:22:38Z
MDEwOlJlcG9zaXRvcnkxMzEzMDk0MA==,bcbio-nextgen,porterjamesj/bcbio-nextgen,porterjamesj,https://github.com/porterjamesj/bcbio-nextgen,2013-09-26T18:36:59Z,2018-03-05T18:22:43Z
