fork_id,fork_name,fork_full_name,fork_owner,fork_url,fork_created_at,fork_updated_at
MDEwOlJlcG9zaXRvcnkyNDE2NDY2Nzg=,gatk4-genome-processing-pipeline,quanrd/gatk4-genome-processing-pipeline,quanrd,https://github.com/quanrd/gatk4-genome-processing-pipeline,2020-02-19T14:46:17Z,2020-02-19T14:46:19Z
MDEwOlJlcG9zaXRvcnkyNDIxNzAxNDc=,gatk4-genome-processing-pipeline,samesense/gatk4-genome-processing-pipeline,samesense,https://github.com/samesense/gatk4-genome-processing-pipeline,2020-02-21T15:26:28Z,2020-08-26T13:15:59Z
MDEwOlJlcG9zaXRvcnkyNDUzMDIwNTE=,gatk4-genome-processing-pipeline,xingziye/gatk4-genome-processing-pipeline,xingziye,https://github.com/xingziye/gatk4-genome-processing-pipeline,2020-03-06T01:12:38Z,2020-03-06T05:33:03Z
MDEwOlJlcG9zaXRvcnkyNjEzMDQ4NTA=,gatk4-genome-processing-pipeline-azure,microsoft/gatk4-genome-processing-pipeline-azure,microsoft,https://github.com/microsoft/gatk4-genome-processing-pipeline-azure,2020-05-04T21:59:16Z,2024-11-05T22:27:30Z
MDEwOlJlcG9zaXRvcnkyNjQ5ODk5NTc=,gatk4-genome-processing-pipeline,peuclide/gatk4-genome-processing-pipeline,peuclide,https://github.com/peuclide/gatk4-genome-processing-pipeline,2020-05-18T15:59:54Z,2020-05-18T15:59:55Z
MDEwOlJlcG9zaXRvcnkyNzQxOTU1ODk=,gatk4-genome-processing-pipeline,ekiernan/gatk4-genome-processing-pipeline,ekiernan,https://github.com/ekiernan/gatk4-genome-processing-pipeline,2020-06-22T16:59:23Z,2020-06-22T16:59:24Z
MDEwOlJlcG9zaXRvcnkyNzQzNjM5MDM=,gatk4-genome-processing-pipeline,liserjrqlxue/gatk4-genome-processing-pipeline,liserjrqlxue,https://github.com/liserjrqlxue/gatk4-genome-processing-pipeline,2020-06-23T09:25:42Z,2020-06-23T09:25:44Z
MDEwOlJlcG9zaXRvcnkyNzY5NzYwNzY=,gatk4-genome-processing-pipeline,shengqh/gatk4-genome-processing-pipeline,shengqh,https://github.com/shengqh/gatk4-genome-processing-pipeline,2020-07-03T19:46:18Z,2020-07-03T19:46:20Z
MDEwOlJlcG9zaXRvcnkyNzk1MjA0Njk=,gatk4-genome-processing-pipeline,mackaay/gatk4-genome-processing-pipeline,mackaay,https://github.com/mackaay/gatk4-genome-processing-pipeline,2020-07-14T07:57:22Z,2020-07-14T07:57:23Z
MDEwOlJlcG9zaXRvcnkyODI3MTUxNTE=,gatk4-genome-processing-pipeline,priyankasebastian/gatk4-genome-processing-pipeline,priyankasebastian,https://github.com/priyankasebastian/gatk4-genome-processing-pipeline,2020-07-26T19:04:37Z,2020-09-28T21:41:09Z
