fork_id,fork_name,fork_full_name,fork_owner,fork_url,fork_created_at,fork_updated_at
MDEwOlJlcG9zaXRvcnkyNDg2MDg0NTA=,variant-calling-pipeline-gatk4,genericdata/variant-calling-pipeline-gatk4,genericdata,https://github.com/genericdata/variant-calling-pipeline-gatk4,2020-03-19T21:27:01Z,2020-03-19T22:47:15Z
MDEwOlJlcG9zaXRvcnkyNjY2NDE3MzM=,variant-calling-pipeline-gatk4,tracychew/variant-calling-pipeline-gatk4,tracychew,https://github.com/tracychew/variant-calling-pipeline-gatk4,2020-05-24T23:26:57Z,2020-05-24T23:26:58Z
MDEwOlJlcG9zaXRvcnkyNzM1NjY5NDI=,variant-calling-pipeline-gatk4,seanchen607/variant-calling-pipeline-gatk4,seanchen607,https://github.com/seanchen607/variant-calling-pipeline-gatk4,2020-06-19T19:01:12Z,2020-06-19T19:01:14Z
MDEwOlJlcG9zaXRvcnkyODk3OTg0MDE=,variant-calling-pipeline-gatk4,wkang0/variant-calling-pipeline-gatk4,wkang0,https://github.com/wkang0/variant-calling-pipeline-gatk4,2020-08-24T01:27:23Z,2020-08-24T01:27:25Z
MDEwOlJlcG9zaXRvcnkyOTIyODY4NzU=,variant-calling-pipeline-gatk4,yirenheihei/variant-calling-pipeline-gatk4,yirenheihei,https://github.com/yirenheihei/variant-calling-pipeline-gatk4,2020-09-02T13:12:17Z,2020-09-02T13:12:20Z
MDEwOlJlcG9zaXRvcnkyOTY4NjY1NjY=,variant-calling-pipeline-gatk4,bioinformatics-lab/variant-calling-pipeline-gatk4,bioinformatics-lab,https://github.com/bioinformatics-lab/variant-calling-pipeline-gatk4,2020-09-19T12:41:22Z,2020-09-19T12:41:24Z
MDEwOlJlcG9zaXRvcnkzMDAxMjI1Njk=,variant-calling-pipeline-gatk4,wzchang/variant-calling-pipeline-gatk4,wzchang,https://github.com/wzchang/variant-calling-pipeline-gatk4,2020-10-01T02:58:23Z,2020-10-01T02:58:26Z
MDEwOlJlcG9zaXRvcnkzMDM0NDY1NTI=,variant-calling-pipeline-gatk4,m3hdad/variant-calling-pipeline-gatk4,m3hdad,https://github.com/m3hdad/variant-calling-pipeline-gatk4,2020-10-12T16:14:38Z,2020-10-12T16:14:41Z
MDEwOlJlcG9zaXRvcnkzMDgwMzIyOTE=,variant-calling-pipeline-gatk4,YussAb/variant-calling-pipeline-gatk4,YussAb,https://github.com/YussAb/variant-calling-pipeline-gatk4,2020-10-28T13:53:06Z,2020-10-28T13:53:08Z
MDEwOlJlcG9zaXRvcnkzMDk4MjkwODk=,variant-calling-pipeline-gatk4,cgpu/variant-calling-pipeline-gatk4,cgpu,https://github.com/cgpu/variant-calling-pipeline-gatk4,2020-11-03T23:11:52Z,2020-11-03T23:11:55Z
MDEwOlJlcG9zaXRvcnkzMzU2Mjk1MzU=,variant-calling-pipeline-gatk4,rrodzstgo/variant-calling-pipeline-gatk4,rrodzstgo,https://github.com/rrodzstgo/variant-calling-pipeline-gatk4,2021-02-03T13:14:54Z,2021-02-03T13:14:55Z
MDEwOlJlcG9zaXRvcnkzNDM1MzczMjM=,variant-calling-pipeline-gatk4,kee007ney/variant-calling-pipeline-gatk4,kee007ney,https://github.com/kee007ney/variant-calling-pipeline-gatk4,2021-03-01T19:46:48Z,2021-03-01T19:46:51Z
MDEwOlJlcG9zaXRvcnkzNDQwMjY1Njg=,variant-calling-pipeline-gatk4,enigmargs/variant-calling-pipeline-gatk4,enigmargs,https://github.com/enigmargs/variant-calling-pipeline-gatk4,2021-03-03T06:33:36Z,2021-03-03T06:33:39Z
MDEwOlJlcG9zaXRvcnkzNDY0MDE3NzE=,variant-calling-pipeline-gatk4,Jokendo-collab/variant-calling-pipeline-gatk4,Jokendo-collab,https://github.com/Jokendo-collab/variant-calling-pipeline-gatk4,2021-03-10T15:28:15Z,2021-03-10T15:28:16Z
MDEwOlJlcG9zaXRvcnkzNTIwNDE1OTI=,variant-calling-pipeline-gatk4,RimanB/variant-calling-pipeline-gatk4,RimanB,https://github.com/RimanB/variant-calling-pipeline-gatk4,2021-03-27T10:18:03Z,2021-03-27T10:18:05Z
MDEwOlJlcG9zaXRvcnkzNTMyNTMzNTM=,variant-calling-pipeline-gatk4,santoshe1/variant-calling-pipeline-gatk4,santoshe1,https://github.com/santoshe1/variant-calling-pipeline-gatk4,2021-03-31T06:40:48Z,2021-03-31T06:40:49Z
MDEwOlJlcG9zaXRvcnkzNTgwODE5NDc=,variant-calling-pipeline-gatk4,shulp2211/variant-calling-pipeline-gatk4,shulp2211,https://github.com/shulp2211/variant-calling-pipeline-gatk4,2021-04-15T00:45:25Z,2021-04-15T00:45:26Z
MDEwOlJlcG9zaXRvcnkzNzE0ODQzNjM=,variant-calling-pipeline-gatk4,KyleStiers/variant-calling-pipeline-gatk4,KyleStiers,https://github.com/KyleStiers/variant-calling-pipeline-gatk4,2021-05-27T19:34:46Z,2021-05-28T14:06:00Z
MDEwOlJlcG9zaXRvcnkzODIxNjM3OTI=,variant-caller,NAMlab/variant-caller,NAMlab,https://github.com/NAMlab/variant-caller,2021-07-01T21:48:08Z,2021-08-09T08:53:23Z
MDEwOlJlcG9zaXRvcnkzOTkyNDk3Nzc=,variant-calling-pipeline-gatk4,XiaotingChen/variant-calling-pipeline-gatk4,XiaotingChen,https://github.com/XiaotingChen/variant-calling-pipeline-gatk4,2021-08-23T21:15:31Z,2021-08-23T21:15:32Z
R_kgDOGc6pRA,variant-calling-pipeline-gatk4,harbi811/variant-calling-pipeline-gatk4,harbi811,https://github.com/harbi811/variant-calling-pipeline-gatk4,2021-11-29T09:11:03Z,2021-11-29T09:11:04Z
