fork_id,fork_name,fork_full_name,fork_owner,fork_url,fork_created_at,fork_updated_at
MDEwOlJlcG9zaXRvcnk4MTI1NzI2Nw==,variant_pipeline,jjssantos/variant_pipeline,jjssantos,https://github.com/jjssantos/variant_pipeline,2017-02-07T21:41:32Z,2017-02-07T21:41:38Z
MDEwOlJlcG9zaXRvcnkxMTY0MTA5MTE=,variant_pipeline,jtmccr1/variant_pipeline,jtmccr1,https://github.com/jtmccr1/variant_pipeline,2018-01-05T17:39:37Z,2018-08-27T09:03:19Z
MDEwOlJlcG9zaXRvcnkxMTY4NTk1MzU=,variant_pipeline,kmpeck/variant_pipeline,kmpeck,https://github.com/kmpeck/variant_pipeline,2018-01-09T19:19:42Z,2018-01-09T19:19:45Z
MDEwOlJlcG9zaXRvcnkxMTY4NjU3MzU=,variant_pipeline,virgiliocyte/variant_pipeline,virgiliocyte,https://github.com/virgiliocyte/variant_pipeline,2018-01-09T20:13:15Z,2018-01-09T20:13:18Z
MDEwOlJlcG9zaXRvcnkxMTg5MjQ3Mjc=,variant_pipeline,jshoyer/variant_pipeline,jshoyer,https://github.com/jshoyer/variant_pipeline,2018-01-25T14:41:07Z,2018-01-25T14:41:12Z
MDEwOlJlcG9zaXRvcnkxMzAzNTQyNjk=,variant_pipeline,elifesciences-publications/variant_pipeline,elifesciences-publications,https://github.com/elifesciences-publications/variant_pipeline,2018-04-20T11:40:28Z,2023-01-28T17:40:55Z
MDEwOlJlcG9zaXRvcnkxNDkxOTk3NDA=,variant_pipeline,andrewvalesano/variant_pipeline,andrewvalesano,https://github.com/andrewvalesano/variant_pipeline,2018-09-17T23:12:57Z,2018-09-17T23:13:02Z
MDEwOlJlcG9zaXRvcnkxODYwMjE3MzI=,variant_pipeline,HPCBio/variant_pipeline,HPCBio,https://github.com/HPCBio/variant_pipeline,2019-05-10T16:39:02Z,2019-05-10T16:39:08Z
MDEwOlJlcG9zaXRvcnkxOTA3OTgxNjY=,variant_pipeline,alauring/variant_pipeline,alauring,https://github.com/alauring/variant_pipeline,2019-06-07T19:29:26Z,2019-06-07T19:29:32Z
MDEwOlJlcG9zaXRvcnkyMTczNTQ0MDI=,variant_pipeline,jgpetrie/variant_pipeline,jgpetrie,https://github.com/jgpetrie/variant_pipeline,2019-10-24T17:22:43Z,2019-10-24T17:22:44Z
MDEwOlJlcG9zaXRvcnkyMzUwMzM0NDU=,variant_pipeline,Jinglu1982/variant_pipeline,Jinglu1982,https://github.com/Jinglu1982/variant_pipeline,2020-01-20T06:26:29Z,2020-01-20T06:26:31Z
MDEwOlJlcG9zaXRvcnkyNzM1NTU5NTM=,variant_pipeline,bendalle/variant_pipeline,bendalle,https://github.com/bendalle/variant_pipeline,2020-06-19T17:56:59Z,2020-06-19T17:57:01Z
MDEwOlJlcG9zaXRvcnkzNDkzNDQzMzY=,variant_pipeline,sywan/variant_pipeline,sywan,https://github.com/sywan/variant_pipeline,2021-03-19T07:59:30Z,2021-03-19T07:59:31Z
