id,title,state,created_at,updated_at,closed_at,body,user,url
MDU6SXNzdWUyNTAxMjE3ODA=,Identify example datasets,CLOSED,2017-08-14T18:58:03Z,2017-08-16T22:14:43Z,2017-08-16T22:14:43Z,Note that there is an S3 bucket with 1kG data,neksa,https://github.com/NCBI-Hackathons/GenomicRobots/issues/1
MDU6SXNzdWUyNTAxMzUzNTU=,get PSST working,CLOSED,2017-08-14T19:52:22Z,2017-08-15T16:58:04Z,2017-08-15T16:58:04Z,https://github.com/NCBI-Hackathons/PSST,daler,https://github.com/NCBI-Hackathons/GenomicRobots/issues/2
MDU6SXNzdWUyNTAxMzg4ODQ=,BOT-1: Write VCF processor that outputs a N patients x M features table,OPEN,2017-08-14T20:06:25Z,2017-08-14T20:57:58Z,,,neksa,https://github.com/NCBI-Hackathons/GenomicRobots/issues/3
MDU6SXNzdWUyNTAxNDExNzc=,BOT-1: Create a simple docker container that wraps around VCF processor,OPEN,2017-08-14T20:15:24Z,2017-08-14T21:00:07Z,,,neksa,https://github.com/NCBI-Hackathons/GenomicRobots/issues/4
MDU6SXNzdWUyNTAxNDEyODE=,Create a container for PII checker program,OPEN,2017-08-14T20:15:48Z,2017-08-14T20:15:48Z,,,neksa,https://github.com/NCBI-Hackathons/GenomicRobots/issues/5
MDU6SXNzdWUyNTAxNDI3NDM=,Install docker CE on AWS,CLOSED,2017-08-14T20:21:44Z,2017-08-14T21:23:58Z,2017-08-14T21:23:58Z,,neksa,https://github.com/NCBI-Hackathons/GenomicRobots/issues/6
MDU6SXNzdWUyNTAxNDI4Mjk=,Create dockerhub or quay project for our containers,CLOSED,2017-08-14T20:22:05Z,2017-08-15T14:10:12Z,2017-08-15T14:10:12Z,,neksa,https://github.com/NCBI-Hackathons/GenomicRobots/issues/7
MDU6SXNzdWUyNTAxNTA5Njc=,"Explore beacon, it's scope and limitations",CLOSED,2017-08-14T20:53:00Z,2017-08-16T22:14:36Z,2017-08-16T22:14:36Z,,neksa,https://github.com/NCBI-Hackathons/GenomicRobots/issues/8
MDU6SXNzdWUyNTAxNTI2MDU=,BOT-2: Create a script and docker container that runs PSST and outputs a matrix,CLOSED,2017-08-14T20:59:41Z,2017-08-16T22:14:26Z,2017-08-16T22:14:26Z,https://github.com/NCBI-Hackathons/PSST,neksa,https://github.com/NCBI-Hackathons/GenomicRobots/issues/9
MDU6SXNzdWUyNTAxNTM1Njk=,Create a simple web frontend for running bots,CLOSED,2017-08-14T21:03:38Z,2017-08-16T22:13:44Z,2017-08-16T22:13:44Z,,neksa,https://github.com/NCBI-Hackathons/GenomicRobots/issues/10
MDU6SXNzdWUyNTAxNTQyMTM=,gdfgdfg,CLOSED,2017-08-14T21:06:12Z,2017-08-15T20:50:56Z,2017-08-15T20:50:56Z,,neksa,https://github.com/NCBI-Hackathons/GenomicRobots/issues/11
MDU6SXNzdWUyNTAxNjI2ODA=,Add AWS CLI,CLOSED,2017-08-14T21:41:44Z,2017-08-16T22:14:59Z,2017-08-16T22:14:59Z,,neksa,https://github.com/NCBI-Hackathons/GenomicRobots/issues/12
MDU6SXNzdWUyNTAxNjU5MjA=,Get MAF from 1kG,CLOSED,2017-08-14T21:56:32Z,2017-08-16T22:14:16Z,2017-08-16T22:14:16Z,,neksa,https://github.com/NCBI-Hackathons/GenomicRobots/issues/13
MDU6SXNzdWUyNTAzMjUzNTU=,Tuesday Presentation,CLOSED,2017-08-15T14:08:50Z,2017-08-15T16:59:03Z,2017-08-15T16:59:03Z,,neksa,https://github.com/NCBI-Hackathons/GenomicRobots/issues/14
MDU6SXNzdWUyNTAzMjUzOTk=,Manuscript draft,CLOSED,2017-08-15T14:08:58Z,2017-08-16T22:14:08Z,2017-08-16T22:14:08Z,,neksa,https://github.com/NCBI-Hackathons/GenomicRobots/issues/15
MDU6SXNzdWUyNTAzMjg5Mjg=,Create/Edit gh project description REAME.md,CLOSED,2017-08-15T14:20:55Z,2017-08-16T22:16:14Z,2017-08-16T22:16:14Z,,neksa,https://github.com/NCBI-Hackathons/GenomicRobots/issues/16
MDU6SXNzdWUyNTAzODgzNTU=,Explore the results of privacy protection effort iDASH ,CLOSED,2017-08-15T17:55:14Z,2017-08-16T22:14:02Z,2017-08-16T22:14:02Z,"http://idash.ucsd.edu/

https://www.ncbi.nlm.nih.gov/pubmed/28786359
https://www.ncbi.nlm.nih.gov/pubmed/28786360
https://www.ncbi.nlm.nih.gov/pubmed/28786363
",neksa,https://github.com/NCBI-Hackathons/GenomicRobots/issues/18
