id,title,state,created_at,updated_at,closed_at,body,user,url
MDU6SXNzdWU4ODk1Njk3MDE=,"need to make sure outputDir in config has ""/"" at the end ",CLOSED,2021-05-12T03:16:58Z,2021-06-10T01:59:53Z,2021-06-10T01:59:53Z,need to check and add that in the workflow,shukwong,https://github.com/NCI-CGR/GEMSCAN/issues/1
MDU6SXNzdWU4OTU3Mzk2ODQ=,Reference access permission and GRCh38,CLOSED,2021-05-19T18:12:35Z,2021-06-11T14:14:01Z,2021-06-11T14:14:01Z,"Hi Wendy,

I got a permission error when I try to access: /scratch/GEMSCAN_tutorial/hg19/. Also, could you put a GRCh38 reference file there too?

Thanks!",Binz-Z,https://github.com/NCI-CGR/GEMSCAN/issues/2
MDU6SXNzdWU4OTcyMzQxMDQ=,allow user to use cram files as input,CLOSED,2021-05-20T18:17:37Z,2021-06-10T02:05:33Z,2021-06-10T02:05:33Z,"currently the pipeline assumes that the input alignment file is bam and infers the bam file index as <bamfile>.bai, change the sample.txt input format to allow the user to input the index file name should allow cram files to be used.",shukwong,https://github.com/NCI-CGR/GEMSCAN/issues/3
MDU6SXNzdWU4OTc2MjAzODU=,Test using glnexus merge to merge HaploytypeCaller gvcf files (instead of combineGVCFs),CLOSED,2021-05-21T02:30:44Z,2021-06-11T03:04:56Z,2021-06-11T03:04:56Z,"- whether it's faster (tested on GIAB exome samples and seems to be much faster)
- whether the performance is comparable",shukwong,https://github.com/NCI-CGR/GEMSCAN/issues/4
MDU6SXNzdWU4OTk3NDE3NTM=,Which vcf/gvcf files to keep? ,CLOSED,2021-05-24T15:00:54Z,2021-06-11T14:13:39Z,2021-06-11T03:02:55Z,"Strelka2 and DeepVariant produce both vcf and gvcf files for each sample and currently, both are kept. Is it necessary to keep both or just the per sample gvcf files is enough?

GATK Haplotyper produces gvcf files and they are genotyped into vcf files, currently the gvcf files are marked as temp.
If we do switch to using GLnexus merge for GATK Haplotype caller we may want to keep the per sample gvcf files for future merging.",shukwong,https://github.com/NCI-CGR/GEMSCAN/issues/5
MDU6SXNzdWU5MTA5MDQwNjY=,check for valid bed file before running the pipeline,CLOSED,2021-06-03T22:19:02Z,2021-06-11T03:06:15Z,2021-06-11T03:04:13Z,check to make sure the bed file is sorted without overlapping regions before running the pipeline,shukwong,https://github.com/NCI-CGR/GEMSCAN/issues/6
MDU6SXNzdWU5MTk4OTY2Njk=,add checks to make sure the samples.txt file is tab delimited,OPEN,2021-06-13T22:47:53Z,2021-07-16T19:49:13Z,,"otherwise the use may get errors like ""AttributeError: 'float' object has no attribute 'startswith'""",shukwong,https://github.com/NCI-CGR/GEMSCAN/issues/10
MDU6SXNzdWU5MTk5Mjk2NzE=,"bebops docker image causes ""kernel too old"" error in CCAD",CLOSED,2021-06-14T01:24:27Z,2021-06-14T01:59:42Z,2021-06-14T01:59:42Z,create ubuntu 16 docker image for bedtops,shukwong,https://github.com/NCI-CGR/GEMSCAN/issues/11
MDU6SXNzdWU5MjE2NzM1NDg=,runtime not properly mapped in ccad profile,CLOSED,2021-06-15T18:18:20Z,2021-06-15T23:22:28Z,2021-06-15T23:22:28Z,needs to be converted to the number of minutes like in the biowulf profile,shukwong,https://github.com/NCI-CGR/GEMSCAN/issues/12
MDU6SXNzdWU5MjI3NDAxNDk=,Non-clickable link in user document,CLOSED,2021-06-16T15:07:56Z,2021-06-16T17:46:07Z,2021-06-16T17:46:07Z,"The user document ""Running_on_NIH_Biowulf"" section, ""create config/samples.txt and config/config.yaml as described in **here**"", The ""here"" is not clickable because it will move to next line when mouse over it.",Binz-Z,https://github.com/NCI-CGR/GEMSCAN/issues/14
MDU6SXNzdWU5MjMxMTIyOTM=,Have option to specify number of cpus by rule in CCAD,OPEN,2021-06-16T21:15:29Z,2021-06-21T20:59:21Z,,,shukwong,https://github.com/NCI-CGR/GEMSCAN/issues/15
