id,title,state,created_at,updated_at,closed_at,body,user,url
MDU6SXNzdWUxNTc2NjI4MzA=,readme inf,CLOSED,2016-05-31T12:46:32Z,2016-06-20T12:03:00Z,2016-06-20T12:03:00Z,"Можно  пример работы,чтобы записать на анг. в ридми?
",Alexey-T,https://github.com/kvichans/cuda_intext_complete/issues/2
MDU6SXNzdWUxNTg3MTU5NDA=,Beta 0.9. Two types of completions,CLOSED,2016-06-06T16:12:01Z,2016-09-06T20:07:49Z,2016-09-06T20:07:49Z,"Переработанная версия.
1) Меню
![itc-menu](https://cloud.githubusercontent.com/assets/7419630/15828251/350074da-2c17-11e6-96b5-acabbbb90e7c.JPG)

2) Конфиг
![itc-cfg](https://cloud.githubusercontent.com/assets/7419630/15828118/bd274b00-2c16-11e6-8046-d3f8cad2d993.JPG)

3) Предлагается пользоваться сразу двумя списками дополнений: **словами** и **выражениями**.
_Слова_ содержат только буквы/цифры и немного других знаков (по умолчанию только `_`).
_Выражения_ могут содержать все спецзнаки или даже любые непробельные символы. Выражения могут оказаться с пробелами внутри, если включена опция ""Expands to include both pair-characters"", то есть расширять до парной скобки/кавычки.

4) Оба списка можно использовать перебором (команды `Use next/prev...`) или отобразить целиком (команды `Show list...`). Пока каретка или выделение не изменено, можно 
- переключаться между типами списков,
- после перебора отображать список,
- после отображения продолжать перебор.

5) При отображении списки содержать варианты и номера строк.
Список со ""словами""
![itc_wdlist](https://cloud.githubusercontent.com/assets/7419630/15828676/ea14387e-2c18-11e6-917e-47405e86fdfe.JPG)
Список с ""выражениями"", при включенной опции ""Расширять"".
![itc_exlist](https://cloud.githubusercontent.com/assets/7419630/15828701/ff1b0b58-2c18-11e6-86fb-982989c2857b.JPG)

6) И списки и перебор начинаются либо с первого варианта, либо с ближайшего (сравнение по номерам строк), если включена ""Start with variant from nearest line""
",kvichans,https://github.com/kvichans/cuda_intext_complete/issues/3
MDU6SXNzdWUxNTg5NjA4MzU=,"Err on complete ""Typ|e""",CLOSED,2016-06-07T15:58:56Z,2016-06-07T16:16:25Z,2016-06-07T16:16:25Z,"```
<?xml version=""1.0"" encoding=""UTF-8""?>
<CONFIG>
  <Package Version=""4"">
    <PathDelim Value=""\""/>
    <Name Value=""LazColorPalette""/>
    <Type Value=""RunAndDesignTime""/>
```

встаю после ""Typ"" перед ""e"",
word-list,

```
  File ""<string>"", line 1, in <module>
  File ""/home/user/.cudatext/py/cuda_intext_complete/cd_int_cmpl.py"", line 327, in show_list_wd
    def show_list_wd(self): return self.show_list('word')
  File ""/home/user/.cudatext/py/cuda_intext_complete/cd_int_cmpl.py"", line 335, in show_list
    return self._subst('next')
TypeError: _subst() missing 1 required positional argument: 'wdex'
```
",Alexey-T,https://github.com/kvichans/cuda_intext_complete/issues/4
MDU6SXNzdWUxNTg5NjY1NTc=,complete wrd,CLOSED,2016-06-07T16:24:09Z,2016-06-09T13:07:29Z,2016-06-09T13:07:29Z,"""ca|rect"" дополняет до ""can""-- Но виш такой- заменять по ""can"" все слово ""caret"" 
",Alexey-T,https://github.com/kvichans/cuda_intext_complete/issues/5
MDU6SXNzdWUxNTg5NzIyMjQ=,not uploaded my files,CLOSED,2016-06-07T16:51:16Z,2016-06-09T13:08:32Z,2016-06-09T13:08:32Z,"To readme (2 pics, txt)
",Alexey-T,https://github.com/kvichans/cuda_intext_complete/issues/6
MDU6SXNzdWUxNTk0MDMzOTg=,bt 0.9.2,CLOSED,2016-06-09T13:07:34Z,2016-09-06T20:08:42Z,2016-09-06T20:08:42Z,"1) Конфиг-диалог
![itc-cfg](https://cloud.githubusercontent.com/assets/7419630/15930168/16ed8b3c-2e5a-11e6-9cad-7e52ba11b2ba.JPG)

2) `[x]Delete tail` позволит дополнять начало слова с кареткой:
`ab|cd` может дополниться до `ab|123` или  `ab|ABC`

3) `[ ]Delete tail` позволит дополнять целое слово с кареткой
`ab|cd` может дополниться до `ab|cd123` или  `ab|cdABC`

4) Не важно сколько попыток дополнения вы сделали, вернуть текст в исходное состояние можно одной командой Undo.
",kvichans,https://github.com/kvichans/cuda_intext_complete/issues/7
MDU6SXNzdWUxNjEwODExMTY=,Rename of opts,CLOSED,2016-06-19T16:45:05Z,2016-06-20T09:02:49Z,2016-06-20T07:45:14Z,"I found some lines and guess it is IntextComp

  ""itc_min_len"": 2,
  ""itc_sngl"": false,
    ""itc_near"": true,

need ok reading prefix. ""intextcomp_""
",Alexey-T,https://github.com/kvichans/cuda_intext_complete/issues/8
MDU6SXNzdWUxNjExNzk3Nzc=,Cart pos wrong,CLOSED,2016-06-20T12:04:30Z,2016-06-20T14:59:09Z,2016-06-20T14:59:09Z," File

```
dddaa dddddbb dd22
dd|
```

after ""dd"" complete to ""dddaa"". Caret dont go to word end after ""dddaa"".
",Alexey-T,https://github.com/kvichans/cuda_intext_complete/issues/9
MDU6SXNzdWUxNjM1NjE0NDM=,GH desc,CLOSED,2016-07-03T13:05:17Z,2016-07-07T13:02:50Z,2016-07-07T11:28:49Z,"repo's desc missed.
",Alexey-T,https://github.com/kvichans/cuda_intext_complete/issues/10
MDU6SXNzdWUyMDQ4NzA4MTE=,cannot complete; in None-lexer file,CLOSED,2017-02-02T13:19:42Z,2021-04-03T13:22:40Z,2021-04-03T13:22:40Z,"new tab, none lexer. text-
```
df sfdfd ddddddddd dddere ddd
```

After ""ddd""-caret. I call plugin, word-completions. No result. 
expected result: list if ""dddddddd"", ""dddere"".
",Alexey-T,https://github.com/kvichans/cuda_intext_complete/issues/11
