id,title,state,created_at,updated_at,closed_at,body,user,url
MDU6SXNzdWUzMjMxMDQ4NzI=,CI tests missing,OPEN,2018-05-15T07:53:52Z,2018-05-15T09:52:22Z,,,andreas-wilm,https://github.com/nf-core/vipr/issues/1
MDU6SXNzdWUzMjMxMDQ5NTQ=,Push containers to nf-core,CLOSED,2018-05-15T07:54:08Z,2018-08-07T13:08:05Z,2018-08-07T13:08:05Z,,andreas-wilm,https://github.com/nf-core/vipr/issues/2
MDU6SXNzdWUzMjMxMDUwMTA=,Add a report (MultiQC) summarizing analysis,OPEN,2018-05-15T07:54:20Z,2018-07-21T00:57:35Z,,,andreas-wilm,https://github.com/nf-core/vipr/issues/3
MDU6SXNzdWUzMjMxMDUxMDE=, Add docs/configuration,OPEN,2018-05-15T07:54:38Z,2018-05-15T07:54:38Z,,,andreas-wilm,https://github.com/nf-core/vipr/issues/4
MDU6SXNzdWUzMjMxMDUyMjY=,"Add aws, docker and singularity profiles",CLOSED,2018-05-15T07:54:59Z,2018-08-07T13:08:05Z,2018-08-07T13:08:05Z,,andreas-wilm,https://github.com/nf-core/vipr/issues/5
MDU6SXNzdWUzMjMxMDUyOTQ=,Allow other means of read input besides params.yaml,OPEN,2018-05-15T07:55:12Z,2018-05-15T09:51:09Z,,,andreas-wilm,https://github.com/nf-core/vipr/issues/6
MDU6SXNzdWUzMjMxMDUzNjM=,Add support for single-end read data,OPEN,2018-05-15T07:55:27Z,2018-05-15T09:48:17Z,,,andreas-wilm,https://github.com/nf-core/vipr/issues/7
MDU6SXNzdWUzMjMxMDU0NTI=, create BWA index for contamination reference if missing,OPEN,2018-05-15T07:55:42Z,2018-05-15T09:47:05Z,,,andreas-wilm,https://github.com/nf-core/vipr/issues/8
MDU6SXNzdWUzMjMxMDU1NzI=,Fix file permissions for published {sample}_polished_assembly.fa,OPEN,2018-05-15T07:56:09Z,2018-05-15T07:56:09Z,,Sometimes but not always (!?) set to 600,andreas-wilm,https://github.com/nf-core/vipr/issues/9
MDU6SXNzdWUzMjMxMDY4MTE=,Run nf-core lint ,OPEN,2018-05-15T08:00:10Z,2018-08-06T09:22:18Z,,,andreas-wilm,https://github.com/nf-core/vipr/issues/10
MDU6SXNzdWUzMjMxMjMxODg=,Fix logo font,CLOSED,2018-05-15T08:51:24Z,2018-08-06T09:19:52Z,2018-08-06T09:19:52Z,"Installed Maven Pro manually and Inkscape via Homebrew (on a Mac). Font is not applied, but no error is printed. ",andreas-wilm,https://github.com/nf-core/vipr/issues/11
MDU6SXNzdWUzMjM1ODQ4NjE=,Get rid of Groovy flag in GitHub,CLOSED,2018-05-16T11:44:29Z,2018-08-06T09:19:25Z,2018-08-06T09:19:25Z,"==> create a file "".gitattributes"" that assumes the configs are nextflow ;-) 

https://github.com/nf-core/rnaseq/blob/master/.gitattributes

",apeltzer,https://github.com/nf-core/vipr/issues/12
MDU6SXNzdWUzNDc4NDQzMDY=,add CHANGELOG,CLOSED,2018-08-06T09:21:43Z,2018-08-08T14:30:51Z,2018-08-08T14:30:51Z,cf #10 ,maxulysse,https://github.com/nf-core/vipr/issues/15
MDU6SXNzdWUzNDc5MjQ5MDA=,add Singularity file,CLOSED,2018-08-06T13:30:52Z,2018-08-06T13:50:45Z,2018-08-06T13:50:45Z,cf #10,maxulysse,https://github.com/nf-core/vipr/issues/16
MDU6SXNzdWUzNDgyODU1OTA=,Add a DOI on first release,OPEN,2018-08-07T11:45:34Z,2018-08-07T11:45:34Z,,,apeltzer,https://github.com/nf-core/vipr/issues/19
MDU6SXNzdWUzNTAzOTIwNDc=,Naming conventions,OPEN,2018-08-14T11:41:41Z,2018-08-14T11:41:41Z,,"Please follow our naming conventions too :-) 
cf https://github.com/qbicsoftware/icgc-featurecounts/issues/8 ",apeltzer,https://github.com/nf-core/vipr/issues/23
MDU6SXNzdWUzNTA3MTYzMDc=,Speed up consensus iteration,OPEN,2018-08-15T07:45:24Z,2018-08-19T03:30:06Z,,"Use plain consensus rules for variant calling in consensus update. This will be much faster and we can live with a few FP / FN, since a final LoFreq call is done eventually anyway",andreas-wilm,https://github.com/nf-core/vipr/issues/24
MDU6SXNzdWUzNTMzMTQ4MzM=,Add your name to copyright in licence.md ,OPEN,2018-08-23T10:12:43Z,2018-08-23T10:12:43Z,,Add the copyright holder to Licence file again.,apeltzer,https://github.com/nf-core/vipr/issues/25
