pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url
MDExOlB1bGxSZXF1ZXN0MjYxNjM5MzA5,Создан gradle проект,MERGED,2019-03-15T17:32:23Z,2019-03-18T16:09:54Z,2019-03-18T16:09:54Z,2019-03-18T16:09:54Z,yaroslaver,https://github.com/Kirvolque/variant_caller/pull/1
MDExOlB1bGxSZXF1ZXN0MjYzNTg0Mjc3,feat: Create fasta parser,MERGED,2019-03-22T11:55:41Z,2019-03-27T05:40:47Z,2019-03-27T05:40:47Z,2019-03-27T05:40:47Z,Stakhiev-Alexander,https://github.com/Kirvolque/variant_caller/pull/2
MDExOlB1bGxSZXF1ZXN0MjYzODQ4NTc4,fix: Rearrange code and fix appeal to the chromosome by name,CLOSED,2019-03-23T17:35:53Z,2019-03-23T17:39:24Z,2019-03-23T17:39:24Z,,Stakhiev-Alexander,https://github.com/Kirvolque/variant_caller/pull/3
MDExOlB1bGxSZXF1ZXN0MjY0MjcwNzE5,Vcfwriter,MERGED,2019-03-25T20:12:47Z,2019-05-26T13:05:54Z,2019-05-26T13:05:54Z,2019-05-26T13:05:54Z,yaroslaver,https://github.com/Kirvolque/variant_caller/pull/4
MDExOlB1bGxSZXF1ZXN0MjY1NDUzOTY2,Tests for FastaParser and FastaSequence,MERGED,2019-03-28T18:28:44Z,2019-03-28T19:58:09Z,2019-03-28T19:58:09Z,2019-03-28T19:58:09Z,Stakhiev-Alexander,https://github.com/Kirvolque/variant_caller/pull/5
MDExOlB1bGxSZXF1ZXN0MjcwMjU4NjQ4,Regions data structure,MERGED,2019-04-13T22:39:04Z,2019-04-18T20:57:17Z,2019-04-18T20:57:16Z,2019-04-18T20:57:16Z,Stakhiev-Alexander,https://github.com/Kirvolque/variant_caller/pull/6
MDExOlB1bGxSZXF1ZXN0Mjc1OTQ4OTY1,Add SamRecord for reads from sam file and SamParser to read them from file,MERGED,2019-05-04T21:09:01Z,2019-05-22T10:43:13Z,2019-05-22T10:43:13Z,2019-05-22T10:43:13Z,Stakhiev-Alexander,https://github.com/Kirvolque/variant_caller/pull/7
MDExOlB1bGxSZXF1ZXN0MjgwOTY3NDQy,Bed parser,MERGED,2019-05-21T22:11:18Z,2019-05-24T06:26:00Z,2019-05-24T06:25:59Z,2019-05-24T06:25:59Z,Stakhiev-Alexander,https://github.com/Kirvolque/variant_caller/pull/8
MDExOlB1bGxSZXF1ZXN0MjgxNzc3NTY5,Allele and total depths,MERGED,2019-05-23T20:45:44Z,2019-05-26T18:50:56Z,2019-05-26T18:50:56Z,2019-05-26T18:50:56Z,Stakhiev-Alexander,https://github.com/Kirvolque/variant_caller/pull/9
MDExOlB1bGxSZXF1ZXN0MjgyMzE5ODAy,Cmdparser,MERGED,2019-05-26T20:14:45Z,2019-05-26T20:19:49Z,2019-05-26T20:19:48Z,2019-05-26T20:19:48Z,Stakhiev-Alexander,https://github.com/Kirvolque/variant_caller/pull/10
MDExOlB1bGxSZXF1ZXN0MjgyNTg5MTk1,Demo,MERGED,2019-05-27T18:25:44Z,2019-05-27T20:01:01Z,2019-05-27T20:01:01Z,2019-05-27T20:01:01Z,Stakhiev-Alexander,https://github.com/Kirvolque/variant_caller/pull/11
MDExOlB1bGxSZXF1ZXN0Mjk0OTY3Nzcy,"Tests, Travis, JaCoCo",MERGED,2019-07-05T19:40:28Z,2019-07-06T14:41:07Z,2019-07-06T14:41:06Z,2019-07-06T14:41:06Z,Stakhiev-Alexander,https://github.com/Kirvolque/variant_caller/pull/12
MDExOlB1bGxSZXF1ZXN0Mjk1NTk4ODI1,Regions sequence override method getNucleotideAt,MERGED,2019-07-09T06:11:00Z,2019-07-13T09:02:29Z,2019-07-13T09:02:29Z,2019-07-13T09:02:29Z,Stakhiev-Alexander,https://github.com/Kirvolque/variant_caller/pull/13
MDExOlB1bGxSZXF1ZXN0Mjk3MTE3NDI1,Refactor fasta and sam parsers,MERGED,2019-07-12T15:21:40Z,2019-07-27T10:53:59Z,2019-07-27T10:53:59Z,2019-07-27T10:53:59Z,Stakhiev-Alexander,https://github.com/Kirvolque/variant_caller/pull/14
MDExOlB1bGxSZXF1ZXN0MzAxNzg1Mzkx,Chromosome interval list tuple,MERGED,2019-07-27T21:06:19Z,2019-07-27T21:23:16Z,2019-07-27T21:23:15Z,2019-07-27T21:23:15Z,Stakhiev-Alexander,https://github.com/Kirvolque/variant_caller/pull/15
