pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url
MDExOlB1bGxSZXF1ZXN0MjYzMzE0OTUw,Adding source code and binary.,MERGED,2019-03-21T16:39:04Z,2019-03-21T16:39:35Z,2019-03-21T16:39:31Z,2019-03-21T16:39:31Z,Matthew-Mosior,https://github.com/Matthew-Mosior/Basic-Variant-Parser/pull/1
MDExOlB1bGxSZXF1ZXN0MjYzNDAwMTA0,Create LICENSE,MERGED,2019-03-21T20:52:13Z,2019-03-21T20:52:23Z,2019-03-21T20:52:20Z,2019-03-21T20:52:20Z,Matthew-Mosior,https://github.com/Matthew-Mosior/Basic-Variant-Parser/pull/2
MDExOlB1bGxSZXF1ZXN0MjYzNDEzNTAy,Updating source code and binary.,MERGED,2019-03-21T21:37:26Z,2019-03-21T21:37:33Z,2019-03-21T21:37:33Z,2019-03-21T21:37:33Z,Matthew-Mosior,https://github.com/Matthew-Mosior/Basic-Variant-Parser/pull/3
MDExOlB1bGxSZXF1ZXN0MjYzNjMzMjIz,Updating source code and binary.,MERGED,2019-03-22T14:26:36Z,2019-03-22T14:26:44Z,2019-03-22T14:26:42Z,2019-03-22T14:26:42Z,Matthew-Mosior,https://github.com/Matthew-Mosior/Basic-Variant-Parser/pull/4
MDExOlB1bGxSZXF1ZXN0MjYzNjM0NTUw,Updating source code.,MERGED,2019-03-22T14:30:00Z,2019-03-22T14:30:07Z,2019-03-22T14:30:05Z,2019-03-22T14:30:05Z,Matthew-Mosior,https://github.com/Matthew-Mosior/Basic-Variant-Parser/pull/5
MDExOlB1bGxSZXF1ZXN0MjY5MzMyNTE1,Development,MERGED,2019-04-10T21:08:10Z,2019-04-10T21:08:22Z,2019-04-10T21:08:19Z,2019-04-10T21:08:19Z,Matthew-Mosior,https://github.com/Matthew-Mosior/Basic-Variant-Parser/pull/6
MDExOlB1bGxSZXF1ZXN0MjY5MzQzODY2,Updating source code and binaries.,MERGED,2019-04-10T21:40:05Z,2019-04-10T21:40:13Z,2019-04-10T21:40:10Z,2019-04-10T21:40:10Z,Matthew-Mosior,https://github.com/Matthew-Mosior/Basic-Variant-Parser/pull/7
MDExOlB1bGxSZXF1ZXN0MjkzODYzMDM3,Updating source code and binaries.,MERGED,2019-07-02T18:20:34Z,2019-07-02T18:20:42Z,2019-07-02T18:20:39Z,2019-07-02T18:20:39Z,Matthew-Mosior,https://github.com/Matthew-Mosior/Basic-Variant-Parser/pull/8
MDExOlB1bGxSZXF1ZXN0Mjk0ODgwODUz,Updating source code and binaries.,MERGED,2019-07-05T13:39:46Z,2019-07-05T13:39:55Z,2019-07-05T13:39:52Z,2019-07-05T13:39:51Z,Matthew-Mosior,https://github.com/Matthew-Mosior/Basic-Variant-Parser/pull/9
MDExOlB1bGxSZXF1ZXN0Mjk2Njg0MDQ0,Development,MERGED,2019-07-11T14:38:28Z,2019-07-11T14:38:39Z,2019-07-11T14:38:35Z,2019-07-11T14:38:35Z,Matthew-Mosior,https://github.com/Matthew-Mosior/Basic-Variant-Parser/pull/10
MDExOlB1bGxSZXF1ZXN0NDkyMDczODM5,Updating source code and exectuables.,MERGED,2020-09-23T22:29:44Z,2020-09-23T22:30:05Z,2020-09-23T22:30:02Z,2020-09-23T22:30:02Z,Matthew-Mosior,https://github.com/Matthew-Mosior/Basic-Variant-Parser/pull/11
