pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url
MDExOlB1bGxSZXF1ZXN0Mzg2NDAxMTI=,"more options, bam file extract",MERGED,2015-06-26T11:24:36Z,2015-06-26T12:10:03Z,2015-06-26T12:09:52Z,2015-06-26T12:09:52Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/1
MDExOlB1bGxSZXF1ZXN0Mzg4OTAwMDI=,Pull request june 30th,MERGED,2015-06-30T15:21:50Z,2015-07-02T05:38:25Z,2015-07-02T05:38:25Z,2015-07-02T05:38:25Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/2
MDExOlB1bGxSZXF1ZXN0MzkyNzQzNjE=,Pull request 6 july,MERGED,2015-07-06T14:40:00Z,2015-07-09T13:10:30Z,2015-07-09T13:10:30Z,2015-07-09T13:10:30Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/3
MDExOlB1bGxSZXF1ZXN0Mzk5MjYzNDg=,Pull request 14th july,MERGED,2015-07-14T15:12:20Z,2015-07-15T06:19:51Z,2015-07-15T06:19:51Z,2015-07-15T06:19:51Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/4
MDExOlB1bGxSZXF1ZXN0NDAzNDc3MzU=,Pull request 20 july,MERGED,2015-07-20T12:43:37Z,2015-07-20T13:19:06Z,2015-07-20T13:19:06Z,2015-07-20T13:19:06Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/5
MDExOlB1bGxSZXF1ZXN0NDA0NTI5MjM=,"added script to screen results from VCF, changed how DB is build, cor…",MERGED,2015-07-21T12:46:46Z,2015-07-23T07:06:45Z,2015-07-23T07:06:45Z,2015-07-23T07:06:45Z,vezzi,https://github.com/SciLifeLab/TIDDIT/pull/6
MDExOlB1bGxSZXF1ZXN0NDA2Njg3NDg=,"bug in extract, pop od elements done too early",MERGED,2015-07-23T12:56:46Z,2015-07-23T13:13:30Z,2015-07-23T13:13:25Z,2015-07-23T13:13:25Z,vezzi,https://github.com/SciLifeLab/TIDDIT/pull/7
MDExOlB1bGxSZXF1ZXN0NDA2NjkwOTg=,expected links,MERGED,2015-07-23T13:01:13Z,2015-07-23T13:03:40Z,2015-07-23T13:03:40Z,2015-07-23T13:03:40Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/8
MDExOlB1bGxSZXF1ZXN0NDE0ODQxODM=,Pull request 3 august,MERGED,2015-08-03T16:21:48Z,2015-08-05T14:34:15Z,2015-08-05T14:34:15Z,2015-08-05T14:34:15Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/9
MDExOlB1bGxSZXF1ZXN0NDE3Njk2NTQ=,query db works with new DB schema,MERGED,2015-08-06T09:47:34Z,2015-08-06T10:35:04Z,2015-08-06T10:35:02Z,2015-08-06T10:35:02Z,vezzi,https://github.com/SciLifeLab/TIDDIT/pull/10
MDExOlB1bGxSZXF1ZXN0NDIyODg5NDY=,Fermikit,MERGED,2015-08-12T21:05:25Z,2015-08-13T05:40:47Z,2015-08-13T05:40:47Z,2015-08-13T05:40:47Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/11
