pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url
MDExOlB1bGxSZXF1ZXN0Mjg3Mjg5MzMy,Start replacing VCF with PyVCF and optimize mutationcounts,MERGED,2019-06-11T22:48:19Z,2019-06-14T21:53:58Z,2019-06-14T21:53:58Z,2019-06-14T21:53:58Z,rvanheusden,https://github.com/czbiohub-sf/cerebra/pull/3
MDExOlB1bGxSZXF1ZXN0Mjg5MDQ5MTk3,Add utils.py,MERGED,2019-06-17T22:55:18Z,2019-06-17T23:14:35Z,2019-06-17T23:14:35Z,2019-06-17T23:14:35Z,rvanheusden,https://github.com/czbiohub-sf/cerebra/pull/6
MDExOlB1bGxSZXF1ZXN0Mjg5MDUzOTE0,Clean up utils and fix import statements,MERGED,2019-06-17T23:18:28Z,2019-06-19T00:10:18Z,2019-06-19T00:10:18Z,2019-06-19T00:10:18Z,rvanheusden,https://github.com/czbiohub-sf/cerebra/pull/7
MDExOlB1bGxSZXF1ZXN0Mjg5NDk1NjQx,"Rewrite mutation counting module, improve utils, and unit-test both",MERGED,2019-06-19T00:13:57Z,2019-07-03T16:19:35Z,2019-07-03T16:19:34Z,2019-07-03T16:19:34Z,rvanheusden,https://github.com/czbiohub-sf/cerebra/pull/10
MDExOlB1bGxSZXF1ZXN0MjkwNDA3NDAw,"merging dev, after integrating get_aa_substitutions changes",MERGED,2019-06-20T22:58:59Z,2019-06-20T22:59:15Z,2019-06-20T22:59:15Z,2019-06-20T22:59:15Z,lincoln-harris,https://github.com/czbiohub-sf/cerebra/pull/12
MDExOlB1bGxSZXF1ZXN0MjkwNDEwNjE4,merging rohan-dev > dev to incorporate utils script,MERGED,2019-06-20T23:16:56Z,2019-06-20T23:54:53Z,2019-06-20T23:54:53Z,2019-06-20T23:54:53Z,lincoln-harris,https://github.com/czbiohub-sf/cerebra/pull/13
MDExOlB1bGxSZXF1ZXN0MzAxNjI2Njc4,add travis-ci badge,MERGED,2019-07-26T17:38:11Z,2019-07-29T16:45:15Z,2019-07-27T00:20:46Z,2019-07-27T00:20:46Z,lincoln-harris,https://github.com/czbiohub-sf/cerebra/pull/29
MDExOlB1bGxSZXF1ZXN0MzAyMjI5MjM2,merging genomeIntervalTree-test-case into dev,MERGED,2019-07-29T20:47:01Z,2019-10-08T18:47:20Z,2019-07-29T20:49:14Z,2019-07-29T20:49:14Z,lincoln-harris,https://github.com/czbiohub-sf/cerebra/pull/30
MDExOlB1bGxSZXF1ZXN0MzAyMjQ0Mjc2,"Revert ""merging genomeIntervalTree-test-case into dev""",CLOSED,2019-07-29T21:32:59Z,2019-07-29T22:38:42Z,2019-07-29T21:44:04Z,,lincoln-harris,https://github.com/czbiohub-sf/cerebra/pull/31
MDExOlB1bGxSZXF1ZXN0MzAyMjQ3OTk5,merge genomeIntervalTree-test-case > master,MERGED,2019-07-29T21:45:53Z,2019-10-08T18:47:20Z,2019-07-29T21:46:08Z,2019-07-29T21:46:08Z,lincoln-harris,https://github.com/czbiohub-sf/cerebra/pull/32
