pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url
PR_kwDOLLzBcc5tPDWc,Add STRUCTURE analysis and plotting,MERGED,2024-04-20T00:10:39Z,2024-04-20T00:10:48Z,2024-04-20T00:10:48Z,2024-04-20T00:10:48Z,lfreitasl,https://github.com/lfreitasl/avf/pull/1
PR_kwDOLLzBcc5tPFrD,Add schema,MERGED,2024-04-20T00:25:43Z,2024-04-20T00:25:49Z,2024-04-20T00:25:49Z,2024-04-20T00:25:49Z,lfreitasl,https://github.com/lfreitasl/avf/pull/2
PR_kwDOLLzBcc5tPJZR,Correct subworkflow position,MERGED,2024-04-20T00:53:39Z,2024-04-20T00:53:46Z,2024-04-20T00:53:46Z,2024-04-20T00:53:46Z,lfreitasl,https://github.com/lfreitasl/avf/pull/3
PR_kwDOLLzBcc5tPKLm,Add linting correction to str_run_plot subworkflow,MERGED,2024-04-20T01:04:02Z,2024-04-20T01:04:09Z,2024-04-20T01:04:09Z,2024-04-20T01:04:09Z,lfreitasl,https://github.com/lfreitasl/avf/pull/4
PR_kwDOLLzBcc5tPLEY,Final lint changes,MERGED,2024-04-20T01:16:50Z,2024-04-20T01:16:57Z,2024-04-20T01:16:57Z,2024-04-20T01:16:57Z,lfreitasl,https://github.com/lfreitasl/avf/pull/5
PR_kwDOLLzBcc5tPLVw,Add channel,MERGED,2024-04-20T01:20:21Z,2024-04-20T01:20:29Z,2024-04-20T01:20:29Z,2024-04-20T01:20:28Z,lfreitasl,https://github.com/lfreitasl/avf/pull/6
PR_kwDOLLzBcc5tPLlj,Add files channel,MERGED,2024-04-20T01:23:46Z,2024-04-20T01:23:54Z,2024-04-20T01:23:54Z,2024-04-20T01:23:54Z,lfreitasl,https://github.com/lfreitasl/avf/pull/7
PR_kwDOLLzBcc5tPPXE,remove ignore,MERGED,2024-04-20T02:17:54Z,2024-04-20T02:18:01Z,2024-04-20T02:18:01Z,2024-04-20T02:18:01Z,lfreitasl,https://github.com/lfreitasl/avf/pull/8
PR_kwDOLLzBcc5tPPZ0,update dev,MERGED,2024-04-20T02:18:36Z,2024-04-20T02:18:44Z,2024-04-20T02:18:43Z,2024-04-20T02:18:43Z,lfreitasl,https://github.com/lfreitasl/avf/pull/9
PR_kwDOLLzBcc5tPSeF,Dev,MERGED,2024-04-20T03:06:58Z,2024-04-20T03:07:06Z,2024-04-20T03:07:06Z,2024-04-20T03:07:06Z,lfreitasl,https://github.com/lfreitasl/avf/pull/10
PR_kwDOLLzBcc5tQELO,Recover shebang,MERGED,2024-04-20T15:40:56Z,2024-04-20T15:41:04Z,2024-04-20T15:41:04Z,2024-04-20T15:41:04Z,lfreitasl,https://github.com/lfreitasl/avf/pull/11
PR_kwDOLLzBcc5tR5t0,Add mulled container to script modules,MERGED,2024-04-21T17:39:27Z,2024-04-21T17:39:34Z,2024-04-21T17:39:33Z,2024-04-21T17:39:33Z,lfreitasl,https://github.com/lfreitasl/avf/pull/12
PR_kwDOLLzBcc5tYUGo,Merge,MERGED,2024-04-22T17:16:42Z,2024-04-22T17:16:51Z,2024-04-22T17:16:51Z,2024-04-22T17:16:51Z,lfreitasl,https://github.com/lfreitasl/avf/pull/13
PR_kwDOLLzBcc5uLlCg,Remove nf-core image,MERGED,2024-04-30T18:23:23Z,2024-04-30T18:23:31Z,2024-04-30T18:23:31Z,2024-04-30T18:23:31Z,lfreitasl,https://github.com/lfreitasl/avf/pull/14
PR_kwDOLLzBcc5uTGYp,Add getcolours function to plotloc function,MERGED,2024-05-02T00:32:25Z,2024-05-02T00:32:34Z,2024-05-02T00:32:34Z,2024-05-02T00:32:34Z,lfreitasl,https://github.com/lfreitasl/avf/pull/15
PR_kwDOLLzBcc5uTHK7,Equalizes to main,MERGED,2024-05-02T00:37:35Z,2024-05-02T00:37:43Z,2024-05-02T00:37:43Z,2024-05-02T00:37:43Z,lfreitasl,https://github.com/lfreitasl/avf/pull/16
PR_kwDOLLzBcc5uTN-q,Dev,MERGED,2024-05-02T01:21:34Z,2024-05-02T01:21:41Z,2024-05-02T01:21:41Z,2024-05-02T01:21:41Z,lfreitasl,https://github.com/lfreitasl/avf/pull/17
PR_kwDOLLzBcc5uhnCu,Dev,MERGED,2024-05-04T01:46:29Z,2024-05-04T01:46:36Z,2024-05-04T01:46:36Z,2024-05-04T01:46:36Z,lfreitasl,https://github.com/lfreitasl/avf/pull/18
