pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url
MDExOlB1bGxSZXF1ZXN0OTg4MTE0ODE=,Major syntax changes,MERGED,2016-12-20T19:34:47Z,2016-12-20T19:35:07Z,2016-12-20T19:35:07Z,2016-12-20T19:35:07Z,jacobrh91,https://github.com/ncsa/Swift-T-Variant-Calling/pull/1
MDExOlB1bGxSZXF1ZXN0OTkyNTg4OTA=,Test of syntax changes successful,MERGED,2016-12-23T16:12:29Z,2016-12-23T16:15:13Z,2016-12-23T16:15:13Z,2016-12-23T16:15:13Z,jacobrh91,https://github.com/ncsa/Swift-T-Variant-Calling/pull/2
MDExOlB1bGxSZXF1ZXN0OTkyNjY0MjQ=,"Revert ""Test of syntax changes successful""",MERGED,2016-12-23T17:34:41Z,2016-12-23T17:51:43Z,2016-12-23T17:34:49Z,2016-12-23T17:34:49Z,jacobrh91,https://github.com/ncsa/Swift-T-Variant-Calling/pull/3
MDExOlB1bGxSZXF1ZXN0OTkyNjc1MjI=,Syntax changes (copied and pasted),MERGED,2016-12-23T17:47:18Z,2016-12-23T17:50:41Z,2016-12-23T17:50:41Z,2016-12-23T17:50:41Z,jacobrh91,https://github.com/ncsa/Swift-T-Variant-Calling/pull/4
MDExOlB1bGxSZXF1ZXN0MTAyMjc2NjQ3,Dev,MERGED,2017-01-19T14:30:19Z,2017-01-19T14:31:04Z,2017-01-19T14:31:04Z,2017-01-19T14:31:04Z,jacobrh91,https://github.com/ncsa/Swift-T-Variant-Calling/pull/5
MDExOlB1bGxSZXF1ZXN0MTE5OTY0ODg2,Dev,MERGED,2017-05-10T19:54:27Z,2017-05-10T19:55:59Z,2017-05-10T19:55:59Z,2017-05-10T19:55:59Z,jacobrh91,https://github.com/ncsa/Swift-T-Variant-Calling/pull/9
MDExOlB1bGxSZXF1ZXN0MTI0NDY0NTkx,Dev,MERGED,2017-06-07T16:31:58Z,2017-06-07T16:35:37Z,2017-06-07T16:35:37Z,2017-06-07T16:35:37Z,jacobrh91,https://github.com/ncsa/Swift-T-Variant-Calling/pull/11
MDExOlB1bGxSZXF1ZXN0MTMwNTgzNzg1,Dev logging - merging common fixes,MERGED,2017-07-14T12:57:56Z,2017-07-24T19:25:14Z,2017-07-24T19:25:14Z,2017-07-24T19:25:14Z,azzaea,https://github.com/ncsa/Swift-T-Variant-Calling/pull/12
MDExOlB1bGxSZXF1ZXN0MTMxNTU4NDU5,Update dev branch after bug fix in master,MERGED,2017-07-20T13:47:38Z,2017-07-20T13:48:15Z,2017-07-20T13:48:15Z,2017-07-20T13:48:15Z,jacobrh91,https://github.com/ncsa/Swift-T-Variant-Calling/pull/13
MDExOlB1bGxSZXF1ZXN0MTMxNTY4ODIy,Merging Azza's changes to updated dev,MERGED,2017-07-20T14:29:45Z,2017-07-20T14:42:36Z,2017-07-20T14:42:36Z,2017-07-20T14:42:36Z,jacobrh91,https://github.com/ncsa/Swift-T-Variant-Calling/pull/14
MDExOlB1bGxSZXF1ZXN0MTMyMTI1MTk0,Validated Azza's Logging Pull into previous master,MERGED,2017-07-24T19:21:49Z,2017-07-24T19:25:14Z,2017-07-24T19:25:13Z,2017-07-24T19:25:13Z,jacobrh91,https://github.com/ncsa/Swift-T-Variant-Calling/pull/15
MDExOlB1bGxSZXF1ZXN0MTMyMTI1ODc2,"Revert ""Validated Azza's Logging Pull into previous master""",MERGED,2017-07-24T19:25:43Z,2017-07-24T20:44:07Z,2017-07-24T19:25:51Z,2017-07-24T19:25:51Z,jacobrh91,https://github.com/ncsa/Swift-T-Variant-Calling/pull/16
MDExOlB1bGxSZXF1ZXN0MTMyMTM4OTA2,Test,MERGED,2017-07-24T20:34:36Z,2017-07-24T20:34:45Z,2017-07-24T20:34:45Z,2017-07-24T20:34:45Z,jacobrh91,https://github.com/ncsa/Swift-T-Variant-Calling/pull/17
MDExOlB1bGxSZXF1ZXN0MTM1ODU3MTU4,Pull master into dev,MERGED,2017-08-15T18:06:48Z,2017-08-15T18:07:01Z,2017-08-15T18:07:01Z,2017-08-15T18:07:01Z,jacobrh91,https://github.com/ncsa/Swift-T-Variant-Calling/pull/19
MDExOlB1bGxSZXF1ZXN0MTM2MDU1MzU0,Split AlignAndDedup stage into two stages,MERGED,2017-08-16T15:31:02Z,2017-08-16T15:31:16Z,2017-08-16T15:31:16Z,2017-08-16T15:31:16Z,jacobrh91,https://github.com/ncsa/Swift-T-Variant-Calling/pull/20
MDExOlB1bGxSZXF1ZXN0MTM2MzUwNzAw,Bug fix merge,MERGED,2017-08-17T20:51:48Z,2017-08-17T20:51:54Z,2017-08-17T20:51:54Z,2017-08-17T20:51:54Z,jacobrh91,https://github.com/ncsa/Swift-T-Variant-Calling/pull/21
MDExOlB1bGxSZXF1ZXN0MTQ3ODQyODI0,Pull master changes into the new dev,MERGED,2017-10-20T16:30:11Z,2017-10-20T16:30:26Z,2017-10-20T16:30:26Z,2017-10-20T16:30:26Z,jacobrh91,https://github.com/ncsa/Swift-T-Variant-Calling/pull/27
MDExOlB1bGxSZXF1ZXN0MTQ3ODcyOTk2,Added option to specify java heap size,MERGED,2017-10-20T19:05:10Z,2017-10-20T19:05:20Z,2017-10-20T19:05:20Z,2017-10-20T19:05:20Z,jacobrh91,https://github.com/ncsa/Swift-T-Variant-Calling/pull/28
MDExOlB1bGxSZXF1ZXN0MTUyMjUzMTY1,Pull latest master changes to dev,MERGED,2017-11-13T14:33:44Z,2017-11-13T14:33:55Z,2017-11-13T14:33:55Z,2017-11-13T14:33:55Z,jacobrh91,https://github.com/ncsa/Swift-T-Variant-Calling/pull/29
MDExOlB1bGxSZXF1ZXN0MTU4OTczNzY1,Pulling changes in the dev branch into master (after testing on BW),MERGED,2017-12-18T17:30:57Z,2017-12-18T17:33:17Z,2017-12-18T17:33:17Z,2017-12-18T17:33:17Z,jacobrh91,https://github.com/ncsa/Swift-T-Variant-Calling/pull/34
MDExOlB1bGxSZXF1ZXN0MTYyMTU0Mjg3,Pulling minor changes in dev to master,MERGED,2018-01-10T15:34:56Z,2018-01-10T15:35:53Z,2018-01-10T15:35:53Z,2018-01-10T15:35:53Z,jacobrh91,https://github.com/ncsa/Swift-T-Variant-Calling/pull/36
MDExOlB1bGxSZXF1ZXN0MTYyNDA2NDgz,Getting dev updated with direct changes on master branch,MERGED,2018-01-11T15:06:45Z,2018-01-11T15:06:58Z,2018-01-11T15:06:58Z,2018-01-11T15:06:58Z,jacobrh91,https://github.com/ncsa/Swift-T-Variant-Calling/pull/37
MDExOlB1bGxSZXF1ZXN0MTcwMDMzOTQx,Pull Dev into Master after finishing testing and fixing bugs,MERGED,2018-02-19T19:05:00Z,2018-02-21T06:36:41Z,2018-02-19T19:05:37Z,2018-02-19T19:05:37Z,jacobrh91,https://github.com/ncsa/Swift-T-Variant-Calling/pull/40
