pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url
PR_kwDOMFR3U85zpYkj,Fixing primer resplicing,MERGED,2024-06-26T14:42:58Z,2024-06-26T15:36:30Z,2024-06-26T15:36:30Z,2024-06-26T15:36:30Z,ajlail98,https://github.com/nrminor/oneroof/pull/1
PR_kwDOMFR3U858EW0a,adding a step that plots coverage across all sample,MERGED,2024-09-19T16:57:53Z,2024-09-19T16:58:10Z,2024-09-19T16:58:10Z,2024-09-19T16:58:10Z,akalweit5,https://github.com/nrminor/oneroof/pull/18
PR_kwDOMFR3U859SAdt,hello! plllssss take this,MERGED,2024-10-01T16:33:32Z,2024-10-01T16:40:24Z,2024-10-01T16:40:24Z,2024-10-01T16:40:23Z,akalweit5,https://github.com/nrminor/oneroof/pull/26
PR_kwDOMFR3U859ZoM-,updating nextflow pipeline to validate bedfiles,MERGED,2024-10-02T16:34:36Z,2024-10-02T16:36:59Z,2024-10-02T16:36:59Z,2024-10-02T16:36:59Z,akalweit5,https://github.com/nrminor/oneroof/pull/27
PR_kwDOMFR3U85-XYhJ,adding primer pair validation,MERGED,2024-10-11T17:06:41Z,2024-10-11T17:24:11Z,2024-10-11T17:24:11Z,2024-10-11T17:24:11Z,akalweit5,https://github.com/nrminor/oneroof/pull/29
PR_kwDOMFR3U85-19WV,fixing some bugs in illuminae side of pipeline,MERGED,2024-10-16T14:52:03Z,2024-10-16T14:54:29Z,2024-10-16T14:54:28Z,2024-10-16T14:54:28Z,akalweit5,https://github.com/nrminor/oneroof/pull/31
PR_kwDOMFR3U85-2vZV,fixing more bugs in illumina side of pipeline,MERGED,2024-10-16T16:16:17Z,2024-10-16T16:16:54Z,2024-10-16T16:16:54Z,2024-10-16T16:16:54Z,akalweit5,https://github.com/nrminor/oneroof/pull/32
PR_kwDOMFR3U85_8g4T,adding email option and updating nextclade config,MERGED,2024-10-25T19:16:59Z,2024-10-26T16:39:03Z,2024-10-26T16:39:03Z,2024-10-26T16:39:03Z,akalweit5,https://github.com/nrminor/oneroof/pull/33
PR_kwDOMFR3U86ApO84,fixing param situation in Utils.groovy,MERGED,2024-11-01T15:44:01Z,2024-11-01T15:44:28Z,2024-11-01T15:44:28Z,2024-11-01T15:44:28Z,akalweit5,https://github.com/nrminor/oneroof/pull/34
PR_kwDOMFR3U86B0mI9,final solution to multisample plot perchance?,MERGED,2024-11-13T18:10:13Z,2024-11-13T18:10:39Z,2024-11-13T18:10:39Z,2024-11-13T18:10:39Z,akalweit5,https://github.com/nrminor/oneroof/pull/35
PR_kwDOMFR3U86CSpKO,python code review,MERGED,2024-11-18T19:29:54Z,2024-11-18T19:32:00Z,2024-11-18T19:32:00Z,2024-11-18T19:32:00Z,William-Gardner-Biotech,https://github.com/nrminor/oneroof/pull/36
PR_kwDOMFR3U86CTM2K,Name loss artifact found,MERGED,2024-11-18T20:47:31Z,2024-11-18T20:49:39Z,2024-11-18T20:49:39Z,2024-11-18T20:49:39Z,William-Gardner-Biotech,https://github.com/nrminor/oneroof/pull/37
PR_kwDOMFR3U86EWres,adding stub methods,OPEN,2024-12-06T17:22:36Z,2024-12-06T17:22:36Z,,,akalweit5,https://github.com/nrminor/oneroof/pull/39
