id,tag_name,name,created_at,published_at,author_login,author_name
RE_kwDOIp5jUM4K7EG_,ultima_v0.25,gVCF-HCR. refactoring of MRD and SRSNV code,2024-10-27T09:22:23Z,2024-11-03T12:34:06Z,ilyasoifer,Ilya Soifer
RE_kwDOIp5jUM4KX_cC,ultima_v0.24,"Code re-factoring and updates to SRSNV, CNV and Variant Filtering",2024-09-09T06:37:04Z,2024-09-09T06:41:18Z,ilyasoifer,Ilya Soifer
RE_kwDOIp5jUM4J6xEd,ultima_v0.23,Minor fixes in multiple modules,2024-07-16T08:47:46Z,2024-07-21T11:16:21Z,ilyasoifer,Ilya Soifer
RE_kwDOIp5jUM4Jsowt,ultima_v0.22,ultima_v0.22,2024-06-27T06:22:10Z,2024-06-27T06:13:10Z,ilyasoifer,Ilya Soifer
RE_kwDOIp5jUM4I9rsA,ultima_v0.21,,2024-04-07T08:13:13Z,2024-04-09T12:30:43Z,ilyasoifer,Ilya Soifer
RE_kwDOIp5jUM4Ih-OA,ultima_v0.20,Minor updates in infrastructure and MRD workflows,2024-02-21T11:20:11Z,2024-02-22T20:42:38Z,ilyasoifer,Ilya Soifer
RE_kwDOIp5jUM4IUnT0,ultima_v0.19,CNV and MRD pipeline updates,2024-01-26T06:46:26Z,2024-02-02T07:07:05Z,ilyasoifer,Ilya Soifer
RE_kwDOIp5jUM4IN0Th,ultima_v0.18,Minor updates,2024-01-20T09:34:16Z,2024-01-24T19:46:13Z,ilyasoifer,Ilya Soifer
RE_kwDOIp5jUM4H-WUD,ultima_v0.17,ultima_v0.17,2023-12-13T17:20:55Z,2023-12-13T17:23:38Z,ilyasoifer,Ilya Soifer
RE_kwDOIp5jUM4HzlFI,ultima_v0.16,SRSNV pipeline and various fixes,2023-11-22T09:40:18Z,2023-11-22T09:42:59Z,ilyasoifer,Ilya Soifer
RE_kwDOIp5jUM4HebD5,ultima_v0.15,v0.15 Update MRD pipelines,2023-10-17T11:20:49Z,2023-10-17T12:55:37Z,ilyasoifer,Ilya Soifer
RE_kwDOIp5jUM4HPlXv,ultima_v0.14,ultima_v0.14,2023-09-14T14:52:07Z,2023-09-18T12:20:35Z,ilyasoifer,Ilya Soifer
RE_kwDOIp5jUM4HHMDl,ultima_v0.13,CNV calling and  balanced ePCR improvements,2023-08-21T08:43:58Z,2023-08-30T18:43:46Z,ilyasoifer,Ilya Soifer
RE_kwDOIp5jUM4GkcCS,ultima_v0.12,QC report fixes,2023-06-22T05:37:18Z,2023-06-28T13:41:35Z,ilyasoifer,Ilya Soifer
RE_kwDOIp5jUM4GLDd3,ultima_v0.11,Report and CNV calling updates,2023-05-15T10:17:52Z,2023-05-19T07:13:01Z,ilyasoifer,Ilya Soifer
RE_kwDOIp5jUM4FuPLJ,ultima_v0.10,Updated report and various other changes,2023-03-26T09:35:49Z,2023-04-12T07:56:01Z,ilyasoifer,Ilya Soifer
RE_kwDOIp5jUM4FWqY6,ultima_v0.9,"0.9: Report fixes, MRD notebook fixes",2023-01-16T15:02:48Z,2023-01-22T07:47:01Z,ilyasoifer,Ilya Soifer
RE_kwDOIp5jUM4FLFrp,ultima_v0.8,Improved QC ,2022-10-31T11:11:27Z,2023-01-04T20:30:20Z,ilyasoifer,Ilya Soifer
RE_kwDOIp5jUM4FLFtu,ultima_v0.7.1,Adaptation for Sentieon and DeepVariant pipelines,2022-09-15T10:48:25Z,2023-01-04T20:31:43Z,ilyasoifer,Ilya Soifer
RE_kwDOIp5jUM4FPdKn,ultima_v0.7,Open source version of VariantCalling,2022-07-25T14:17:58Z,2023-01-04T20:33:19Z,ilyasoifer,Ilya Soifer
