id,tag_name,name,created_at,published_at,author_login,author_name
MDc6UmVsZWFzZTIwMDM5NjIx,v0.2.6,v0.2.6,2019-09-17T09:08:19Z,2019-09-17T09:12:15Z,chapmanb,Brad Chapman
MDc6UmVsZWFzZTE5Njc3ODg0,v0.2.5,v0.2.5,2019-09-01T08:55:09Z,2019-09-01T09:07:53Z,chapmanb,Brad Chapman
MDc6UmVsZWFzZTE1NzE0OTQ1,v0.2.4,v0.2.4,2019-02-22T10:35:42Z,2019-02-22T10:43:34Z,chapmanb,Brad Chapman
MDc6UmVsZWFzZTE1NTA5NDI5,v0.2.3,v0.2.3,2019-02-12T10:20:01Z,2019-02-12T14:10:07Z,chapmanb,Brad Chapman
MDc6UmVsZWFzZTE1MzExNzAz,v0.2.2,v0.2.2,2019-02-01T09:43:20Z,2019-02-01T09:49:48Z,chapmanb,Brad Chapman
MDc6UmVsZWFzZTE1MDUxMzMy,v0.2.1,v0.2.1,2019-01-18T10:43:31Z,2019-01-18T10:54:44Z,chapmanb,Brad Chapman
MDc6UmVsZWFzZTEyMjQwMjg4,v0.1.9,v0.1.9,2018-08-03T10:00:10Z,2018-08-03T10:07:05Z,chapmanb,Brad Chapman
MDc6UmVsZWFzZTExMDYzNDkz,v0.1.8,v0.1.8,2018-05-18T09:05:25Z,2018-05-18T09:08:27Z,chapmanb,Brad Chapman
MDc6UmVsZWFzZTM4ODk2ODQ=,v0.1.7,v0.1.7,2016-08-15T16:27:51Z,2016-08-15T16:29:14Z,chapmanb,Brad Chapman
MDc6UmVsZWFzZTMwOTA0MjA=,v0.1.6,v0.1.6,2016-04-25T12:10:00Z,2016-04-25T12:13:35Z,chapmanb,Brad Chapman
MDc6UmVsZWFzZTMwMjY3MTE=,v0.1.5,v0.1.5,2016-04-15T09:53:20Z,2016-04-15T09:59:29Z,chapmanb,Brad Chapman
MDc6UmVsZWFzZTE5NjQ3Njc=,v0.1.4,v0.1.4,2015-10-15T10:15:38Z,2015-10-15T10:19:25Z,chapmanb,Brad Chapman
MDc6UmVsZWFzZTEyMTU1MTE=,v0.1.2,v0.1.2,2015-04-25T09:13:21Z,2015-04-25T09:17:26Z,chapmanb,Brad Chapman
MDc6UmVsZWFzZTExNjkxODg=,v0.1.1,v0.1.1,2015-04-15T09:11:18Z,2015-04-15T09:14:07Z,chapmanb,Brad Chapman
MDc6UmVsZWFzZTExMzIzNDA=,v0.1.0,v0.1.0,2015-04-07T10:02:31Z,2015-04-07T10:04:28Z,chapmanb,Brad Chapman
MDc6UmVsZWFzZTExMTg4NDU=,v0.0.9,v0.0.9,2015-04-02T09:39:34Z,2015-04-02T09:43:18Z,chapmanb,Brad Chapman
MDc6UmVsZWFzZTEwNzE4Mjk=,v0.0.8,v0.0.8,2015-03-20T08:45:17Z,2015-03-20T08:50:00Z,chapmanb,Brad Chapman
MDc6UmVsZWFzZTk3NzY4MA==,v0.0.7,v0.0.7,2015-02-23T10:00:10Z,2015-02-23T10:12:13Z,chapmanb,Brad Chapman
MDc6UmVsZWFzZTkwMDE5MA==,v0.0.6,v0.0.6,2015-01-30T10:55:35Z,2015-01-30T10:57:29Z,chapmanb,Brad Chapman
MDc6UmVsZWFzZTc0NTY3Nw==,v0.0.5,v0.0.5,2014-12-01T14:41:43Z,2014-12-01T14:43:24Z,chapmanb,Brad Chapman
MDc6UmVsZWFzZTY1ODkwNg==,v0.0.4,v0.0.4,2014-10-28T11:19:23Z,2014-10-28T11:20:43Z,chapmanb,Brad Chapman
MDc6UmVsZWFzZTY1NTE0Nw==,v0.0.3,v0.0.3,2014-10-27T00:35:27Z,2014-10-27T00:36:39Z,chapmanb,Brad Chapman
MDc6UmVsZWFzZTU4OTU0MQ==,v0.0.2,v0.0.2,2014-09-29T10:45:13Z,2014-09-29T10:46:48Z,chapmanb,Brad Chapman
MDc6UmVsZWFzZTU3MTEwOA==,v0.0.1,v0.0.1,2014-09-20T10:15:10Z,2014-09-20T10:18:44Z,chapmanb,Brad Chapman
MDc6UmVsZWFzZTI5ODkwMg==,v0.0.1-SNAPSHOT-20140501,,2014-05-01T18:59:48Z,2014-05-01T19:01:09Z,chapmanb,Brad Chapman
