id,tag_name,name,created_at,published_at,author_login,author_name
RE_kwDOFIO7Dc4K6aoB,v1.4.1,v1.4.1,2024-11-01T11:24:34Z,2024-11-01T11:33:39Z,epi2melabs-bot,
RE_kwDOFIO7Dc4KcXqr,v1.4.0,v1.4.0,2024-09-16T09:00:33Z,2024-09-16T10:54:24Z,epi2melabs-bot,
RE_kwDOFIO7Dc4KAO1-,v1.3.0,v1.3.0,2024-07-30T11:47:32Z,2024-07-30T11:55:40Z,epi2melabs-bot,
RE_kwDOFIO7Dc4Ipd8G,v1.2.0,v1.2.0,2024-03-06T12:28:22Z,2024-03-06T15:43:35Z,epi2melabs-bot,
RE_kwDOFIO7Dc4IYw1T,v1.1.1,v1.1.1,2024-02-08T17:35:14Z,2024-02-08T22:20:23Z,epi2melabs-bot,
RE_kwDOFIO7Dc4H7-2A,v1.0.0,v1.0.0,2023-12-06T15:56:42Z,2023-12-08T11:47:59Z,epi2melabs-bot,
RE_kwDOFIO7Dc4HFGzq,v0.4.0,v0.4.0,2023-08-26T00:25:37Z,2023-08-26T00:32:20Z,epi2melabs-bot,
RE_kwDOFIO7Dc4HAsMX,v0.3.3,v0.3.3,2023-08-17T13:14:29Z,2023-08-17T13:22:04Z,epi2melabs-bot,
RE_kwDOFIO7Dc4G_gwU,v0.3.2,v0.3.2,2023-08-15T12:16:54Z,2023-08-15T13:49:34Z,epi2melabs-bot,
RE_kwDOFIO7Dc4Gxu0p,v0.3.1,v0.3.1,2023-07-25T17:02:30Z,2023-07-26T16:23:35Z,epi2melabs-bot,
RE_kwDOFIO7Dc4Ge7DQ,v0.3.0,v0.3.0,2023-06-15T11:14:59Z,2023-06-15T17:38:46Z,epi2melabs-bot,
RE_kwDOFIO7Dc4GKRiC,v0.2.14,v0.2.14,2023-05-17T17:33:53Z,2023-05-17T17:40:23Z,epi2melabs-bot,
RE_kwDOFIO7Dc4GHFIa,v0.2.13,v0.2.13,2023-05-10T16:32:43Z,2023-05-10T16:38:20Z,epi2melabs-bot,
RE_kwDOFIO7Dc4FkBpS,v0.2.12,v0.2.12,2023-02-22T17:24:48Z,2023-02-22T17:32:27Z,epi2melabs-bot,
RE_kwDOFIO7Dc4FdjzZ,v0.2.11,v0.2.11,2023-02-07T17:06:10Z,2023-02-07T17:18:14Z,epi2melabs-bot,
RE_kwDOFIO7Dc4FVAOb,v0.2.10,v0.2.10,2023-01-17T22:38:24Z,2023-01-18T12:23:21Z,epi2melabs-bot,
RE_kwDOFIO7Dc4FExRZ,v0.2.9,v0.2.9,2022-12-06T12:01:09Z,2022-12-06T12:18:55Z,epi2melabs-bot,
RE_kwDOFIO7Dc4FDV_4,v0.2.8,v0.2.8,2022-12-01T23:22:17Z,2022-12-01T23:30:57Z,epi2melabs-bot,
RE_kwDOFIO7Dc4FDK3-,v0.2.7,v0.2.7,2022-12-01T15:05:59Z,2022-12-01T15:19:48Z,epi2melabs-bot,
RE_kwDOFIO7Dc4EzdQm,v0.2.6,v0.2.6,2022-10-21T12:04:28Z,2022-10-21T12:21:28Z,epi2melabs-bot,
RE_kwDOFIO7Dc4Elak0,v0.2.5,v0.2.5,2022-09-12T16:46:46Z,2022-09-12T16:58:44Z,epi2melabs-bot,
RE_kwDOFIO7Dc4D-ZOg,v0.2.4,v0.2.4,2022-05-12T13:02:43Z,2022-05-12T13:06:53Z,epi2melabs-bot,
RE_kwDOFIO7Dc4D-Hqt,v0.2.3,v0.2.3,2022-05-11T18:19:06Z,2022-05-11T18:22:35Z,epi2melabs-bot,
RE_kwDOFIO7Dc4DqQHE,v0.2.2,v0.2.2,2022-03-09T18:02:59Z,2022-03-09T18:13:24Z,epi2melabs-bot,
MDc6UmVsZWFzZTQ2OTAwOTIw,v0.2.1,v0.2.1,2021-07-28T12:10:19Z,2021-07-28T12:26:16Z,epi2melabs-bot,
MDc6UmVsZWFzZTQzMDUyOTQ2,v0.2.0,v0.2.0,2021-05-17T12:06:49Z,2021-05-17T12:11:56Z,epi2melabs-bot,
MDc6UmVsZWFzZTQwMjc5ODQ5,v0.1.3,v0.1.3,2021-03-24T10:08:06Z,2021-03-24T10:09:43Z,epi2melabs-bot,
MDc6UmVsZWFzZTM5OTYwOTAw,v0.1.1,v0.1.1,2021-03-17T18:28:56Z,2021-03-17T18:35:08Z,epi2melabs-bot,
MDc6UmVsZWFzZTM5NTQ1Mjc4,v0.1.0,v0.1.0,2021-03-09T20:51:43Z,2021-03-09T20:52:37Z,epi2melabs-bot,
MDc6UmVsZWFzZTM5MTkxMzI5,v0.0.1,v0.0.1,2021-03-03T15:56:24Z,2021-03-03T15:57:29Z,epi2melabs-bot,
