id,tag_name,name,created_at,published_at,author_login,author_name
RE_kwDOFFjTSs4KmbRT,v0.5.3,0.5.3,2024-10-01T16:10:10Z,2024-10-01T16:11:11Z,iwc-workflows-bot,
RE_kwDOFFjTSs4IpYHk,v0.5.2,0.5.2,2024-03-06T13:54:18Z,2024-03-06T13:55:19Z,iwc-workflows-bot,
RE_kwDOFFjTSs4IJdKi,v0.5.1,0.5.1,2024-01-11T16:25:27Z,2024-01-11T16:26:29Z,iwc-workflows-bot,
RE_kwDOFFjTSs4DiYUR,v0.5,0.5,2022-02-11T15:29:58Z,2022-02-11T15:29:59Z,iwc-workflows-bot,
RE_kwDOFFjTSs4DUbjp,v0.4.2,0.4.2,2021-12-20T17:05:17Z,2021-12-20T17:05:18Z,iwc-workflows-bot,
MDc6UmVsZWFzZTQ2NzU5Mjc0,v0.4.1,0.4.1,2021-07-26T10:22:47Z,2021-07-26T10:22:50Z,iwc-workflows-bot,
MDc6UmVsZWFzZTQ0ODYwMTgx,v0.4,0.4,2021-06-18T11:52:11Z,2021-06-18T11:52:15Z,iwc-workflows-bot,
MDc6UmVsZWFzZTQ0MTQxOTE1,v0.3,0.3,2021-06-05T06:18:06Z,2021-06-05T06:18:10Z,iwc-workflows-bot,
MDc6UmVsZWFzZTQxMTM1OTkx,v0.2,0.2,2021-04-08T16:38:02Z,2021-04-08T16:38:04Z,iwc-workflows-bot,
MDc6UmVsZWFzZTM4NDcwNjEx,v0.1,0.1,2021-02-23T08:13:23Z,2021-02-23T08:13:27Z,iwc-workflows-bot,
