id,tag_name,name,created_at,published_at,author_login,author_name
RE_kwDODvpAGM4Fw4xG,2.6.0,nf-core/viralrecon v2.6.0 - Rhodium Raccoon,2023-03-23T19:28:33Z,2023-03-23T19:29:45Z,drpatelh,Harshil Patel
RE_kwDODvpAGM4ESVz7,2.5,nf-core/viralrecon v2.5 - Manganese Monkey,2022-07-13T15:41:22Z,2022-07-13T15:42:23Z,drpatelh,Harshil Patel
RE_kwDODvpAGM4DnqAl,2.4.1,nf-core/viralrecon v2.4.1 - Plastered Magnesium Marmoset,2022-03-01T18:55:42Z,2022-03-01T18:56:44Z,drpatelh,Harshil Patel
RE_kwDODvpAGM4DlSzU,2.4,nf-core/viralrecon v2.4 - Magnesium  Marmoset,2022-02-22T08:40:31Z,2022-02-22T08:45:08Z,drpatelh,Harshil Patel
RE_kwDODvpAGM4DjcOb,2.3.1,nf-core/viralrecon v2.3.1 - Patched Copper Coatimundi,2022-02-15T16:28:13Z,2022-02-15T16:30:07Z,drpatelh,Harshil Patel
RE_kwDODvpAGM4Df9_f,2.3,nf-core/viralrecon v2.3 - Copper Coatimundi,2022-02-04T17:57:07Z,2022-02-04T17:59:26Z,drpatelh,Harshil Patel
MDc6UmVsZWFzZTQ2OTg4MjI4,2.2,nf-core/viralrecon v2.2 - Tin Turtle,2021-07-29T15:41:37Z,2021-07-29T15:45:45Z,drpatelh,Harshil Patel
MDc6UmVsZWFzZTQ0NjUzNTUx,2.1,nf-core/viralrecon v2.1 - Lead Mink,2021-06-15T14:56:28Z,2021-06-15T14:58:31Z,drpatelh,Harshil Patel
MDc6UmVsZWFzZTQyOTA4MjA3,2.0,nf-core/viralrecon v2.0 - Silver Ferret,2021-05-13T15:10:24Z,2021-05-13T15:11:46Z,drpatelh,Harshil Patel
MDc6UmVsZWFzZTI3ODM4NTUz,1.1.0,nf-core/viralrecon v1.1.0 - Steel Pangolin,2020-06-23T16:52:15Z,2020-06-23T16:58:09Z,drpatelh,Harshil Patel
MDc6UmVsZWFzZTI3MDk1OTM2,1.0.0,nf-core/viralrecon v1.0.0 - Mercury Bat,2020-06-01T13:23:03Z,2020-06-01T13:30:31Z,drpatelh,Harshil Patel
