id,tag_name,name,created_at,published_at,author_login,author_name
RE_kwDODfqZfM4K0Fr_,v5.10.1,v5.10.1,2024-10-23T11:10:32Z,2024-10-23T11:10:49Z,github-actions[bot],
RE_kwDODfqZfM4Kt8wa,v5.10.0,v5.10.0,2024-10-14T13:35:11Z,2024-10-14T13:35:31Z,github-actions[bot],
RE_kwDODfqZfM4KRbVr,v5.9.0,v5.9.0,2024-08-28T11:56:18Z,2024-08-28T11:56:36Z,github-actions[bot],
RE_kwDODfqZfM4KIOsh,v5.8.4,v5.8.4,2024-08-13T09:50:28Z,2024-08-13T09:50:46Z,github-actions[bot],
RE_kwDODfqZfM4J8gpZ,v5.8.3,v5.8.3,2024-07-24T08:46:39Z,2024-07-24T08:46:57Z,github-actions[bot],
RE_kwDODfqZfM4J5R17,v5.8.2,v5.8.2,2024-07-18T09:45:36Z,2024-07-18T09:45:56Z,github-actions[bot],
RE_kwDODfqZfM4J4aYD,v5.8.1,v5.8.1,2024-07-17T07:17:05Z,2024-07-17T07:17:24Z,github-actions[bot],
RE_kwDODfqZfM4Jvteh,v5.8.0,v5.8.0,2024-07-02T07:33:11Z,2024-07-02T07:33:30Z,github-actions[bot],
RE_kwDODfqZfM4Jfz2p,v5.7.0,v5.7.0,2024-06-07T08:46:46Z,2024-06-07T08:47:03Z,github-actions[bot],
RE_kwDODfqZfM4JMZmq,v5.6.0,v5.6.0,2024-05-04T06:48:03Z,2024-05-04T06:48:21Z,github-actions[bot],
RE_kwDODfqZfM4I-TDa,v5.5.0,v5.5.0,2024-04-10T10:15:22Z,2024-04-10T10:15:41Z,github-actions[bot],
RE_kwDODfqZfM4I33P4,v5.4.1,v5.4.1,2024-03-28T12:57:04Z,2024-03-28T12:57:21Z,github-actions[bot],
RE_kwDODfqZfM4I1hKB,v5.4.0,v5.4.0,2024-03-25T15:48:22Z,2024-03-25T15:48:44Z,github-actions[bot],
RE_kwDODfqZfM4It8UU,v5.3.1,v5.3.1,2024-03-13T10:07:13Z,2024-03-13T10:07:32Z,github-actions[bot],
RE_kwDODfqZfM4Imq6M,v5.3.0,v5.3.0,2024-03-01T11:49:13Z,2024-03-01T11:49:33Z,github-actions[bot],
RE_kwDODfqZfM4H4fPw,v5.2.0,v5.2.0,2023-12-01T09:06:14Z,2023-12-01T09:06:43Z,github-actions[bot],
RE_kwDODfqZfM4Hrtkj,v5.1.0,v5.1.0,2023-11-10T11:59:59Z,2023-11-10T12:00:21Z,github-actions[bot],
RE_kwDODfqZfM4HZ_VM,v5.0.2,v5.0.2,2023-10-09T12:06:12Z,2023-10-09T12:06:47Z,github-actions[bot],
RE_kwDODfqZfM4HE3Ev,v5.0.1,v5.0.1,2023-08-25T13:28:41Z,2023-08-25T13:29:04Z,github-actions[bot],
RE_kwDODfqZfM4G_agU,v5.0.0,v5.0.0,2023-08-15T10:31:49Z,2023-08-15T10:32:15Z,github-actions[bot],
RE_kwDODfqZfM4G6O99,v4.2.0,v4.2.0,2023-08-10T13:26:05Z,2023-08-10T13:26:55Z,github-actions[bot],
