id,tag_name,name,created_at,published_at,author_login,author_name
RE_kwDOA7ytOM4LT9d-,v8.5.1,v8.5.1,2024-12-09T17:46:05Z,2024-12-09T17:46:26Z,github-actions[bot],
RE_kwDOA7ytOM4LT60O,v8.5.0,v8.5.0,2024-12-09T16:52:32Z,2024-12-09T16:52:57Z,github-actions[bot],
RE_kwDOA7ytOM4LQzjZ,v8.4.14,v8.4.14,2024-12-04T14:12:07Z,2024-12-04T14:12:26Z,github-actions[bot],
RE_kwDOA7ytOM4LPTpx,v8.4.13,v8.4.13,2024-12-02T19:57:36Z,2024-12-02T19:57:56Z,github-actions[bot],
RE_kwDOA7ytOM4LND0Z,v8.4.12,v8.4.12,2024-11-28T08:20:36Z,2024-11-28T08:21:00Z,github-actions[bot],
RE_kwDOA7ytOM4Kg-5_,v8.4.11,v8.4.11,2024-09-23T14:37:38Z,2024-09-23T14:38:03Z,github-actions[bot],
RE_kwDOA7ytOM4KHrAp,v8.4.10,v8.4.10,2024-08-12T13:44:30Z,2024-08-12T13:44:53Z,github-actions[bot],
RE_kwDOA7ytOM4JvGXz,v8.4.9,v8.4.9,2024-07-01T12:43:15Z,2024-07-01T12:43:36Z,github-actions[bot],
RE_kwDOA7ytOM4JZWyY,v8.4.8,v8.4.8,2024-05-27T14:18:32Z,2024-05-27T14:18:53Z,github-actions[bot],
RE_kwDOA7ytOM4JQmhL,v8.4.7,v8.4.7,2024-05-11T07:27:23Z,2024-05-11T07:27:44Z,github-actions[bot],
RE_kwDOA7ytOM4I3N-v,v8.4.6,v8.4.6,2024-03-27T14:49:44Z,2024-03-27T14:50:08Z,github-actions[bot],
RE_kwDOA7ytOM4IiCoz,v8.4.5,v8.4.5,2024-02-22T09:41:41Z,2024-02-22T09:42:04Z,github-actions[bot],
RE_kwDOA7ytOM4ISoXe,v8.4.4,v8.4.4,2024-01-30T10:58:44Z,2024-01-30T10:59:08Z,github-actions[bot],
RE_kwDOA7ytOM4IOOHQ,v8.4.3,v8.4.3,2024-01-22T09:35:30Z,2024-01-22T09:35:55Z,github-actions[bot],
RE_kwDOA7ytOM4Hq4Hl,v8.4.2,v8.4.2,2023-11-09T09:50:18Z,2023-11-09T09:50:45Z,github-actions[bot],
RE_kwDOA7ytOM4HZj41,v8.4.1,v8.4.1,2023-10-07T12:08:23Z,2023-10-07T12:08:55Z,github-actions[bot],
RE_kwDOA7ytOM4HQMIH,v8.4.0,v8.4.0,2023-09-19T11:24:08Z,2023-09-19T11:24:34Z,github-actions[bot],
RE_kwDOA7ytOM4GkTnH,v8.3.0,varlociraptor v8.3.0,2023-06-28T09:25:41Z,2023-06-28T09:26:00Z,github-actions[bot],
RE_kwDOA7ytOM4GdE3H,v8.2.0,varlociraptor v8.2.0,2023-06-12T20:50:27Z,2023-06-12T20:50:47Z,github-actions[bot],
RE_kwDOA7ytOM4GG1m5,v8.1.1,varlociraptor v8.1.1,2023-05-10T08:37:28Z,2023-05-10T08:37:49Z,github-actions[bot],
RE_kwDOA7ytOM4GA84T,v8.1.0,varlociraptor v8.1.0,2023-04-26T08:00:52Z,2023-04-26T08:01:10Z,github-actions[bot],
RE_kwDOA7ytOM4F8Agq,v8.0.0,varlociraptor v8.0.0,2023-04-15T06:42:05Z,2023-04-15T06:42:22Z,github-actions[bot],
RE_kwDOA7ytOM4Fq8di,v7.0.0,varlociraptor v7.0.0,2023-03-09T22:54:58Z,2023-03-09T22:55:26Z,github-actions[bot],
RE_kwDOA7ytOM4FmbUc,v6.0.0,varlociraptor v6.0.0,2023-02-28T16:19:23Z,2023-02-28T16:19:47Z,github-actions[bot],
RE_kwDOA7ytOM4Fhlwn,v5.10.0,varlociraptor v5.10.0,2023-02-16T13:03:18Z,2023-02-16T13:03:39Z,github-actions[bot],
RE_kwDOA7ytOM4Ffimm,v5.9.1,varlociraptor v5.9.1,2023-02-12T19:44:14Z,2023-02-12T19:44:33Z,github-actions[bot],
RE_kwDOA7ytOM4FdI1B,v5.9.0,varlociraptor v5.9.0,2023-02-06T21:36:50Z,2023-02-06T21:37:08Z,github-actions[bot],
RE_kwDOA7ytOM4FbRk5,v5.8.0,varlociraptor v5.8.0,2023-02-01T20:39:51Z,2023-02-01T20:40:12Z,github-actions[bot],
RE_kwDOA7ytOM4FXYlO,v5.7.0,varlociraptor v5.7.0,2023-01-24T09:27:11Z,2023-01-24T09:27:30Z,github-actions[bot],
RE_kwDOA7ytOM4FWnhp,v5.6.2,varlociraptor v5.6.2,2023-01-21T21:30:03Z,2023-01-21T21:30:22Z,github-actions[bot],
RE_kwDOA7ytOM4FRS1L,v5.6.1,varlociraptor v5.6.1,2023-01-10T09:44:44Z,2023-01-10T09:45:02Z,github-actions[bot],
RE_kwDOA7ytOM4FN0Yn,v5.6.0,varlociraptor v5.6.0,2022-12-29T10:02:51Z,2022-12-29T10:03:17Z,github-actions[bot],
RE_kwDOA7ytOM4FI2yt,v5.5.0,varlociraptor v5.5.0,2022-12-15T18:40:11Z,2022-12-15T18:40:28Z,github-actions[bot],
RE_kwDOA7ytOM4FFyfn,v5.4.1,varlociraptor v5.4.1,2022-12-08T09:08:48Z,2022-12-08T09:09:05Z,github-actions[bot],
RE_kwDOA7ytOM4FAXtD,v5.4.0,varlociraptor v5.4.0,2022-11-23T12:14:25Z,2022-11-23T12:14:44Z,github-actions[bot],
RE_kwDOA7ytOM4EwSjk,v5.3.3,varlociraptor v5.3.3,2022-10-13T11:51:31Z,2022-10-13T11:51:47Z,github-actions[bot],
RE_kwDOA7ytOM4Ev4yz,v5.3.2,varlociraptor v5.3.2,2022-10-12T15:22:05Z,2022-10-12T15:22:20Z,github-actions[bot],
RE_kwDOA7ytOM4Eqwff,v5.3.1,varlociraptor v5.3.1,2022-09-27T16:00:12Z,2022-09-27T16:00:38Z,github-actions[bot],
