login,avatarUrl,url,starredAt
chapmanb,https://avatars.githubusercontent.com/u/39391?v=4,https://github.com/chapmanb,2013-11-01T01:51:10Z
brentp,https://avatars.githubusercontent.com/u/1739?u=f05ed5c6046f039a05492d43621aa08f53f37bbe&v=4,https://github.com/brentp,2013-11-01T02:40:21Z
martijnvermaat,https://avatars.githubusercontent.com/u/623509?v=4,https://github.com/martijnvermaat,2013-11-01T07:20:55Z
junwucs,https://avatars.githubusercontent.com/u/1687552?v=4,https://github.com/junwucs,2013-11-08T16:02:51Z
laserson,https://avatars.githubusercontent.com/u/118141?u=1a6f2d8d1c71bfc2743b0be9748cbe1fbc2fe3a0&v=4,https://github.com/laserson,2013-11-15T00:02:05Z
yashk,https://avatars.githubusercontent.com/u/328544?u=2183541183dbcfc19a1675305984713d93ac4d8a&v=4,https://github.com/yashk,2014-01-28T02:13:05Z
jmarshall,https://avatars.githubusercontent.com/u/70921?v=4,https://github.com/jmarshall,2014-03-03T15:58:43Z
fnothaft,https://avatars.githubusercontent.com/u/3752466?v=4,https://github.com/fnothaft,2014-04-19T23:54:51Z
crudbug,https://avatars.githubusercontent.com/u/1286818?u=4260063772b9d464d9f3be3e1666388eb09523c0&v=4,https://github.com/crudbug,2014-05-21T21:12:44Z
kaul84,https://avatars.githubusercontent.com/u/2174277?u=8c9442ad6601c96ba3f8334de09b970b1970a3f2&v=4,https://github.com/kaul84,2014-06-02T18:39:45Z
tanglingfung,https://avatars.githubusercontent.com/u/8526?v=4,https://github.com/tanglingfung,2014-07-13T21:38:28Z
druvus,https://avatars.githubusercontent.com/u/83170?u=cf375c5e7067ca535560686345040d4c82bf3efc&v=4,https://github.com/druvus,2014-07-14T01:05:27Z
cartersgenes,https://avatars.githubusercontent.com/u/7291610?u=62be8ad58ffe80dab6a24886a6d39cf42b6d4a72&v=4,https://github.com/cartersgenes,2014-07-15T14:32:04Z
mscook,https://avatars.githubusercontent.com/u/179770?u=4710bb77d90094d799203ad085c59951ffd4b678&v=4,https://github.com/mscook,2014-07-31T00:13:00Z
danielecook,https://avatars.githubusercontent.com/u/1536935?v=4,https://github.com/danielecook,2014-08-06T00:50:17Z
rlesca01,https://avatars.githubusercontent.com/u/4610524?u=207ba55a675ca3c094e3be4e31a6647b5955373c&v=4,https://github.com/rlesca01,2014-08-27T23:43:50Z
snarfed,https://avatars.githubusercontent.com/u/778068?u=5b3ff06dc08ee18aee4a7603e3598484218a7ed4&v=4,https://github.com/snarfed,2014-09-08T05:21:40Z
bgruening,https://avatars.githubusercontent.com/u/469983?v=4,https://github.com/bgruening,2014-10-04T12:53:57Z
pfxuan,https://avatars.githubusercontent.com/u/2773827?v=4,https://github.com/pfxuan,2014-11-04T15:42:06Z
